Playlist-ID,Title,Language,Label,isTruthWorthy
37i9dQZF1DWZqdNJSufucb,sad ,english,sad,1
37i9dQZF1DWSqBruwoIXkA,sad hour,english,sad,1
3c0Nv5CY6TIaRszlTZbUFk,sad songs 2021  crying and depressing music,english,sad,1
37i9dQZF1DWZQGZ7yvpH00,Sad Sierreo,english,sad,1
37i9dQZF1DX7qK8ma5wgG1,Sad Songs,english,sad,1
4C5u13rggsEdRN7An3A6uT,sad lofi songs for crying yourself to sleep,english,sad,1
4YOfhHpjPB0tq29NPpDY3F,Sad Hindi Songs - a little broken ,english,sad,1
70VaOHyjpsWcmA4gxosExZ,sad songs to cry to,english,sad,1
37i9dQZF1DX64Y3du11rR1,Sad Covers,english,sad,1
37i9dQZF1DX6xZZEgC9Ubl,tear drop,english,sad,1
1nVWPImtwYUYdvCTPHTtpJ,sad lofi songs,english,sad,1
37i9dQZF1DWVV27DiNWxkR,Sad Indie,english,sad,1
0oX1LhMuCp3uCJyuNwgLdF,sad Korean songs,english,sad,1
37i9dQZF1DXd6QWbEewZmM,Sad Cuh Hours,english,sad,1
37i9dQZF1DWT0qByOJYmmJ,Qu Sad!,english,sad,1
0SeSNWEG4O6KCqaj94zcwg,Sad Viet music (nhac viet buon),english,sad,1
37i9dQZF1DXdFesNN9TzXT,Sad Hindi Melodies,english,sad,1
37i9dQZF1DX8Vz2ROLXhTT,Sad 10s,english,sad,1
38BAFacbwA5kGf7iqcW7Wj,sad songs to cry to at 2am,english,sad,1
37i9dQZF1DWZUAeYvs88zc,Sad Bops,english,sad,1
6rJiLpCxccWHOcpjDkQkLT,Sad Japanese Piano Music,japanese,sad,1
2sxuec51xVVGeQnKkfcvkk,Japanese Sad Songs,japanese,sad,1
5spZGGK2lkYhd3TF19UsGX,Sad japanese songs,japanese,sad,1
47QRIgn4h25iNf0nXCUFbw,sad and chill japanese songs,japanese,sad,1
7iEjCcx21s1T1i4oDvygMq,Sad Japanese Songs ,japanese,sad,1
7HO0SmjGrwkWnamk3JJwJJ,Japanese Sad Songs,japanese,sad,1
0K6vJ2UlUB4v4KohX2RjVx,Japanese Hip Hop,japanese,sad,1
03wwn1sX9x3GDlqfu13qMT,Japanese Ballads,japanese,sad,1
0nRcLHYqKvSK2uPcKjUJua,Japanese anime sad song,japanese,sad,1
5MR5lLOy5cfgRm2HHzFCfE,Japanese Lofi Sad,japanese,sad,1
2TfxuxibTqGIbvBX9Kd9OK,Japanese Acoustic Songs ,japanese,sad,1
5YvUZRq54NzSW666vGxC1Q,2021 Japanese Sad Anime Song,japanese,sad,1
0jvGFniWJL7NfSQgXXsOV4,Japanese Sad Songs  1 ,japanese,sad,1
