Playlist-ID,Title,Language,Label,isTruthWorthy
37i9dQZF1DWTC99MCpbjP8,Calm,english,calm,1
37i9dQZF1DWVFeEut75IAL,Calming Classical,english,calm,1
7LI3zw8HLkjKo5YpvA26KG,Calming Music for Anxiety / Stress / HSP (Instrumentals) ,english,calm,1
37i9dQZF1DX9j444F9NCBa,Calming Instrumental Covers,english,calm,1
37i9dQZF1DX42c5TkSUfEb,Au Calme,english,calm,1
37i9dQZF1DX1s9knjP51Oa,Calm Vibes,english,calm,1
37i9dQZF1DWY5LGZYBBHHz,Calma,english,calm,1
37i9dQZF1DXaImRpG7HXqp,Calming Acoustic,english,calm,1
4h2MD8T5fNW2Ss8sO5up68,Calm Music 2021 ,english,calm,1
6X7wz4cCUBR6p68mzM7mZ4,Calming Sleep Music ,english,calm,1
5Rw5J4Cb7MpIsiGG1oWi85,lofi to help you calm your anxiety,english,calm,1
4bfWGQWEetPLCMZiUYmv4l,calm,english,calm,1
1vvTHLopAsifD2kb866vxl,Calm Piano,english,calm,1
75xdOJhMJvCeqfzohucGpz,Calm (Spa & Massage Music),english,calm,1
2sWwKJKAznIkvjoFRJ3ag3,Calming Music + Nature Sounds,english,calm,1
3nAJjuZiVEvYPARlGq7vWQ,Calming pop hits,english,calm,1
37i9dQZF1DXbhg05xUNqBY,Calming Christian,english,calm,1
7uUZnoH4YytuTYva20onTm,"calming, reading music ",english,calm,1
37i9dQZF1DX4sWSpwq3LiO,Peaceful Piano,english,calm,1
37i9dQZF1DX4TnpT6vw5rE,Atmospheric Calm,english,calm,1
