Playlist-ID,Title,Language,Label,isTruthWorthy
6RlH1VaZPUctlDzWWPM1df,calm french songs,french,calm,1
0baWSPBYRBKCb1eQuZNm8j,calm french music,french,calm,1
2APKlQI3djv4PwLfpd6JrR,French Breakfast Caf,french,calm,1
0WThPVlUdk7RroGgOZTGiT,Calm French Music,french,calm,1
1JRHrFRPA7paE2Vi2SFYt2,Calming French Songs,french,calm,1
5iNYMsQRK3nLQGfzlxhWuZ,French Cafe,french,calm,1
7f4HLMJhwQgMcxCRlF9iuC,Calming French Music,french,calm,1
1V1abxZHXirrUJmpQPBsgr,french music. ,french,calm,1
2lIR7D35E0MIQrQiNFJMUi,pretty french songs <33,french,calm,1
2a7xgdeQb4Pft7OYqOcFUi," old/French love songs, Harry Potter, piano music, and indie/alt calming music",french,calm,1
2i5JHalBOolotQnt232VsI,french calm,french,calm,1
7fyiKkt5PuOBGT4JpSelnV,Studying in a French Cafe ,french,calm,1
1mM8O0StyTML8bI8ZnzaoP,calm french bitches,french,calm,1
4sSiEnyeIBIgOowxSo4z2e,calming french songs.,french,calm,1
5ZOr4rQJOSTk8pO7eUEGDT,Classroom French Music,french,calm,1
1tWJZ3qUvA4rH9B49M2KKQ,Calm french/English songs,french,calm,1
5RaYLH8tADJJ6qI5uHKc4Y,frenchy calm,french,calm,1
2SKCoJbpLr1IwLGJdDMKnK,French rap Calm,french,calm,1
5xsSIAiMxgMGFD0rYzzHEJ,calming french,french,calm,1
6PhSX7vsDu8leAxXRnDAo6,calm french,french,calm,1
