Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
6IiHR8CKiV1GLs49dQBCq2,10 ans de nous,0.47,0.374,10,-8.921,1,0.0373,0.89,1.02e-05,0.105,0.156,98.675,207133,4,6RlH1VaZPUctlDzWWPM1df
3iXhLi33EpUfcOwasC8un1,Ta reine,0.668,0.44,9,-10.607,0,0.0801,0.822,3.98e-06,0.0901,0.127,107.091,213200,4,6RlH1VaZPUctlDzWWPM1df
7FMDhuPk4KiG2Y1DV7y56c,je sais pas danser,0.633,0.365,6,-13.264,0,0.0317,0.867,0.0995,0.11,0.113,110.663,138747,4,6RlH1VaZPUctlDzWWPM1df
5iDhyg8xIAkK1EJtZdL4Vr,La mort des étoiles,0.456,0.153,9,-16.021,1,0.0296,0.887,1.08e-05,0.118,0.314,92.342,259733,4,6RlH1VaZPUctlDzWWPM1df
3ZnHGaoMCSkCcLGuSmTHrr,Place espoir,0.427,0.0855,4,-20.296,1,0.061,0.952,0.00109,0.177,0.29,75.372,244213,3,6RlH1VaZPUctlDzWWPM1df
472uPdoGK0wQLmSGfYQEtR,Maman,0.404,0.184,1,-12.173,1,0.0276,0.674,0.0876,0.0972,0.123,98.864,229756,4,6RlH1VaZPUctlDzWWPM1df
52APn0QJbjtcHRK0fiXpL6,On brûlera,0.487,0.494,7,-7.193,0,0.0266,0.604,0,0.204,0.139,101.962,207320,3,6RlH1VaZPUctlDzWWPM1df
3EjJfMN67Bcv3FCGR9UgBB,Flash,0.659,0.345,5,-11.776,1,0.0615,0.55,0.0105,0.327,0.429,128.162,171027,4,6RlH1VaZPUctlDzWWPM1df
07xcwSMHipYF9RvHvEHj0x,La fille du bus (Piano Version),0.399,0.206,10,-16.197,1,0.0441,0.925,3.26e-06,0.0875,0.309,96.576,342000,4,6RlH1VaZPUctlDzWWPM1df
59HKbTnmmFONvKLAPuc9rF,Nombreux,0.413,0.116,9,-14.978,0,0.092,0.946,0,0.108,0.254,77.781,192547,3,6RlH1VaZPUctlDzWWPM1df
0892wPiVU3lHRaH7L6l7g1,Vérité,0.766,0.528,1,-7.827,0,0.0649,0.598,0.0132,0.0918,0.514,96.976,225897,4,6RlH1VaZPUctlDzWWPM1df
4ysbxlUlb00V0vFvq4Ixk1,Pauline,0.733,0.73,10,-6.417,1,0.0848,0.27,2.88e-06,0.367,0.809,101.003,159893,4,6RlH1VaZPUctlDzWWPM1df
7qx03NsIL42jM03zFphnRO,Corps,0.501,0.211,5,-11.719,0,0.0386,0.937,0.000574,0.102,0.131,77.784,313184,1,6RlH1VaZPUctlDzWWPM1df
1O6DwxJc5JUZHblh7VSTmY,La signification du verbe oublier (Piano Version),0.468,0.268,2,-12.87,1,0.0424,0.88,2.65e-06,0.108,0.346,117.209,211525,4,6RlH1VaZPUctlDzWWPM1df
7HkAkY0BzNadFvoh3Z9x8z,Faufile,0.396,0.109,4,-11.216,0,0.0362,0.97,7.55e-06,0.101,0.195,124.206,152453,4,6RlH1VaZPUctlDzWWPM1df
7qx03NsIL42jM03zFphnRO,Corps,0.501,0.211,5,-11.719,0,0.0386,0.937,0.000574,0.102,0.131,77.784,313184,1,6RlH1VaZPUctlDzWWPM1df
3g3hdxM5U2CLv2Blb9Xz9u,2h12,0.825,0.221,4,-19.249,1,0.313,0.741,0,0.111,0.262,105.875,190209,4,6RlH1VaZPUctlDzWWPM1df
5lIOhDGfy2lQJWWwxBm8L4,Quelqu'un m'a dit,0.611,0.428,10,-10.723,1,0.0474,0.834,0.00517,0.113,0.389,133.281,168627,3,6RlH1VaZPUctlDzWWPM1df
2EjSObddqmZPzlcoket9WV,J'attends,0.755,0.536,5,-8.677,1,0.0674,0.651,0.000358,0.0999,0.7,120.062,280827,4,6RlH1VaZPUctlDzWWPM1df
65uoaqX5qcjXZRheAj1qQT,Dernière danse,0.669,0.449,0,-7.658,0,0.0489,0.184,0,0.0729,0.327,114.926,213493,4,6RlH1VaZPUctlDzWWPM1df
2dxyTLxvO1xzHSD6fDafwZ,nuits d'été,0.71,0.458,6,-11.79,0,0.0757,0.71,0.00179,0.112,0.29,144.019,207053,4,6RlH1VaZPUctlDzWWPM1df
4hJljAGAHwfbeCx4y3UpgW,Ta reine - Version orchestrale,0.486,0.304,9,-9.281,0,0.0366,0.773,0,0.175,0.289,106.79,271320,4,6RlH1VaZPUctlDzWWPM1df
1ZRBUqHptQJTtUZPHy84Ll,Les jupes,0.45,0.264,7,-9.899,1,0.0489,0.673,0,0.104,0.197,84.294,180452,4,6RlH1VaZPUctlDzWWPM1df
1HYiZbH7QTKfOUe9AmvbJr,anxiété,0.562,0.413,9,-11.356,0,0.0292,0.934,0.262,0.114,0.211,122.127,230827,4,6RlH1VaZPUctlDzWWPM1df
7M3HuQRRAm1QD4kftmq0bb,Amour plastique,0.7,0.354,6,-14.043,0,0.0345,0.765,0.00158,0.128,0.245,119.965,227027,4,6RlH1VaZPUctlDzWWPM1df
2CFGQXM3exBO8U9WGve2GY,Elle me dit,0.791,0.772,10,-3.715,1,0.0394,0.0585,0.000242,0.0776,0.476,125.992,216933,4,6RlH1VaZPUctlDzWWPM1df
5lIOhDGfy2lQJWWwxBm8L4,Quelqu'un m'a dit,0.611,0.428,10,-10.723,1,0.0474,0.834,0.00517,0.113,0.389,133.281,168627,3,6RlH1VaZPUctlDzWWPM1df
3G5VTRmBWKnjiN5qX5VbHU,Dominique,0.736,0.335,2,-8.182,1,0.102,0.734,0,0.11,0.507,135.891,176653,4,6RlH1VaZPUctlDzWWPM1df
4dPITmujWbI8ibU1QVidCE,Les Champs-Elysées,0.627,0.52,0,-6.558,1,0.0582,0.177,0,0.291,0.574,106.883,184791,4,6RlH1VaZPUctlDzWWPM1df
6ot0yfZhrCWsv63xj5uoib,J'arrive à toi,0.427,0.241,11,-9.366,0,0.0407,0.935,0,0.109,0.151,126.418,181082,4,0baWSPBYRBKCb1eQuZNm8j
2v9AGeylYJq2EjC9vtSr99,Quelqu'un M'a Dit,0.559,0.448,10,-10.418,1,0.0481,0.823,0.00125,0.126,0.399,133.484,163579,3,0baWSPBYRBKCb1eQuZNm8j
1jx8ydYcoTChx3nyr6T7U1,Dolce Francia,0.681,0.289,9,-8.966,0,0.0388,0.869,1.95e-06,0.155,0.296,85.951,233303,4,0baWSPBYRBKCb1eQuZNm8j
68w8ukyNHtrsDYn2aGD3mU,Darling,0.398,0.368,3,-8.012,1,0.0373,0.926,6.24e-06,0.101,0.433,89.127,198024,4,0baWSPBYRBKCb1eQuZNm8j
7qZMeAemPmRDsO4QOvI7uX,C'est Beau La Vie,0.656,0.301,9,-17.455,0,0.0636,0.602,0.224,0.108,0.389,159.902,294771,4,0baWSPBYRBKCb1eQuZNm8j
15RAyUYDEFWUl2wUZDJGqE,Le dernier train,0.671,0.279,0,-10.852,0,0.0655,0.286,0.000265,0.0868,0.644,129.277,166493,4,0baWSPBYRBKCb1eQuZNm8j
2yQgLsOqgpquP1kScurWed,Il N'y a Pas D'Amour Heureux - Remastered,0.269,0.143,2,-16.536,0,0.0339,0.661,6.04e-05,0.0482,0.106,138.497,385413,3,0baWSPBYRBKCb1eQuZNm8j
1yGn5Nzwxi6ZPGXUzH7XKo,A la longue,0.616,0.583,8,-8.374,1,0.0286,0.711,0.296,0.191,0.628,125.032,161147,4,0baWSPBYRBKCb1eQuZNm8j
2MHLF1mrNQYZvjcknCXDEN,Surannée - Seventeen,0.558,0.316,2,-11.814,0,0.0288,0.68,0.0971,0.111,0.431,104.971,144520,4,0baWSPBYRBKCb1eQuZNm8j
4QrqAfFmcMKdsef1yhRJkI,Ailleurs,0.267,0.373,2,-9.512,0,0.0279,0.415,0.018,0.111,0.187,93.004,273427,4,0baWSPBYRBKCb1eQuZNm8j
1sKpay0q1lsH8RgafNzdI1,Sympathique,0.571,0.352,5,-11.946,1,0.0531,0.728,0,0.096,0.775,129.443,168187,4,0baWSPBYRBKCb1eQuZNm8j
3a61AXiLnRT456B4MeW7mT,Les Etoiles,0.626,0.317,7,-13.692,0,0.0414,0.931,0.363,0.0937,0.568,97.281,198347,4,0baWSPBYRBKCb1eQuZNm8j
5L1y3r57QEIMDeDXg9O7Yj,La madrague,0.503,0.297,7,-11.036,1,0.0412,0.724,1.32e-06,0.146,0.601,114.28,154560,4,0baWSPBYRBKCb1eQuZNm8j
7tk8lPTwBw2CYefi2QWR2d,La vénus du mélo,0.798,0.345,2,-12.805,1,0.0484,0.763,1.65e-06,0.115,0.486,124.164,227377,4,0baWSPBYRBKCb1eQuZNm8j
3Bv1eR7Q2AM6CZyBR1Ci7B,On N'a Pas Besoin,0.63,0.287,2,-12.971,0,0.0679,0.894,7.78e-06,0.136,0.158,133.348,247667,4,0baWSPBYRBKCb1eQuZNm8j
32FfL5hpFQdweMkxg8Z55o,Les eaux de mars,0.736,0.276,1,-12.762,1,0.0438,0.868,1.22e-05,0.0985,0.622,139.801,218190,4,0baWSPBYRBKCb1eQuZNm8j
1tENRWEzBKKTsY7dxyVZZZ,Un jour comme un autre,0.416,0.209,5,-13.88,0,0.0462,0.911,5.12e-05,0.118,0.501,190.919,140133,3,0baWSPBYRBKCb1eQuZNm8j
4VvTGipG8YaF09z0kfGqaD,Paroles paroles,0.567,0.548,5,-9.727,0,0.0463,0.728,0,0.136,0.398,125.176,245667,4,0baWSPBYRBKCb1eQuZNm8j
6illsnZ2rn1lCzXY9gBC28,Ne Me Quitte Pas,0.412,0.244,4,-11.578,0,0.0433,0.941,4.78e-05,0.156,0.25,97.855,214533,4,0baWSPBYRBKCb1eQuZNm8j
5H3ChVfItCaDpj1vPbigyX,Comme des enfants,0.686,0.354,10,-9.284,1,0.0387,0.829,0.0112,0.102,0.283,123.636,169107,3,0baWSPBYRBKCb1eQuZNm8j
4ig4r6oERf0EWrCUrnCvxq,La vie en rose,0.397,0.443,5,-8.838,1,0.0667,0.847,0,0.778,0.371,119.263,212867,4,0baWSPBYRBKCb1eQuZNm8j
5ZDVcMPYbEaxGSjaR5gHoR,Mon homme,0.469,0.339,8,-9.438,1,0.303,0.826,0,0.139,0.575,90.442,223560,4,0baWSPBYRBKCb1eQuZNm8j
42hJOEYrLp7WbpqOnOLymI,Hymme a L'Amour,0.322,0.397,4,-3.18,1,0.0342,0.881,0.000152,0.142,0.173,90.088,156015,4,0baWSPBYRBKCb1eQuZNm8j
2l6DQhntXV2HdLKxB4kUAD,Je Suis Comme Je Suis,0.475,0.333,10,-9.115,1,0.0394,0.886,0,0.0858,0.354,85.406,199808,3,0baWSPBYRBKCb1eQuZNm8j
49118e43sxj9BmtZbuJa3o,Un jour qui va finir,0.39,0.283,5,-11.92,1,0.0411,0.978,0.00343,0.0957,0.339,83.048,196973,4,0baWSPBYRBKCb1eQuZNm8j
3fnQuYYRAeFs1LbprgssZ9,"Je sais qu’un jour (From ""Un grand amour"")",0.289,0.185,9,-11.968,1,0.0403,0.917,4.71e-06,0.116,0.205,169.613,191600,5,0baWSPBYRBKCb1eQuZNm8j
4HCpHb84E4ap487PSkHAA0,Les Anges Maladroits,0.462,0.122,0,-15.344,1,0.0696,0.966,0.00184,0.108,0.213,94.019,114107,1,0baWSPBYRBKCb1eQuZNm8j
6ZNiWpQFq0NSxHOVfOZvYd,Mon reve familier,0.589,0.0294,8,-27.981,1,0.242,0.269,0,0.355,0.424,102.293,82733,4,0baWSPBYRBKCb1eQuZNm8j
4hu2fatpvUmKdAMtWwlFlq,Charles Baudelaire - Le Crépuscule du Matin,0.576,0.0803,10,-25.206,0,0.935,0.683,0,0.216,0.381,81.979,118547,4,0baWSPBYRBKCb1eQuZNm8j
7sZSe99XSTu5KpYJEThvWr,La mer,0.241,0.168,0,-16.267,1,0.0442,0.965,0.114,0.373,0.556,84.749,201840,3,0baWSPBYRBKCb1eQuZNm8j
2c2Ttt7IFCLBfNMJSJa5hH,La Romance de Paris,0.663,0.284,3,-13.435,1,0.0379,0.906,0.000221,0.0689,0.813,109.928,171333,3,0baWSPBYRBKCb1eQuZNm8j
6Xy0TKhM0Ytjt65QuVEN67,Petite fleur,0.616,0.214,9,-9.634,0,0.0329,0.86,0.000164,0.0945,0.447,114.99,163187,4,0baWSPBYRBKCb1eQuZNm8j
3dkIE8P7hvl3tHl9KSb6dA,"Non, je ne regrette rien",0.382,0.354,7,-6.595,1,0.0289,0.858,3.11e-06,0.168,0.435,87.018,142280,4,0baWSPBYRBKCb1eQuZNm8j
1f5RkzhoRnzCO6AzMhkhdY,Ces petits riens,0.574,0.392,10,-13.092,1,0.056,0.771,0.000356,0.119,0.618,149.137,201057,4,0baWSPBYRBKCb1eQuZNm8j
2lvlrhaZrPws3DSoZ14hcL,Raconte-moi...,0.718,0.255,6,-13.892,0,0.0451,0.875,2.94e-05,0.105,0.273,123.971,222817,4,0baWSPBYRBKCb1eQuZNm8j
2e82X6Zy1vdXSCsX3BkNa1,Poisson rouge,0.921,0.266,10,-12.749,0,0.213,0.501,0.134,0.109,0.761,123.043,151733,4,0baWSPBYRBKCb1eQuZNm8j
6lCv1OYP94cH0yni2WDDmD,Tous mes rêves,0.427,0.243,0,-11.022,1,0.03,0.874,2.71e-06,0.152,0.386,84.134,155665,3,0baWSPBYRBKCb1eQuZNm8j
3UuHS1AHJzFeTX0ZG5Nx54,J'attendrai,0.546,0.171,9,-10.827,0,0.0314,0.774,2.56e-06,0.188,0.422,116.361,229227,4,0baWSPBYRBKCb1eQuZNm8j
2VvhiOzhP3s3k8T5lPN7wN,La Javanaise,0.544,0.126,10,-16.654,1,0.0326,0.95,0.0593,0.158,0.157,107.956,249400,3,0baWSPBYRBKCb1eQuZNm8j
0OtLnXYlL9nvUDhD5CCVaY,Le Poisson Des Mers Du Sud,0.705,0.23,11,-15.204,0,0.0376,0.89,3.38e-05,0.0897,0.434,141.207,253000,4,0baWSPBYRBKCb1eQuZNm8j
5W5KoX8HtREvMD6Z22Br4u,Jardin d'hiver,0.788,0.135,1,-19.976,0,0.0353,0.492,0.0203,0.246,0.597,99.961,214003,4,0baWSPBYRBKCb1eQuZNm8j
1VbQ1nbKIEbiR7JL7htId5,Cette nuitl la,0.588,0.215,5,-10.405,0,0.0961,0.805,0.00146,0.0962,0.771,73.23,150973,4,0baWSPBYRBKCb1eQuZNm8j
482BNjycfik4vDZ8VjX5Om,Chanson triste,0.605,0.39,9,-10.673,1,0.028,0.725,0.00202,0.109,0.229,95.957,213587,3,0baWSPBYRBKCb1eQuZNm8j
5PcCSUGriuhWuyyWxuBnnM,C'est si bon - 2012,0.653,0.2,8,-10.744,1,0.044,0.906,0.00276,0.192,0.319,127.609,196780,4,0baWSPBYRBKCb1eQuZNm8j
63ztz4aRughrpWDi4mhCQA,Suzanne - Remasterisé en 2016,0.408,0.401,9,-11.933,1,0.0342,0.901,0.0278,0.116,0.665,83.03,186427,4,0baWSPBYRBKCb1eQuZNm8j
3jFtKmNqDyHp27m8lmEANY,La Rua Madureira,0.583,0.402,7,-10.659,0,0.0317,0.898,1.36e-06,0.143,0.589,85.936,197880,4,0baWSPBYRBKCb1eQuZNm8j
10Eb23W5WGNuDHTHgq5dEh,C'est le printemps,0.51,0.25,4,-14.543,1,0.0565,0.919,0.00872,0.112,0.397,80.021,268577,4,0baWSPBYRBKCb1eQuZNm8j
4zXKbHN9FKRTIirYQdMRqI,Samba de mon cœur qui bat,0.774,0.4,0,-10.992,0,0.0428,0.489,0.00129,0.0952,0.322,134.138,233960,4,0baWSPBYRBKCb1eQuZNm8j
3IyikwjDC5J3RO1z1xbyIx,Sous le ciel de Paris,0.392,0.226,9,-13.159,0,0.0372,0.9,0,0.0829,0.499,189.37,200173,3,0baWSPBYRBKCb1eQuZNm8j
5BSrJwLRF1eZr12BCVtH4B,Des croissants de soleil,0.753,0.314,2,-11.667,0,0.0265,0.849,0.0157,0.377,0.396,96.009,238573,4,0baWSPBYRBKCb1eQuZNm8j
4Ee7XJ0Yk12BnoD2wRjSjD,La belle dame sans regret - 2012,0.736,0.386,2,-10.988,0,0.0343,0.879,0.00788,0.0894,0.5,139.941,360207,4,0baWSPBYRBKCb1eQuZNm8j
523gSUSIfg3v88dW9Xp4Bq,Arc de Triomphe,0.627,0.357,7,-9.488,1,0.0628,0.784,0.838,0.0857,0.845,199.918,163413,4,0baWSPBYRBKCb1eQuZNm8j
2RcwqefTH11THzlwJHoS6D,Les yeux ouverts (dream a little dream of me),0.368,0.197,5,-12.884,0,0.0346,0.901,2.22e-06,0.128,0.175,81.97,286423,4,0baWSPBYRBKCb1eQuZNm8j
3FwNKZkn50tXoEaXKtvKXw,Le Temps Qui Passe,0.473,0.116,6,-14.788,1,0.0384,0.865,5.54e-06,0.11,0.293,79.375,217880,3,0baWSPBYRBKCb1eQuZNm8j
30N6mzmZPQ0fUGW59krTc0,Ou Est Ma Tete?,0.771,0.458,7,-7.652,1,0.0328,0.694,0.000131,0.0784,0.707,109.084,252653,4,0baWSPBYRBKCb1eQuZNm8j
5qD9XEmocpk741YXdNmqKM,L'histoire de nous,0.367,0.199,0,-12.558,1,0.0355,0.948,9.47e-05,0.128,0.229,175.473,190600,4,0baWSPBYRBKCb1eQuZNm8j
44jUoPn7lmzjgDn20gilFJ,Plaisir d'amour,0.232,0.329,3,-9.158,1,0.0313,0.832,1.23e-05,0.132,0.123,98.083,203947,3,0baWSPBYRBKCb1eQuZNm8j
4DQxCxkwVFjQzPPtCDZHfu,Saurai-je - Remastered,0.285,0.406,8,-10.799,1,0.0302,0.878,0.0126,0.272,0.34,81.208,115628,4,0baWSPBYRBKCb1eQuZNm8j
1qdWGFHf7EM321UnyT6PKL,Suzanne,0.515,0.154,6,-11.647,0,0.0428,0.912,0.000222,0.111,0.303,128.474,248320,4,0baWSPBYRBKCb1eQuZNm8j
1r4D7JxriktBGXdC8o27db,Diabolo menthe,0.698,0.303,0,-10.338,1,0.0316,0.124,0.162,0.171,0.31,110.063,176432,4,0baWSPBYRBKCb1eQuZNm8j
5oDNfTnNClOyD40Nu6iFQG,Royan,0.323,0.311,6,-10.532,0,0.028,0.647,0,0.0978,0.0749,137.52,253170,4,0baWSPBYRBKCb1eQuZNm8j
4fyWpath0tIOGT5P9NUkiD,That's Where The South Begins,0.604,0.11,3,-18.443,1,0.0426,0.986,0.923,0.138,0.236,64.251,270440,4,0baWSPBYRBKCb1eQuZNm8j
3ZAJAL00SgMUH95CG80OXR,Rue Saint-Vincent (Rose blanche),0.537,0.0845,0,-18.06,1,0.074,0.989,0.0138,0.169,0.379,108.935,205173,4,0baWSPBYRBKCb1eQuZNm8j
3vPMh9ndiNMG74MELxgPQt,Cool Night in Paris,0.453,0.0605,7,-25.466,1,0.0491,0.856,0.739,0.112,0.155,112.15,195547,4,0baWSPBYRBKCb1eQuZNm8j
3Zv9r86H4TdZ42xyes7fK0,Cool Cat,0.755,0.415,1,-12.611,0,0.0412,0.537,0.136,0.0782,0.752,148.016,221267,4,0baWSPBYRBKCb1eQuZNm8j
5zIllFUqQjHI8EvY1RBlem,Soleil,0.295,0.409,7,-10.441,1,0.0276,0.833,0.00896,0.103,0.342,99.314,225227,4,0baWSPBYRBKCb1eQuZNm8j
3npd4hkyV2IRkqj4xIIYQY,2019,0.446,0.221,0,-13.055,0,0.0327,0.984,0.00149,0.117,0.312,100.391,200760,3,1JRHrFRPA7paE2Vi2SFYt2
1J3H8pts2AOlPrEFPi3K4B,anxiété,0.564,0.417,9,-11.34,0,0.0295,0.927,0.293,0.115,0.295,122.11,231187,4,1JRHrFRPA7paE2Vi2SFYt2
5B5wOEoCAQ4Ittu0BzAJvL,je sais pas danser,0.634,0.38,6,-13.137,0,0.0356,0.834,0.133,0.11,0.118,110.847,138747,4,1JRHrFRPA7paE2Vi2SFYt2
1O9SxZf45pSdzXlxvkbvbn,les oiseaux,0.42,0.123,9,-12.467,1,0.0326,0.981,2.91e-05,0.228,0.106,102.996,196493,3,1JRHrFRPA7paE2Vi2SFYt2
5A642rvvqWKdZQnNSgBEle,1996,0.466,0.451,10,-10.272,1,0.0274,0.829,0.0574,0.314,0.209,96.413,261093,4,1JRHrFRPA7paE2Vi2SFYt2
