Playlist-ID,Title,Language,Label,isTruthWorthy
44pN3wa36GIa3BToL2TGxn,Calm Japanese,japanese,calm,1
5EIKwOv1rUfK6zQPdJB7x9,Calming Japanese soft music,japanese,calm,1
0ae9fcaA81r0OBifjfwiyF,calm japanese indie for when i study,japanese,calm,1
4wUxmKdPaeiZQxOdweICtw,Calm japanese songs,japanese,calm,1
7dkw4UhBKqz0guxx8YmuY7, japanese jazz  studying ,japanese,calm,1
0mBJXwwcwzAFYUEYKQAM2b,calm japanese/anime songs ,japanese,calm,1
7eDIaf6obY6fNdqCtAkZpY,Oriental Lofi | Japanese Lofi | Asian Lofi Hip Hop,japanese,calm,1
63axQd4jv6Qgm9Ub5wwEOq,soft japanese music,japanese,calm,1
7iEjCcx21s1T1i4oDvygMq,Sad Japanese Songs ,japanese,calm,1
7kMz0VqYtHYBVzOtI1zVbr,Zen  Japanese Lofi Chillhop & HipHop ,japanese,calm,1
4rF27OE2xxkHeiFs9cZGMW,Soothing Japanese Acoustic,japanese,calm,1
51peKlgS0g3zEtcSMg6HLG,calming Japanese songs ,japanese,calm,1
4gbX2xJoBDwTDd7z5XmIrP,"Japanese traditional music    - calm,relaxing, for study",japanese,calm,1
0kE3A6ZD25OsuekPtVgbbB,Japanese and Korean Calm Instrumental Music,japanese,calm,1
3APkHJ0SGnP5HXzjlxuGn0,Japanese Vaporwave Chill,japanese,calm,1
1lfnX3HrsWjUnYT0jAfjPG,Sleepy Traditional Japanese Playlist (& Chinese!),japanese,calm,1
2VWGSqMPTXuZMQEVu7o4uo,Beautiful Anime/Japanese Songs,japanese,calm,1
4PGwOpc0L0ApXshfqL19yk,Calming Japanese music,japanese,calm,1
0jvGFniWJL7NfSQgXXsOV4,Japanese Sad Songs  1 ,japanese,calm,1
6gU9oYFCtsZDqdbWyoSqws,Japan Peace,japanese,calm,1
