Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
4DbGntPVyXDvu9vFCYQCcW,Влюбился в неё,0.803,0.463,9,-10.207,0,0.185,0.18,2.25e-05,0.109,0.258,142.055,236603,4,2IJIz1nWV5MpPsxqdHTg7e
4k4hMoEchYnV7eRC51EZLZ,Моя слабость,0.376,0.73,6,-5.489,0,0.126,0.123,0.000194,0.108,0.472,100.018,179907,4,2IJIz1nWV5MpPsxqdHTg7e
21tTRofoXdyMJ5K31yX830,Вечера,0.79,0.362,4,-9.303,0,0.0728,0.361,0.00026,0.121,0.349,117.971,200765,4,2IJIz1nWV5MpPsxqdHTg7e
6KGfgiq6v8HAoITKPaiI07,Цветок,0.67,0.503,8,-8.813,0,0.153,0.413,0,0.216,0.456,140.173,184366,4,2IJIz1nWV5MpPsxqdHTg7e
01bfGEk9QAfTky6HqqpWR9,Я люблю тебя,0.839,0.508,0,-6.219,1,0.0502,0.69,0,0.112,0.335,117.971,203261,4,2IJIz1nWV5MpPsxqdHTg7e
7oxa45S5NlLkcBCisUSuvt,Голубые глаза,0.519,0.246,9,-9.628,0,0.0286,0.891,1.62e-05,0.0796,0.164,71.826,226667,4,2IJIz1nWV5MpPsxqdHTg7e
6NjHYjO6GUQ2OuYgrrWCCu,Родная пой,0.531,0.594,4,-8.109,0,0.0335,0.311,0,0.111,0.28,119.932,261568,4,2IJIz1nWV5MpPsxqdHTg7e
7DETuWY9GjRnHeEGGVT8Ee,Королева танцпола,0.964,0.814,9,-5.611,1,0.184,0.151,8.57e-06,0.0823,0.763,108.931,131000,4,2IJIz1nWV5MpPsxqdHTg7e
1hfISzdAwnywAKxaSpfloo,Положение,0.58,0.539,1,-8.893,0,0.322,0.542,0.000292,0.146,0.243,62.922,282621,4,2IJIz1nWV5MpPsxqdHTg7e
2gcFOhxQOqAx1OABnxvUZ4,Розовое вино,0.832,0.719,10,-5.427,0,0.0545,0.318,0.000663,0.107,0.329,115.053,246818,4,2IJIz1nWV5MpPsxqdHTg7e
6PBVlqjvNb26dYZOFKTX51,Поболело и прошло,0.786,0.603,1,-5.934,0,0.0997,0.492,0,0.0738,0.299,84.058,154286,4,2IJIz1nWV5MpPsxqdHTg7e
2LAs8ikwqxNmAIn2F5qPEr,NBA (Не мешай),0.749,0.397,6,-12.704,0,0.0293,0.314,0.553,0.101,0.394,111.953,130102,4,2IJIz1nWV5MpPsxqdHTg7e
