Playlist-ID,Title,Language,Label,isTruthWorthy
3G69estffdpaliLQHBnPUa,Calm Spanish Music ,spanish,calm,1
3yOBvh72cK78MRQCdrbUrc,Calm Spanish Songs,spanish,calm,1
5Wap7RyME0jHlTk6hfPy49,Calming Spanish Guitar,spanish,calm,1
5fNjknU904edWm0KoXPNji,Calm Spanish Guitar,spanish,calm,1
6owtugW39ISLkCfpQgDtfi,Calming Spanish music,spanish,calm,1
3QYgrw2MrJzyCdYOLGHcMq,Spanish Guitar Lullabies ,spanish,calm,1
1p78Ga9Or5U2olKmRW4qCx,Calm Spanish 💫,spanish,calm,1
6C0TXQcFQlP7SvUL8aqokI,"Gypsy Guitar - Spanish Guitar ( Flamenco ), Russian Gypsy, Roma Melodies.",spanish,calm,1
7qIOhqvvJEj7bnHDXNnYjF,Calm (Spanish),spanish,calm,1
54wALdBPk47bRlzgo9G00g,"Calm-English,Spanish",spanish,calm,1
0M2cSp2TgFPJQeWcXRX9XN,Reggaeton Dance Party 2021 // Bad Bunny Summer Latino Hits Otro Trago China Remix Daddy Yanke Keii,spanish,calm,1
2wrGsN0z2DhQy9Wtmh3u0t,Calm Spanish music ,spanish,calm,1
5KxQ5pHKJSpfYvwXbLBWLr,My calming Spanish ,spanish,calm,1
1ZciYgzNnbXaQRW7tjT6NM,Calm Spanish Nnz,spanish,calm,1
7v42H5NWvHmJeyZooblTlg,Calming Spanish,spanish,calm,1
4Elljt9W0bNvCK1UtbKVVV,Spanish Calm,spanish,calm,1
6UOsaQEL7tePNWuLAePJaS,Calming Spanish Music,spanish,calm,1
2Amir9wSlrXSwYJ6gGTE94,Calm Spanish,spanish,calm,1
68m7k4Vr9k6UeuNDTvIFz5,Semi-calming songs,spanish,calm,1
5yTKgBLwYaxzM59jEEqJLO,Calm Spanish ,spanish,calm,1
5e2DQag68QoYRV29ghUwMY,Calm Spanish Classroom Playlist,spanish,calm,1
39U07qladnQkgQJCxOpxbl,Spanish Calm.😌,spanish,calm,1
6WC0C0quau2BBVjRnf3gpu,Calm/triste Spanish ,spanish,calm,1
3SHlS5J6Mdu27p1qcD8KzX,SPANISH CALM,spanish,calm,1
391ATdzaCBaDUQp0pQNwFh,sleep/ calm playlist:),spanish,calm,1
0tqzo4d8piaudTecVXm7tU,My Calm Spanish playlist,spanish,calm,1
2IdwRvbhbUfF1CDEGxD81H,keep it calm but in spanish,spanish,calm,1
1nOKqOSjW9Rhn5blpgfh3x,Calm spanish,spanish,calm,1
6JUwcXsPgyjkxnboQ7fQp7,Calm Spanish ,spanish,calm,1
3UaXPwxyWWZUMzASHO3D7Z,calm spanish 🏝 ,spanish,calm,1
267Amu9OiPoK5gvXbPBkVL,calm Spanish music,spanish,calm,1
5eHZw5EKnTl07PNUTEv5Vb,Spanish calm,spanish,calm,1
5euFekyxcBaUxohWiMuwCN,Spanish Calm,spanish,calm,1
0F8JINQiFXO2XnMpPebFWI,Spanish Lullaby,spanish,calm,1
5mL0C2sZv3lyRwYjNTqTzR,Spanish calm,spanish,calm,1
4OFjQL5jGqQ7mw82UZ2QI0,Calm Spanish music,spanish,calm,1
0xwVWZJjzLbQm6GmxiCrDc,Spanish calm 😌,spanish,calm,1
0OgU1s2KBLa5vmlXbKJQqs,Calm Spanish,spanish,calm,1
6tHF3VPUgyCLIOMI2QOwSZ,Calming in spanish,spanish,calm,1
6UlmQCZnXjrCwO75agSHiK,spanish chill music,spanish,calm,1
6QPvvU70WW2tzGqqmRJR1w,calm spanish ,spanish,calm,1
1LKUxZ3KiOqdyMyJcxqQaa,Spanish calm,spanish,calm,1
0YjnWfUmsgOfvVEkN6U6dw,Tranki Spanish,spanish,calm,1
6qP0EmClsCAdqotM9FGy0W,songs in spanish but kinda more calm,spanish,calm,1
1AshsBz12p3AXssYbH4c4a,Andrea Bocelli — El Silencio De La Espera (Il Mare Calmo Della Sera) - Spanish Version,spanish,calm,1
7bWGEvYe7i03MDmluQRkrX,calm spanish,spanish,calm,1
3ZgWVGqzJjDeT0VAaSs7YZ,Spanish Calm🎙,spanish,calm,1
3G4SQwLAxoVvjtkhWPnDib,Calming Spanish Music,spanish,calm,1
4Dlz0L4vdALCJfHY0mEmjq,calm spanish ,spanish,calm,1
4GY0HfWko7yNeuI9GuoesR,Spanish calm,spanish,calm,1
