Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
2GSr8anleCXKLNjjjijoMZ,Yo Quisiera,0.682,0.658,2,-5.251,1,0.0432,0.0823,0,0.0851,0.784,77.978,217987,4,3G69estffdpaliLQHBnPUa
15AbuFJdFrbINydSMSqVhV,Aléjate de Mí,0.464,0.536,1,-8.372,0,0.0472,0.159,0,0.0969,0.252,145.772,258533,4,3G69estffdpaliLQHBnPUa
1ISamB2lPDAeKb4Js2hLgq,La Correcta,0.35,0.628,9,-6.004,1,0.104,0.257,0,0.122,0.552,184.801,219198,3,3G69estffdpaliLQHBnPUa
2H3kc8vwKWtgaDWs0Xw98Y,Eres Mi Religión - 2020 Remasterizado,0.639,0.824,4,-4.685,1,0.0313,0.198,3.33e-06,0.0936,0.731,92.026,329155,4,3G69estffdpaliLQHBnPUa
6bYhejv8xXUFwuh1ITSdGL,Su Hombre Soy Yo,0.766,0.788,9,-3.234,1,0.0335,0.0953,1.96e-05,0.0976,0.902,121.957,222333,4,3G69estffdpaliLQHBnPUa
2jH5j9Vw2L8NLyCCQFvvDu,El Psicológo,0.564,0.68,5,-5.176,1,0.0627,0.334,0,0.203,0.595,80.121,236067,4,3G69estffdpaliLQHBnPUa
3kKhcmaZT8JGu7sFk6AQRk,Memé,0.609,0.52,11,-8.105,1,0.0348,0.389,0,0.109,0.329,138.151,292333,4,3G69estffdpaliLQHBnPUa
4fSar1liXyxCK3lOcWHUE1,Creo en Mi,0.496,0.57,5,-6.053,1,0.0279,0.291,0,0.105,0.239,79.845,229373,4,3G69estffdpaliLQHBnPUa
6kDVqRp1rJDPrnvpyU4pfC,Si Te Vas,0.49,0.655,3,-4.37,1,0.0326,0.338,0,0.115,0.357,131.956,187333,4,3G69estffdpaliLQHBnPUa
77LUJGWSYv8rDk5AoFkcv1,Corazones Invencibles,0.553,0.713,0,-3.264,1,0.0285,0.181,0,0.156,0.303,133.832,219013,4,3G69estffdpaliLQHBnPUa
613fmscMarsGmPdgOx5b4s,Como Quiero Odiarte,0.478,0.629,9,-5.305,1,0.0344,0.257,0,0.114,0.285,147.505,253536,4,3G69estffdpaliLQHBnPUa
4eehef4hVfh5jcCRFO8vJF,Contigo quiero estar,0.624,0.614,10,-4.937,1,0.0304,0.0986,0,0.362,0.277,148.027,226769,4,3G69estffdpaliLQHBnPUa
