Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
2c1uRYARX8FF4SX1kCmIpr,Em Mới Là Người Yêu Anh - Acoustic Version,0.496,0.305,7,-7.214,1,0.035,0.973,6.58e-05,0.155,0.364,187.893,235532,4,0uDqCZfpysJ1G7PPnKpDST
4XkeDeEoSxS7V1B4cjDshU,Her Summer,0.548,0.481,2,-10.049,1,0.0408,0.758,4.23e-06,0.103,0.244,139.911,224589,4,0uDqCZfpysJ1G7PPnKpDST
7JVxQjXcMlIwHuwrq7AY8E,1 Phút,0.42,0.36,1,-6.006,1,0.0288,0.954,0.00123,0.113,0.423,135.755,375989,4,0uDqCZfpysJ1G7PPnKpDST
5Bti0azlFhMattVY76qFr9,Lạ Lùng,0.617,0.212,0,-9.856,1,0.0334,0.958,0.00157,0.131,0.219,126.579,261616,4,0uDqCZfpysJ1G7PPnKpDST
6aHgd9wFzDZed8KnAqMLeD,Câu Trả Lời,0.377,0.338,8,-8.584,1,0.0324,0.867,0.00412,0.0868,0.401,145.289,167293,4,0uDqCZfpysJ1G7PPnKpDST
7KiVghFxUSJjrSQXlb9tdh,Nhắm Mắt Thấy Mùa Hè,0.542,0.304,9,-7.675,0,0.027,0.916,0.00321,0.0999,0.305,105.011,282857,3,0uDqCZfpysJ1G7PPnKpDST
1OXw2ai4QEjMCSkyqbpiDZ,"Dung Yeu Nua, Em Met Roi",0.569,0.615,3,-4.449,1,0.0295,0.557,0,0.102,0.324,155.969,281455,4,0uDqCZfpysJ1G7PPnKpDST
1QQUUu77FnIypnOdz3G2uc,Vẫn,0.516,0.29,5,-9.37,1,0.0272,0.799,0,0.102,0.193,78.871,338678,4,0uDqCZfpysJ1G7PPnKpDST
3Lpk4lQN6nziIwI7pY8NO2,Dấu Mưa,0.662,0.265,2,-7.556,1,0.0309,0.862,0,0.0867,0.298,84.921,260094,4,0uDqCZfpysJ1G7PPnKpDST
0yJkLMRhbrzdCvSBmi9agE,"Cho Nhau Nhe - Suni Ha Linh, ERIK - Original",0.524,0.194,2,-9.95,1,0.0383,0.813,0,0.0917,0.257,133.958,218985,4,0uDqCZfpysJ1G7PPnKpDST
5fRRhPduSMGfKxrhlLOa8l,Yêu Như Ngày Yêu Cuối,0.638,0.436,2,-6.291,0,0.0311,0.787,0,0.0546,0.232,119.941,296133,4,0uDqCZfpysJ1G7PPnKpDST
4TkgDciQo9zE6Nfrvug0GM,Y.E.U (L.O.V.E) [Acoustic Version],0.625,0.333,3,-5.93,1,0.0289,0.844,0,0.0901,0.157,116.031,258621,4,0uDqCZfpysJ1G7PPnKpDST
6Cg4aBvl9tArRHFsbw94Yc,Tôi Là Ai Trong Em (Đồi Thông) (Taxi! Em Tên Gì Ost),0.487,0.362,6,-6.594,1,0.0281,0.731,6.81e-06,0.0764,0.3,127.838,302172,4,0uDqCZfpysJ1G7PPnKpDST
0wfwhnAYNXg104UAqqZCO5,Tâm Sự Với Người Lạ,0.648,0.449,5,-7.945,0,0.0322,0.635,0,0.14,0.231,96.057,258847,4,0uDqCZfpysJ1G7PPnKpDST
3LGNVNZeEIUwdzDvnUO73V,Phút Ban Đầu,0.465,0.0886,1,-13.165,1,0.0393,0.952,0.000121,0.115,0.157,136.092,243226,4,0uDqCZfpysJ1G7PPnKpDST
3EmZ8ZFtWaTsendAqKUKi9,Love Is Only You(MOMOLA),0.656,0.724,9,-4.283,1,0.0335,0.313,0,0.198,0.386,107.054,247387,4,0uDqCZfpysJ1G7PPnKpDST
12HaeiaS5UJgoxvnLgU5ro,Cũng Đành Thôi,0.494,0.491,7,-6.527,1,0.0268,0.546,0,0.105,0.308,143.915,272944,4,0uDqCZfpysJ1G7PPnKpDST
2NEzxeMKW0mk5pr7tcrvs2,Có Chàng Trai Viết Lên Cây,0.34,0.446,0,-9.383,0,0.0479,0.969,0.000454,0.128,0.149,177.284,305786,4,0uDqCZfpysJ1G7PPnKpDST
0WQQ1LttzjcSoIjxLfcWna,Em Lỡ Thôi À,0.551,0.475,0,-5.922,0,0.0356,0.852,0,0.134,0.275,146.158,331276,4,0uDqCZfpysJ1G7PPnKpDST
5ccdGTzOHdkDUJMDFhyCjP,Hôm Nay Tôi Buồn,0.432,0.359,0,-8.897,1,0.0288,0.853,1.06e-06,0.106,0.215,133.897,275845,4,0uDqCZfpysJ1G7PPnKpDST
34uOIsoy6ETS2sxOTWBRDF,Trốn Tìm,0.771,0.287,9,-17.208,0,0.072,0.669,0,0.104,0.402,93.041,248871,4,0uDqCZfpysJ1G7PPnKpDST
6TD5xfffOnYHliuF1wzL6U,Sài Gòn Đau Lòng Quá,0.418,0.382,3,-7.778,1,0.0319,0.786,1.38e-06,0.386,0.261,163.878,308689,4,0uDqCZfpysJ1G7PPnKpDST
3VOeGtJwJh2jslvQAFaaEn,Chuyện Rằng,0.811,0.276,7,-14.892,1,0.042,0.785,2.83e-06,0.128,0.704,95.021,272152,4,0uDqCZfpysJ1G7PPnKpDST
423psT9xFX4cIJtbsNzf7W,Chưa Bao Giờ,0.443,0.339,5,-6.808,0,0.0277,0.874,1.79e-05,0.1,0.263,145.878,273960,4,0uDqCZfpysJ1G7PPnKpDST
3clfEGdaeSmWM6pDekmZ2G,đen đá không đường,0.531,0.362,8,-8.663,1,0.0698,0.654,9.58e-05,0.0921,0.592,139.47,180500,4,0uDqCZfpysJ1G7PPnKpDST
0vB6E5gTZtnpodQCCW29JN,sao anh chưa về nhà,0.747,0.601,4,-8.134,1,0.0395,0.296,2.57e-05,0.0912,0.211,106.027,244000,4,0uDqCZfpysJ1G7PPnKpDST
1PSmJr2mHzDjYXrKvQPKb0,nàng thơ... trời giấu trời mang đi,0.463,0.306,8,-11.814,0,0.0421,0.883,0,0.113,0.301,92.827,262151,4,0uDqCZfpysJ1G7PPnKpDST
1fh5Sf3fFESFOS8D82RQiI,từ thích thích thành thương thương,0.637,0.31,8,-11.232,1,0.0362,0.755,3.22e-06,0.0925,0.374,104.07,204231,4,0uDqCZfpysJ1G7PPnKpDST
1ecVks3GJX8U67DvhVDVBn,trời giấu trời mang đi,0.438,0.408,3,-9.857,1,0.0705,0.688,0,0.121,0.373,92.053,253500,4,0uDqCZfpysJ1G7PPnKpDST
4vn6KW4zlIoCYMudms3WrI,Già Cùng Nhau Là Được,0.641,0.7,5,-10.669,1,0.344,0.918,5.91e-05,0.0933,0.363,174.001,231362,4,3FvpYKueKfwMVftdUxh7gK
2EZtTS76x5M6hK96CLclPd,Liệu Giờ,0.658,0.451,6,-7.721,1,0.041,0.531,3.39e-05,0.122,0.472,179.862,258668,4,3FvpYKueKfwMVftdUxh7gK
42pZsfo15M63tgCpDeGCx6,3 1 0 7,0.793,0.463,11,-7.654,1,0.0589,0.846,4.15e-06,0.184,0.476,123.944,232258,4,3FvpYKueKfwMVftdUxh7gK
1HDrKXya87GMQfAGPlqNS9,Muốn Nói Với Em,0.564,0.592,0,-9.458,1,0.0449,0.525,0.0199,0.102,0.427,147.941,233514,4,3FvpYKueKfwMVftdUxh7gK
7qFV2XU5TcouuYxPOyH8U3,Bông Hoa Chẳng Thuộc Về Ta - Wind Remix,0.728,0.608,4,-6.71,1,0.0571,0.408,0.00156,0.08,0.587,129.996,195851,4,3FvpYKueKfwMVftdUxh7gK
0B1ZnYwYefkNhZeE8ZQpv5,Đông Kiếm Em,0.535,0.0646,2,-15.395,1,0.0381,0.954,0.000102,0.1,0.143,134.584,246043,4,3FvpYKueKfwMVftdUxh7gK
4Ba99csVDlRFQILO5cSi7I,Blue Tequila,0.34,0.255,11,-13.713,1,0.0611,0.882,6.38e-05,0.161,0.46,67.905,202625,4,3FvpYKueKfwMVftdUxh7gK
6rf1v7nNGLy4eIm9riU7qf,I'm (Hmm) Fine,0.823,0.375,0,-7.631,1,0.0628,0.423,0,0.104,0.558,109.906,213818,4,3FvpYKueKfwMVftdUxh7gK
5HsSsEeP3hU9QSfHZrzbtA,3:00 AM,0.55,0.147,0,-18.675,0,0.0404,0.563,0.00102,0.286,0.0346,81.991,201951,4,3FvpYKueKfwMVftdUxh7gK
3BwFxsC7QpRejdE9GXFQI4,Chỉ Còn Ta Và Ta Giữa Trời,0.794,0.595,0,-7.846,1,0.336,0.708,0,0.0984,0.239,79.998,186816,4,3FvpYKueKfwMVftdUxh7gK
5GgogrwHpquGTpMRxk5dCO,Bông Hoa Chẳng Thuộc Về Ta,0.74,0.405,4,-11.883,1,0.0634,0.85,0.000162,0.392,0.405,129.988,186505,4,3FvpYKueKfwMVftdUxh7gK
5il1lMB67V4Hhu3aMvHSSv,Lý Do Nào Để Quay Lại Với Nhau,0.732,0.444,2,-12.362,1,0.0401,0.439,0.0113,0.213,0.125,136.001,116000,4,3FvpYKueKfwMVftdUxh7gK
5VuJoNuYTWBVlvvhIe9L5g,Cigarette,0.513,0.244,3,-18.151,0,0.291,0.962,0.00181,0.12,0.372,82.511,162912,4,3FvpYKueKfwMVftdUxh7gK
5Bti0azlFhMattVY76qFr9,Lạ Lùng,0.617,0.212,0,-9.856,1,0.0334,0.958,0.00157,0.131,0.219,126.579,261616,4,3FvpYKueKfwMVftdUxh7gK
55dmELbeRGVHhddaULOG8h,Nợ Ai Đó Lời Xin Lỗi,0.574,0.379,0,-9.42,0,0.0392,0.77,0,0.0687,0.285,115.866,337279,4,3FvpYKueKfwMVftdUxh7gK
43EN6U5AgIu06bbZ0pfHv9,Anh Mệt Rồi (Lofi Ver.),0.599,0.498,9,-6.951,1,0.0551,0.531,0,0.343,0.253,85.985,262326,4,3FvpYKueKfwMVftdUxh7gK
6Bwfp26rlqnG7RKAYin4Ru,Chẳng Thể Tìm Được Em,0.589,0.251,0,-11.583,0,0.0305,0.838,0.000585,0.362,0.181,115.971,347587,4,3FvpYKueKfwMVftdUxh7gK
60fOQ17VEfVTYzQ9GEXgX3,Kém Duyên,0.828,0.675,10,-5.056,1,0.038,0.282,0,0.106,0.668,110.053,224744,4,3FvpYKueKfwMVftdUxh7gK
6ofT2iaGBNKXOnJv29Bj6y,Mặt Trời Của Em,0.728,0.515,3,-9.968,1,0.124,0.807,0,0.345,0.627,89.989,256393,4,3FvpYKueKfwMVftdUxh7gK
7lEstqyqyd110xz5R3kqzR,Nắng,0.759,0.377,2,-7.874,1,0.0382,0.383,8.15e-05,0.123,0.34,124.934,165283,4,3FvpYKueKfwMVftdUxh7gK
7tJwZOWa8WprSt4KNYKuc4,Như Anh Mơ,0.785,0.431,11,-9.905,1,0.042,0.701,0.000187,0.141,0.571,105.0,361327,4,3FvpYKueKfwMVftdUxh7gK
4inMQ83GNpQ2OHDredH5hW,24h,0.763,0.619,8,-8.427,1,0.072,0.526,4.81e-05,0.102,0.117,119.985,257000,4,3FvpYKueKfwMVftdUxh7gK
3CwALGfKDBlCwGdiMLSCTY,mama boy,0.678,0.848,1,-4.147,1,0.0706,0.399,0.00358,0.496,0.545,177.239,204428,4,3FvpYKueKfwMVftdUxh7gK
1869eRZA3YeXKKKwmViVO1,tonight,0.716,0.632,5,-7.102,1,0.0837,0.255,0.546,0.124,0.408,170.1,84875,4,3FvpYKueKfwMVftdUxh7gK
6P3nUwIeFw75lQVVHNf89C,Tìm (Lost) (Acoustic Ver.),0.497,0.258,6,-7.662,1,0.0321,0.848,0,0.2,0.245,113.417,298500,4,3tK9MCUIya89PgBowL8AzM
1fh5Sf3fFESFOS8D82RQiI,từ thích thích thành thương thương,0.637,0.31,8,-11.232,1,0.0362,0.755,3.22e-06,0.0925,0.374,104.07,204231,4,3tK9MCUIya89PgBowL8AzM
49joi652xs0XwxBwQn4wJZ,Anh Đã Quên - Acoustic Version,0.475,0.265,8,-10.986,1,0.0338,0.883,2.26e-05,0.117,0.314,92.883,239023,4,3tK9MCUIya89PgBowL8AzM
7JVxQjXcMlIwHuwrq7AY8E,1 Phút,0.42,0.36,1,-6.006,1,0.0288,0.954,0.00123,0.113,0.423,135.755,375989,4,3tK9MCUIya89PgBowL8AzM
0F8CcM8nEpFiyZ1e537pIe,Người Yêu Dấu Ơi (Cover),0.595,0.264,9,-9.849,1,0.0346,0.915,0.000757,0.107,0.226,129.903,291462,4,3tK9MCUIya89PgBowL8AzM
6ZHGdNYXz1l1YW2tGumJbJ,Chờ Đợi Có Đáng Sợ,0.492,0.355,1,-9.158,1,0.0304,0.854,1.84e-06,0.125,0.34,125.478,282667,4,3tK9MCUIya89PgBowL8AzM
4KNzwYexLQsRxIvcRvBZ4T,Chờ Nhau Nhé,0.403,0.188,2,-10.059,1,0.045,0.817,0,0.092,0.221,73.927,218951,4,3tK9MCUIya89PgBowL8AzM
2vqSyJpE0bwqFwEXtFkIlz,Hoa Nở Không Màu (Acoustic Version),0.586,0.282,10,-8.173,0,0.0301,0.942,0,0.346,0.417,72.936,320333,4,3tK9MCUIya89PgBowL8AzM
0bx6XOpew71bBk0vFjAHIZ,Thế Giới Mất Đi Một Người,0.552,0.291,10,-9.963,0,0.039,0.835,0,0.148,0.391,118.685,273032,4,3tK9MCUIya89PgBowL8AzM
5wDdEoT01i4clgV9tBVDaQ,Vì Sao Thế,0.682,0.236,1,-11.638,1,0.0471,0.889,0,0.162,0.242,119.119,288445,4,3tK9MCUIya89PgBowL8AzM
60mz7rC0aAPsokG4FLR5CK,"Mashup Ngồi Nhìn Mưa Trên Biển Vắng, Nhớ Về Anh",0.415,0.132,7,-14.199,0,0.0466,0.94,9.9e-06,0.0939,0.351,183.159,237115,1,3tK9MCUIya89PgBowL8AzM
6Svr3WVxSDjTJbcyqMAbHV,Tiểu Thuyết Tình Yêu,0.789,0.237,8,-11.92,1,0.0605,0.813,0,0.0904,0.405,80.079,149827,4,3tK9MCUIya89PgBowL8AzM
3TeEUcL4BAHyAKNCOz7pL8,Ai Khóc Nỗi Đau Này (Cover),0.673,0.335,10,-6.975,0,0.0354,0.855,0,0.0796,0.529,107.16,215002,4,3tK9MCUIya89PgBowL8AzM
042eHonAY0Wu36hinabtWB,Chuyện Tình Lá Gió,0.508,0.342,1,-8.522,0,0.0364,0.931,0,0.278,0.226,107.06,278144,4,3tK9MCUIya89PgBowL8AzM
0jhJLhUx0YMYSE4nthdUFx,Mashup Chưa Bao Giờ Rời Xa (Cover),0.474,0.154,8,-11.557,0,0.0364,0.92,1.57e-06,0.0928,0.314,134.855,248869,4,3tK9MCUIya89PgBowL8AzM
1NzfPTisekhQSsVd7mkyX9,Một Ngày Mùa Đông,0.928,0.475,4,-9.101,0,0.0533,0.42,0,0.105,0.583,111.995,268393,4,3tK9MCUIya89PgBowL8AzM
3LGNVNZeEIUwdzDvnUO73V,Phút Ban Đầu,0.465,0.0886,1,-13.165,1,0.0393,0.952,0.000121,0.115,0.157,136.092,243226,4,3tK9MCUIya89PgBowL8AzM
3Pb6H8Oe42b54MjjKhRAIV,Người ta nói,0.69,0.419,5,-7.891,1,0.042,0.93,2.9e-06,0.105,0.297,114.746,262507,4,3tK9MCUIya89PgBowL8AzM
2jbdnkB65zufXhQNhrAOEq,Chiều Nay Không Có Mưa Bay,0.474,0.151,5,-10.701,1,0.0618,0.967,0,0.108,0.236,75.272,243200,4,3tK9MCUIya89PgBowL8AzM
36Ra8fYGdMwu3DO1UqZo9A,Dù Có Cách Xa (Cover),0.598,0.298,4,-6.878,1,0.0632,0.873,0,0.107,0.448,111.325,255608,4,3tK9MCUIya89PgBowL8AzM
5uBRTpKN9CXhngFXXUD7qc,A Whole New World (From ''Aladdin'') [Instrumental Guitar],0.509,0.154,2,-19.764,1,0.0461,0.93,0.934,0.24,0.421,105.145,91872,4,3tK9MCUIya89PgBowL8AzM
4TA4lG9mSShNYF1iLuoy8J,Vẫn Hát Lời Tình Yêu,0.667,0.486,4,-6.706,0,0.0377,0.565,0,0.209,0.464,172.047,238655,4,3tK9MCUIya89PgBowL8AzM
6QkCArFX51uEO4NHd5NBW1,Anh Cứ Đi Đi (Cover),0.515,0.269,5,-8.04,0,0.0342,0.907,0,0.203,0.521,146.127,220373,4,3tK9MCUIya89PgBowL8AzM
3KoptbW5PMVOmj60dkqJTz,Và Cơn Mưa Tới,0.662,0.186,2,-10.589,1,0.0435,0.805,0,0.128,0.484,130.113,232615,4,3tK9MCUIya89PgBowL8AzM
5goYYMtdIzDdTh75WuwQTp,Vì Anh Cần Em (This Love Cover),0.52,0.294,1,-10.562,1,0.0553,0.864,0,0.183,0.409,68.381,219835,4,3tK9MCUIya89PgBowL8AzM
03Cg4322BWozBtdwiYXD7p,Làm Ơn,0.718,0.376,9,-10.999,1,0.027,0.882,0,0.111,0.166,105.009,299746,4,3tK9MCUIya89PgBowL8AzM
72LwfrdylB54MiaSGICwd7,Xin Lỗi,0.563,0.159,6,-12.253,0,0.048,0.917,0.000239,0.115,0.243,81.557,212992,3,3tK9MCUIya89PgBowL8AzM
3ENRsPZlYGqFs6KlASLJEC,Dòng Sông Lơ Đãng,0.628,0.305,4,-9.15,0,0.059,0.759,0,0.106,0.343,170.038,213176,4,3tK9MCUIya89PgBowL8AzM
0b88rfGdDCAswJ2li6a6FS,Người tình mùa đông,0.579,0.326,9,-7.393,0,0.0267,0.924,5.18e-06,0.335,0.323,100.183,264768,4,3tK9MCUIya89PgBowL8AzM
0VtAJn6CUdRvftjUcWQaqm,Uoc Gi,0.736,0.237,2,-14.19,1,0.0419,0.617,0,0.105,0.47,123.996,318417,4,3tK9MCUIya89PgBowL8AzM
6T4MIHclKSaHN8ksUYRVW6,Vài Lần Đón Đưa,0.452,0.434,5,-5.046,0,0.0311,0.726,4.82e-06,0.102,0.301,102.031,235050,4,3tK9MCUIya89PgBowL8AzM
4waWgT2lI4xEhVAaKyIFaB,Tối Nay,0.382,0.172,8,-12.539,1,0.041,0.779,0,0.0974,0.318,185.833,322417,3,3tK9MCUIya89PgBowL8AzM
4YfbHXy4bbCR4Y0NaGXaNm,Hạ Cuối,0.375,0.308,7,-5.745,0,0.037,0.9,1.55e-06,0.099,0.197,182.854,230374,3,3tK9MCUIya89PgBowL8AzM
5ATashcdj0Bio0J9I3gk62,Đi Qua Mùa Hạ,0.416,0.332,10,-10.479,1,0.0535,0.873,0,0.106,0.225,182.905,283262,3,3tK9MCUIya89PgBowL8AzM
1iLlcwUV6MmaH6K7BPyWhS,Khong Con Mua Thu,0.784,0.129,2,-18.859,1,0.0582,0.806,0,0.112,0.64,119.992,237355,4,3tK9MCUIya89PgBowL8AzM
0ykzSJXUHS5OOmzSpaNdJf,Giot Nang Ben Them,0.633,0.19,2,-13.624,1,0.043,0.846,0,0.107,0.505,139.871,303340,4,3tK9MCUIya89PgBowL8AzM
07MKGrNjnls7H2W7dLMEso,Để Dành,0.587,0.272,0,-7.994,1,0.0305,0.801,0,0.101,0.269,96.614,316395,4,3tK9MCUIya89PgBowL8AzM
3WkvZbY9jVVIfBGhrcnVAL,Phố Không Em,0.464,0.128,6,-13.081,1,0.0576,0.949,0,0.11,0.392,180.524,286447,3,3tK9MCUIya89PgBowL8AzM
2fkUeJwmCwF5LrSwsFcgBB,Một Ngày Mùa Thu,0.446,0.307,2,-9.164,1,0.113,0.873,6.02e-06,0.108,0.504,72.46,245101,4,3tK9MCUIya89PgBowL8AzM
3tZN1J8zIoLlzqQPlUkeyE,Chẳng Nói Nên Lời,0.69,0.197,0,-8.643,1,0.0361,0.885,0,0.33,0.424,119.892,328709,3,3tK9MCUIya89PgBowL8AzM
2bfTToJ89SOU6faldEmeLG,Những Ngày Vắng Em,0.471,0.27,10,-9.352,1,0.0437,0.904,2.37e-06,0.126,0.44,178.921,250110,3,3tK9MCUIya89PgBowL8AzM
6HAiEuBujXcgGHnWXR0HTp,Ngoài Đằng Kia Mùa Đông,0.597,0.442,0,-8.452,1,0.052,0.637,0,0.206,0.756,75.129,220041,4,3tK9MCUIya89PgBowL8AzM
3A66xi3aLPuqAFvkRNrpry,Đôi Lời,0.325,0.195,7,-12.306,1,0.0327,0.822,0,0.138,0.518,81.465,232100,4,3tK9MCUIya89PgBowL8AzM
5Mr76SFPTsmrtdAzbS9xUe,Phut Cuoi,0.303,0.187,7,-13.693,1,0.0301,0.871,2.41e-06,0.128,0.358,186.768,351716,3,3tK9MCUIya89PgBowL8AzM
1CFjZINy0r20z6eowL1nBI,Nếu Kém Duyên Vô Phận,0.648,0.298,4,-10.237,1,0.0347,0.749,0,0.0625,0.423,160.067,273817,4,3tK9MCUIya89PgBowL8AzM
0UGocdGNQN1n1TRiEv931V,Colors Of The Wind (From ''Pocahontas'') [Instrumental Guitar],0.362,0.163,1,-19.353,1,0.0438,0.938,0.512,0.194,0.246,86.027,100088,4,3tK9MCUIya89PgBowL8AzM
