Playlist-ID,Title,Language,Label,isTruthWorthy
16JGZG9gKRs6jtbz2kb80b,Energetic songs hindi,english,energetic,1
37i9dQZF1DWT6anPZiHuxz,Energetic Run,english,energetic,1
2lmcuXNkjYOoQeXvwqvvFT,energetic songs,english,energetic,1
0V32mTwWBzo6rNIk21owsY,Energetic Focus,english,energetic,1
61HtPhUmp6qNVaAq8wcOQs,Kpop Workout/Energetic Playlist,english,energetic,1
6sQIbEcuzwcuYCxeNlTgbM,Energetic Morning,english,energetic,1
3yaM8CzbmTlX7PvxtEjQ4c,Energetic Tamil Songs ,english,energetic,1
0n3JlcFl9cyHyoIuBKCNrT,Energetic LoFi,english,energetic,1
0h71cMDjVn4MAQBCYR0LYW,Energetic study,english,energetic,1
5fUCLyy4z8Jh9Rgso1W56T,Energetic Piano,english,energetic,1
38PoCVRTELMdLWdsSGPSYd,Energetic classical,english,energetic,1
2HXOvN34ub4v4yAVp164Jf,energetic kpop songs for you to wake the fk up ,english,energetic,1
3WYmyXrEqRL1UnV3ep13ie,ENERGETIC english songs,english,energetic,1
7o0F1zBcjGD2GtqfAO23qk,Energetic kpop songs to dance to,english,energetic,1
3mSm688yR6UeaAJNf93Ydr,Energetic Bollywood Songs,english,energetic,1
1qPT8bx1HvBRrwINZOBlVm,Mantras limpieza y equilibrio energtico.,english,energetic,1
5f70wYTESJhUSCzIPIExKs,adidas | Energetic Run,english,energetic,1
4QDWboU5rwpDRXwYprwJf5,Energetic Rock,english,energetic,1
03XGME1UlOSgvGrx1MjeWd,Energetic morning playlist,english,energetic,1
1jQTrxaH0hdMBDaFp4RC2u,Energetic Run 170-175,english,energetic,1
