Playlist-ID,Title,Language,Label,isTruthWorthy
50GFGmzmwqwAfYtDwpvrCx,Energetic French songs ,french,energetic,1
27Btp6siG2Icz9As9YsxwO,Energetic French,french,energetic,1
5CsLqH9X8UScdxf9Ff2RDR,Jazz and Buddha Chillin',french,energetic,1
4iJVaUomnR7fqU6sEAgNaV,"Dirty ElectroNite Playlist (French House, Electro, Synth Pop, Nu Disco, Electro House, Rave...)",french,energetic,1
6JX3Iryd8esQYX66jzqtms,japanese future funk//,french,energetic,1
5dAPQj9V8EUvOzl9IpdOo0,Red,french,energetic,1
129jiXB63YHUdZY1fy5s6f,Clio 3>,french,energetic,1
0xA8ukLzlZ4pHs0w4JFFAu,Christian (Contemporary Praise),french,energetic,1
1xUiSGbyQ12ThgnlrTKt5v,Pierogowy Future Funk,french,energetic,1
5UV1mkVn0s54iurZ403ljk,2021 Beast by Olivr,french,energetic,1
12rlT2TUg3Ta7zQz3UwEx8,Future Funk / Vaporboogie / Japan Disco,french,energetic,1
