Playlist-ID,Title,Language,Label,isTruthWorthy
0AxwvkN2xXBxbWf0julmF0,Energetic Hindi songs,hindi,energetic,1
16JGZG9gKRs6jtbz2kb80b,Energetic songs hindi,hindi,energetic,1
0c03smvS793mRuT2mPtyVF,Party Hindi Bollywood Dance Drive Songs,hindi,energetic,1
2zVQX8QkJh6YKd3cYCT2go,Hindi Energetic hits,hindi,energetic,1
3ronIDhTiCxriHuat3nXRX,😁😁Energetic Hindi Songs😁😁,hindi,energetic,1
0y3QaAMFd1tAEgolZ9LyWj,Energetic - Hindi,hindi,energetic,1
2mqFb4y9r7YK6ZiUc3qpSj,Motivational Energetic songs Hindi-English,hindi,energetic,1
06tDVT5E1pNu7d3xQbJ2ZV,Hindi Energetic,hindi,energetic,1
2DhmNhGeyn0i3JPWaPQMld,HINDI ENERGETICS,hindi,energetic,1
3b8E1apcvK1TKLrSdaVr3d,Hindi energetic songs,hindi,energetic,1
3Yb82KP6kpJokRirOUoBHg,"Energetic bhajans-shiva tanda, aigiri nandini",hindi,energetic,1
3F1wHIuQQIsl27jXR5T5zN,Hindi motivational and energetic songs,hindi,energetic,1
29AC3oJWfa16WELFpd68e3,Hindi energetic songs ,hindi,energetic,1
50K4w3nUznCe8t1DwyMbnU,Energetic Hindi,hindi,energetic,1
1sBjY1EeBxmMgG19zPZa6C,Energetic Hindi (mostly),hindi,energetic,1
12A8zIMjSUlOMB9evwfjRl,Hindi Energetic,hindi,energetic,1
0SuKEqjyTJyGXKdg3Z07mb,Romantic Songs /brain boosters  / engergetic songs/fresh songs/hindi song ,hindi,energetic,1
7BrxUBJlQHv7s0rE5F37Qq,"Enerjetic, Rocking, Romantic and Fast hindi songs.",hindi,energetic,1
3abhyfn9zLZSMxIdz4iSqv,2Hindi energetic Songs,hindi,energetic,1
3wwXmBhf3HVGhLghg5weyY,Hindi-Energetic,hindi,energetic,1
7svZ5uma7i40cMUm4qvcB8,All in one,hindi,energetic,1
7tDB0lSdKTvdWC33Yad0S3,Hindi energetic,hindi,energetic,1
0yRpep8HQTC4ptXZC9IB39,Energetic Hindi Songs,hindi,energetic,1
5l76D9DmxepAzeUy9vbBqQ,Hindi energetic,hindi,energetic,1
3grEIajrTLO8R90ZBMNgkK,#chill ,hindi,energetic,1
6xRrDS4FHt39wnl8sQWTGM,Hindi Energetic Songs,hindi,energetic,1
5By5DCnnH4CZOKAQKgzgkU,Hindi - Energetic,hindi,energetic,1
0tiv5RzIzVrVVF3FxrWQ6d,Soothingly Energetic (Hindi) ,hindi,energetic,1
11Zk3tiMco0SwnS5Qdykx7,Mumbai (Bollywood),hindi,energetic,1
3owBQOfzS5Z6IdYvyESOjz,Hindi Energetic,hindi,energetic,1
2pIasuOJJOITKyNhBXsvAx,Energy-Giving Songs,hindi,energetic,1
7egz6TFcbiR32AftO4mmUY,Motivation (Hindi),hindi,energetic,1
0yvQU82JdM4ALhDGQQsand,Hindi Energetic,hindi,energetic,1
4iuOWPkMjMOJWW0wmJFiVs,Energetic hindi songs,hindi,energetic,1
3JpxEAd7EFgzLCRo8gF2w2,WORKOUT,hindi,energetic,1
4dDOAh1PWkj5ZdmpkdlzWf,Active Pills,hindi,energetic,1
7tQ4nUfCK24BMJ9h21AaxP,SurajYoga 60 Minute Vinyasa Mix 2,hindi,energetic,1
600HKtV2VEVowtQCh2rXLs,hindi songs i wasn't allowed to listen to as a kid,hindi,energetic,1
1SjEqiwbvm4wGzlewiDSjK,JOSH,hindi,energetic,1
0xA8ukLzlZ4pHs0w4JFFAu,Christian (Contemporary Praise),hindi,energetic,1
