Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
4n1fgIJ6WtHxfBimbDav8v,Manali Trance,0.613,0.84,6,-4.112,1,0.0759,0.00807,1.41e-05,0.212,0.899,156.051,203207,4,0AxwvkN2xXBxbWf0julmF0
5QyOjKJhR1iyF0DHQM2IvW,Tareefan,0.829,0.654,5,-6.26,0,0.0685,0.0942,5.01e-06,0.2,0.335,98.012,186122,4,0AxwvkN2xXBxbWf0julmF0
7zKzD5wM18bQSiJTAxTpwH,Mirchi,0.871,0.608,6,-5.486,1,0.4,0.142,0,0.0876,0.818,129.784,192923,4,0AxwvkN2xXBxbWf0julmF0
6WediUhXDfm8FR3wlM0r3G,Subha Hone Na De,0.727,0.9,8,-4.529,1,0.0452,0.0805,0.0464,0.154,0.505,131.97,288696,4,0AxwvkN2xXBxbWf0julmF0
6k3XXCE1ZzwevQlxf8dNaw,Love You Zindagi,0.688,0.701,3,-7.505,1,0.0298,0.06,0.0301,0.271,0.385,110.019,232505,4,0AxwvkN2xXBxbWf0julmF0
6M2UnI1LnXuXlWU54CKmKx,Jaane Kyun,0.778,0.812,4,-8.561,0,0.046,0.0573,8.28e-06,0.243,0.791,99.962,277987,4,0AxwvkN2xXBxbWf0julmF0
3Qpk2qHree1RTH5lZaKnEK,Desi Girl,0.746,0.924,8,-6.057,1,0.0442,0.0169,0.00279,0.097,0.807,136.051,306987,4,0AxwvkN2xXBxbWf0julmF0
3fPgIknlkDWXs1l2noKZbp,Kar Gayi Chull,0.827,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99,187711,4,0AxwvkN2xXBxbWf0julmF0
67ZZqOrQH4Bshguxw9GPkh,Let's Nacho,0.742,0.947,0,-3.749,1,0.0321,0.0906,0.0221,0.0721,0.88,130.043,215076,4,0AxwvkN2xXBxbWf0julmF0
56lHtVpvNxFSKewJKpeYc3,Yaar Naa Miley,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01e-06,0.75,0.551,127.988,243206,4,0AxwvkN2xXBxbWf0julmF0
7EMtya5oRIKRab9VAUDLQY,Nagada Sang Dhol,0.743,0.921,3,-5.005,0,0.139,0.289,0.0064,0.0402,0.684,113.268,273256,3,0AxwvkN2xXBxbWf0julmF0
3CXHPRFNic9WOsazT4huOJ,Aa Re Pritam Pyaare,0.423,0.951,2,-1.726,1,0.118,0.0204,0.000369,0.331,0.768,78.78,259973,4,0AxwvkN2xXBxbWf0julmF0
4cFwhwH5ydnHgB0Tv3lZsm,"O Saki Saki (From ""Batla House"")",0.737,0.961,10,-0.155,0,0.0747,0.163,0,0.361,0.567,108.014,191089,4,0AxwvkN2xXBxbWf0julmF0
1vSXwYeKnzsVvekSpqVabx,Chikni Chameli,0.693,0.956,1,-5.012,0,0.071,0.289,0,0.294,0.665,90.005,301587,4,0AxwvkN2xXBxbWf0julmF0
0QjiywAse0jM8QgPvtJrpC,"Baby Doll (From ""Ragini Mms 2"")",0.836,0.839,4,-2.974,0,0.106,0.275,7.25e-06,0.181,0.507,103.992,213887,4,0AxwvkN2xXBxbWf0julmF0
6VbmeIWTbNHM5uqoW7GTE4,Sheila Ki Jawani,0.803,0.859,6,-4.405,0,0.185,0.305,6.18e-05,0.553,0.631,101.007,281707,4,0AxwvkN2xXBxbWf0julmF0
4AoQVhME8Ko6LNm4lV2wwQ,Hookah Bar,0.73,0.656,11,-5.07,1,0.0294,0.00797,0.00271,0.108,0.743,131.04,254351,4,0AxwvkN2xXBxbWf0julmF0
1VY2incfH4TLT9PCbot6lj,"London Thumakda (From ""Queen"")",0.835,0.718,0,-6.614,1,0.0816,0.363,0.000919,0.0625,0.64,139.968,230468,4,0AxwvkN2xXBxbWf0julmF0
22EimU5vjrNYV9A3aIGqso,O Gujariya,0.612,0.858,8,-8.8,1,0.0548,0.0172,7.29e-06,0.258,0.282,139.964,261558,4,0AxwvkN2xXBxbWf0julmF0
0MLZAgKQKHbPsJ12qHS860,Haan Main Galat,0.683,0.737,0,-5.66,1,0.0502,0.125,0.0105,0.103,0.919,117.996,218644,4,0AxwvkN2xXBxbWf0julmF0
5PatlLJYn8gWxnQnepzMjW,Twist,0.722,0.944,4,-4.995,0,0.143,0.0393,5.9e-05,0.0747,0.728,109.008,299440,4,0AxwvkN2xXBxbWf0julmF0
6eEAevjmfFiu5SSvH0DRY8,Aahun Aahun,0.536,0.903,1,-5.501,0,0.307,0.155,4.99e-05,0.0641,0.657,129.967,290493,4,0AxwvkN2xXBxbWf0julmF0
5GeBgck1MU2tlIkMpsn8uT,Matargashti,0.792,0.63,0,-6.741,1,0.0682,0.102,0,0.0758,0.659,100.022,328052,4,0AxwvkN2xXBxbWf0julmF0
18e3XXYCv4Tx8uUl1mP3CN,Balam Pichkari,0.732,0.944,0,-4.115,1,0.09,0.209,0,0.401,0.957,120.02,288903,4,0AxwvkN2xXBxbWf0julmF0
2EKXTA9QxkW6XeQ2uEeIii,Nashe Si Chadh Gayi,0.8,0.779,4,-5.515,0,0.0553,0.113,0,0.206,0.266,96.948,238289,4,0AxwvkN2xXBxbWf0julmF0
3hCUkos0NxuSFl73oOHJzb,It's the Time to Disco,0.902,0.772,6,-8.29,0,0.0383,0.0452,0.000129,0.12,0.808,131.992,333093,4,0AxwvkN2xXBxbWf0julmF0
3TAhWtQnpoL5Vl9VQPl9fU,Senorita,0.701,0.681,9,-6.442,1,0.0466,0.134,0,0.064,0.81,122.539,229576,4,0AxwvkN2xXBxbWf0julmF0
7MvQQGqYE4r0ucTarmI2Gr,Saturday Saturday,0.847,0.938,8,-4.615,1,0.0974,0.149,0,0.107,0.786,130.02,210799,4,0AxwvkN2xXBxbWf0julmF0
7q7eYVerltlW2sYBuga6Mj,High Heels,0.891,0.913,1,-4.453,1,0.149,0.394,0.000173,0.373,0.772,130.045,297771,4,0AxwvkN2xXBxbWf0julmF0
2E2G88mTTJjbbmEpqTkbaV,Tu Meri,0.679,0.687,8,-5.522,1,0.0294,0.0779,0,0.704,0.424,127.961,257089,4,0AxwvkN2xXBxbWf0julmF0
3ZJVZdanfRHeXruvlJpv8Q,"Aankh Marey (From ""Simmba"")",0.796,0.978,5,-1.266,0,0.0955,0.289,0.00254,0.346,0.8,129.999,212741,4,0AxwvkN2xXBxbWf0julmF0
4eu27jAU2bbnyHUC3G75U8,Badtameez Dil,0.806,0.932,2,-2.228,0,0.0684,0.24,0,0.216,0.792,106.021,252760,4,0AxwvkN2xXBxbWf0julmF0
6p56DuuwZQYSNgeB7fgRkZ,Dilliwaali Girlfriend,0.688,0.941,6,-5.23,0,0.0583,0.0811,2.89e-06,0.0697,0.909,138.047,260552,4,0AxwvkN2xXBxbWf0julmF0
7heMX7gyHP0mhTlNgd7Lxd,The Humma Song,0.721,0.65,0,-6.95,0,0.135,0.0115,0.00014,0.34,0.392,130.487,179658,5,0AxwvkN2xXBxbWf0julmF0
7DonyrUlcVcrtk28mqvWNL,Bang Bang,0.705,0.678,4,-8.644,0,0.0415,0.0483,7.01e-05,0.496,0.691,120.042,320000,4,0AxwvkN2xXBxbWf0julmF0
1tEto4JrqNmBZFH5uAiYqb,Sadi Gali,0.726,0.994,5,-2.433,0,0.0543,0.021,0.0108,0.222,0.779,129.989,264900,4,0AxwvkN2xXBxbWf0julmF0
6qCNaRRr5xJALfNJvh0NAw,Bom Diggy Diggy,0.782,0.827,11,-4.219,0,0.0627,0.159,0,0.226,0.498,104.032,238530,4,0AxwvkN2xXBxbWf0julmF0
0EH7sgeiFqDa3eS7ieW2zs,Chammak Challo,0.742,0.879,0,-4.274,0,0.0328,0.0696,7.17e-06,0.0981,0.936,133.946,227091,4,0AxwvkN2xXBxbWf0julmF0
5FihcmME7NlwW8KbYOaHVH,The Breakup Song,0.818,0.93,11,-2.982,1,0.247,0.33,0,0.658,0.831,113.988,252632,4,0AxwvkN2xXBxbWf0julmF0
0Bz7dfqPY4JOGZO3O1j8Wh,Bulleya,0.552,0.769,2,-4.504,0,0.0465,0.497,0,0.112,0.702,86.957,348966,4,0AxwvkN2xXBxbWf0julmF0
51ZN0MyxxJ0VmCN2Hlscfw,"Abhi Toh Party Shuru Hui Hai (From ""Khoobsurat"")",0.806,0.815,3,-5.373,0,0.0599,0.0081,2.35e-05,0.586,0.678,129.998,179912,4,0AxwvkN2xXBxbWf0julmF0
71s7tZo8OGlN3VXyURWLUr,Make Some Noise For The Desi Boyz,0.692,0.954,2,-3.93,0,0.0915,0.0188,0,0.151,0.89,141.98,244068,4,0AxwvkN2xXBxbWf0julmF0
