Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
3QbtJmJeeh8JE5EtAD1Eh0,Nectar Drop,0.619,0.316,1,-10.919,1,0.037,0.457,0.916,0.12,0.508,80.005,240973,4,7hmPbLM6z61ozbsCpTM8XW
3jOqyA9Xvj5EQ2FQa7gVBs,Tongue,0.705,0.461,2,-16.361,0,0.0627,0.753,0.825,0.112,0.431,89.998,194667,4,7hmPbLM6z61ozbsCpTM8XW
0O30XWFz799XGTyG6B8oSn,Love Dub,0.783,0.443,0,-11.881,0,0.0947,0.281,0.886,0.114,0.0818,139.965,390858,4,7hmPbLM6z61ozbsCpTM8XW
6y4zQgeTuyOV3osTIPljwy,Shivaratri,0.517,0.102,7,-22.482,1,0.0276,0.954,0.862,0.107,0.0983,94.015,563400,4,7hmPbLM6z61ozbsCpTM8XW
56K7H3Ipsce0Csn2v4u8kZ,Ruby,0.361,0.31,9,-12.102,1,0.0398,0.802,0.687,0.128,0.408,177.659,355840,4,7hmPbLM6z61ozbsCpTM8XW
51yYz2qZ1s04G4t3jqhX8N,Kayra,0.3,0.0677,3,-23.002,1,0.0374,0.952,0.9,0.101,0.0842,162.749,277972,3,7hmPbLM6z61ozbsCpTM8XW
075nKK4i1PDv5gNeejqVVG,Heritage,0.277,0.178,0,-20.328,1,0.0364,0.926,0.878,0.0721,0.0991,76.316,282554,4,7hmPbLM6z61ozbsCpTM8XW
6epIhVc3Zn6AUZ27EsOLZt,One River,0.687,0.26,2,-18.384,1,0.044,0.934,0.929,0.0822,0.454,155.017,424240,3,7hmPbLM6z61ozbsCpTM8XW
7s2zxPRi7Ip6nl5g2kGRFE,Surya Namaskar (Sun Salutation),0.675,0.294,7,-15.845,1,0.0348,0.832,0.835,0.0784,0.468,100.004,559813,4,7hmPbLM6z61ozbsCpTM8XW
5LLfL25W8ELqVXOLBhkJOP,Miniyamba,0.702,0.508,4,-9.474,0,0.0457,0.545,0.955,0.915,0.659,89.004,250787,4,7hmPbLM6z61ozbsCpTM8XW
2iIGZFW8F10tjlEcu3s8rV,Escape to the Cloud Forest (Mountain Village),0.485,0.7,10,-10.513,1,0.0595,0.505,0.000107,0.377,0.416,103.021,287541,4,7hmPbLM6z61ozbsCpTM8XW
7ihw8cWsxvc3GqkoGp7JM4,Chennai Anthem,0.592,0.521,7,-14.64,0,0.0279,0.0705,0.138,0.295,0.543,79.929,227702,4,7hmPbLM6z61ozbsCpTM8XW
0YKId6aWSbVfI3CXMVkxqm,Yarabi,0.481,0.0733,2,-18.918,0,0.0591,0.908,0.834,0.101,0.186,114.419,193120,4,7hmPbLM6z61ozbsCpTM8XW
3ggCHx9mCOlzheiG9mjqd9,Forgotten,0.322,0.091,1,-19.648,1,0.036,0.987,0.976,0.109,0.111,179.47,149333,4,7hmPbLM6z61ozbsCpTM8XW
7wqFdWJyNGOFA6Khg9E1rC,Wandering Sadhu,0.561,0.551,5,-10.843,1,0.0354,0.226,0.82,0.0971,0.477,169.951,341608,4,7hmPbLM6z61ozbsCpTM8XW
4oFhk1aWnDLruzEIbqWMpp,At Bliss,0.498,0.727,2,-8.125,1,0.0329,0.902,0.929,0.114,0.712,90.029,279745,4,7hmPbLM6z61ozbsCpTM8XW
6xnfv54qHZ6WHZrfmsT6ft,Song of Praise (feat. Shillong Chamber Choir),0.319,0.387,0,-11.06,1,0.0336,0.876,0.643,0.0962,0.128,133.696,305853,4,7hmPbLM6z61ozbsCpTM8XW
3lqkdtSptgT5JbREVV4U7H,On Sacred Ground,0.346,0.309,11,-10.124,1,0.0304,0.388,0.0739,0.0898,0.159,84.407,726600,4,7hmPbLM6z61ozbsCpTM8XW
5TrqCiv8CSLHbSbvk0XDLo,The Deepest Of Sorrow,0.645,0.329,2,-16.642,1,0.0419,0.239,0.892,0.375,0.184,128.099,212750,4,7hmPbLM6z61ozbsCpTM8XW
3UCQg1vf06upgr2VhPU94q,Flora & Fauna,0.554,0.649,2,-11.045,1,0.0309,0.0535,0.939,0.393,0.0696,101.979,254118,4,7hmPbLM6z61ozbsCpTM8XW
1SREd7DUaJJpvDGr0lgCVx,iridscnt,0.453,0.295,7,-16.648,0,0.033,0.656,0.806,0.121,0.0423,83.958,160000,1,7hmPbLM6z61ozbsCpTM8XW
1iRklA0wfJttBY06SulkpS,Incomplete Story,0.347,0.54,2,-9.581,1,0.0302,0.874,0.851,0.0897,0.524,89.974,920973,4,7hmPbLM6z61ozbsCpTM8XW
1PsyRkiHVo8r0iRPRpELzV,Elixir (Mary Lattimore Version),0.283,0.313,8,-13.434,1,0.0321,0.864,0.835,0.298,0.0532,108.646,332878,4,7hmPbLM6z61ozbsCpTM8XW
7iLRBslHanj97sb23BCa2W,Found You Again,0.389,0.608,2,-8.009,1,0.0315,0.921,0.855,0.257,0.362,150.206,267990,4,7hmPbLM6z61ozbsCpTM8XW
0irAhDGRa2kLvkWBysh4aS,Ganesha,0.725,0.609,10,-7.834,0,0.0278,0.236,0.0435,0.119,0.726,92.016,271040,4,7hmPbLM6z61ozbsCpTM8XW
79PD5sihpzGEiFLBOFwjDR,Seven Nation Army,0.332,0.0723,5,-20.076,1,0.0349,0.151,0.933,0.104,0.0391,96.174,132679,4,7hmPbLM6z61ozbsCpTM8XW
1Ykivp2l3eeKbSEhVTjqys,Om Inside the Tree,0.45,0.268,2,-20.191,1,0.0366,0.934,0.934,0.0845,0.0398,67.941,188788,4,7hmPbLM6z61ozbsCpTM8XW
636ieo1frTLl9XvQwalG1o,Anatolia,0.795,0.645,1,-11.672,1,0.0675,0.152,0.831,0.108,0.149,120.009,309847,4,7hmPbLM6z61ozbsCpTM8XW
4e9UIKY0dESrEdVGlxeVRW,As Time Goes By,0.832,0.599,2,-11.718,1,0.0695,0.0906,0.809,0.0408,0.465,101.996,469000,4,7hmPbLM6z61ozbsCpTM8XW
5TfL4ciYgo0tv89aTe1ZCk,Harmony & Balance,0.721,0.0958,1,-25.24,1,0.0504,0.95,0.968,0.11,0.0723,139.021,170288,4,7hmPbLM6z61ozbsCpTM8XW
5LeobX1vuRcmKRU0tTRCj1,Under the Blue Sky,0.747,0.147,5,-24.979,0,0.0402,0.994,0.962,0.115,0.626,99.01,187972,4,7hmPbLM6z61ozbsCpTM8XW
7eghrLB9Wwq6GWEHqHZQwT,Angapesiss,0.487,0.311,2,-15.602,0,0.0408,0.154,0.881,0.105,0.0349,131.442,183263,4,7hmPbLM6z61ozbsCpTM8XW
2LtlUU161cvUmdHUlH5YZq,I Am - Krishan Liquid Mix,0.585,0.269,0,-9.071,1,0.0283,0.549,0.898,0.103,0.146,124.002,433280,4,7hmPbLM6z61ozbsCpTM8XW
5j0XMz0nlx3uysAvoQNHjO,Morning Side,0.611,0.461,0,-12.925,0,0.0432,0.276,0.307,0.0971,0.248,127.074,1224156,4,7hmPbLM6z61ozbsCpTM8XW
05vvHWyv10tbLT7IPOxBEC,Redwood Colonnade,0.354,0.307,0,-18.395,1,0.0337,0.889,0.932,0.104,0.0488,140.133,357643,4,7hmPbLM6z61ozbsCpTM8XW
7y2yJFbiZQAkWkPXP3EZlw,The Bicycle and the Boardwalk,0.74,0.442,9,-14.026,0,0.0362,0.468,0.832,0.139,0.277,148.011,490067,4,7hmPbLM6z61ozbsCpTM8XW
4kemc5IWC10tKC1GXFJ4R6,Let It Go,0.763,0.421,5,-9.855,1,0.0597,0.217,0.93,0.0535,0.175,160.039,514040,4,7hmPbLM6z61ozbsCpTM8XW
3JM7koFXQKs2dE4tk3rccc,Sueños de la Selva - AtYya Remix,0.667,0.337,2,-10.418,0,0.0462,0.157,0.312,0.0832,0.209,85.013,314565,4,7hmPbLM6z61ozbsCpTM8XW
2ZIaH69kaz55RM4Pjx6KXl,Two Thousand and Seventeen,0.551,0.469,2,-8.393,1,0.0296,0.327,0.161,0.0939,0.498,75.495,252256,4,7hmPbLM6z61ozbsCpTM8XW
18ei221cMqAjQuQYT0RxNW,Kadiatou,0.389,0.236,5,-11.633,1,0.0388,0.803,0.74,0.11,0.139,137.499,272267,4,7hmPbLM6z61ozbsCpTM8XW
5NW0CSukr4Yu23Dht0PkWK,Mother Africa,0.267,0.388,5,-19.718,1,0.0392,0.961,0.925,0.106,0.482,146.651,224613,4,7hmPbLM6z61ozbsCpTM8XW
4ob12xPI4xKPLoryBcxHmz,Mereya,0.441,0.359,9,-14.493,1,0.0369,0.301,0.579,0.128,0.0644,127.109,173673,4,7hmPbLM6z61ozbsCpTM8XW
1zHftfTRiXiIgMcqRPk3iV,Chasing Visions,0.601,0.582,8,-9.268,1,0.0284,0.00588,0.809,0.124,0.16,130.001,204923,4,7hmPbLM6z61ozbsCpTM8XW
0xX76k47qED8IYmDBBLaIr,Kongolese,0.672,0.447,2,-14.515,1,0.038,0.971,0.939,0.127,0.274,95.005,164211,4,7hmPbLM6z61ozbsCpTM8XW
2TRkx6bUnpGvIjUVHxzWaP,Rosé,0.753,0.666,6,-7.014,0,0.0421,0.00187,0.839,0.193,0.305,110.022,196364,4,7hmPbLM6z61ozbsCpTM8XW
5V1OlzjUdQ7xxyXe9xm3N9,Longing for the Unknown,0.55,0.645,3,-10.06,0,0.0981,0.663,0.737,0.22,0.523,155.951,441200,4,7hmPbLM6z61ozbsCpTM8XW
6EiNPCNOmYBLJFy5kf68Va,Mangalam (Sean Dinsmore's Chillums at Dawn Remix),0.77,0.419,11,-8.866,1,0.101,0.103,0.649,0.622,0.604,80.99,357720,4,7hmPbLM6z61ozbsCpTM8XW
2HiLA1Uy3j4nIgeLMK3sVi,Ripples of Consciousness,0.369,0.201,5,-18.967,1,0.0402,0.739,0.894,0.0761,0.128,78.916,358747,4,7hmPbLM6z61ozbsCpTM8XW
5KywEH34p8lGkV1KFlBTiM,Providência,0.829,0.44,1,-9.84,0,0.0715,0.0974,0.74,0.0945,0.356,103.005,423531,4,7hmPbLM6z61ozbsCpTM8XW
0Wt0mAqujcgSIP6xEV0rdp,Om Mani Padme Hum 1,0.0666,0.00616,7,-19.708,0,0.0504,0.96,0.197,0.103,0.0529,72.585,504040,4,7hmPbLM6z61ozbsCpTM8XW
6N5XnwlkTEiowjl0UvGSCQ,Varshaver,0.658,0.826,11,-5.389,0,0.045,0.00535,0.843,0.123,0.245,146.017,250685,4,7hmPbLM6z61ozbsCpTM8XW
3Ddx0d6CGil3D7AfvrwTV4,Kenouna,0.258,0.492,11,-16.877,1,0.0365,0.732,0.625,0.0524,0.858,173.574,302000,4,7hmPbLM6z61ozbsCpTM8XW
3a6FoqC77pqcj0GYEBgOVt,Abenaki,0.821,0.599,8,-10.123,1,0.0462,0.00708,0.828,0.0974,0.488,117.027,226040,4,7hmPbLM6z61ozbsCpTM8XW
2kQmAiPgeF0Nhlzt0U0MNU,Shanti - Goldcap Remix,0.73,0.546,4,-11.057,1,0.0665,0.0201,0.852,0.0938,0.801,103.0,473000,4,7hmPbLM6z61ozbsCpTM8XW
0Gh1dyQLUpu61pnZC7huPY,Salat Ala Nabina,0.885,0.727,10,-8.651,0,0.0514,0.179,0.0592,0.0483,0.181,123.992,319355,4,7hmPbLM6z61ozbsCpTM8XW
4wfZvreVjbiJ1VFiK6aHTj,Goldie,0.644,0.731,9,-6.386,1,0.037,0.0148,0.927,0.0495,0.206,140.005,208714,4,7hmPbLM6z61ozbsCpTM8XW
3uYADeIQ3FOnvGKNpI5YoJ,Warrior Within,0.702,0.739,2,-3.635,0,0.0384,0.241,0.88,0.103,0.433,105.99,228679,4,7hmPbLM6z61ozbsCpTM8XW
6hbjIrJbqG3cUOCZleig6W,Om Namah Shivaya (Bhakti Brothers Remix),0.431,0.78,5,-7.456,1,0.0368,0.577,0.273,0.2,0.172,149.961,352880,3,7hmPbLM6z61ozbsCpTM8XW
0Ya5bHuA3kyiePOhIQfQtW,Savane,0.776,0.279,4,-10.45,0,0.0615,0.772,0.134,0.0567,0.509,135.866,463267,4,7hmPbLM6z61ozbsCpTM8XW
5WRzSLSsqcZor3UvdeajRO,Rumble Mumble,0.719,0.621,1,-10.352,1,0.0478,0.00805,0.859,0.114,0.0672,109.987,311637,4,7hmPbLM6z61ozbsCpTM8XW
