Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
1d14xCnYqUAIWZiGJnqg8D,Sound Chimera,0.317,0.98,2,-0.739,1,0.0726,8.42e-05,0.239,0.0917,0.335,95.044,307829,4,0fVbDNzSV3H4TpjvIofxBl
4xrKnSOip5b9cd6xAxQQen,Alice in Wonderland Syndrome,0.372,0.975,1,-4.582,1,0.0948,0.000187,0.881,0.104,0.537,170.008,311507,4,0fVbDNzSV3H4TpjvIofxBl
3vZUaZWwro6GdNNBFhiKV6,Chrome Vox,0.56,0.98,10,-3.161,0,0.172,0.000437,0,0.22,0.515,102.523,142830,4,0fVbDNzSV3H4TpjvIofxBl
4VhyY8p9aIux3S1jMPLfvg,Eternal Ending,0.344,0.976,6,-2.596,0,0.168,0.0144,0.96,0.383,0.102,99.717,238124,4,0fVbDNzSV3H4TpjvIofxBl
36vNbfBPtJKD07tWmefqtm,Ibuki,0.491,0.958,6,-4.013,1,0.0652,0.000267,0.748,0.0424,0.274,131.984,374156,4,0fVbDNzSV3H4TpjvIofxBl
5HTyoUGQCiLycGg4EgPsM6,Restriction,0.496,0.967,0,-5.007,1,0.102,0.000514,0.669,0.0985,0.124,175.045,150862,4,0fVbDNzSV3H4TpjvIofxBl
46aUvme87L6s1qa6zBiNog,"One Shot, One Kill",0.652,0.804,2,-4.398,1,0.0314,9.44e-05,0.25,0.303,0.285,100.01,196819,4,0fVbDNzSV3H4TpjvIofxBl
1dUVv0HL9207kqZSTFeNQq,Chariot,0.617,0.955,1,-3.373,1,0.129,0.00374,0.717,0.151,0.606,127.976,148712,4,0fVbDNzSV3H4TpjvIofxBl
2sfLVWEUBn4Hl1b7SkmwyV,Cold Pizza - Original Mix,0.362,0.989,0,-2.67,1,0.178,5.97e-05,0.65,0.202,0.0948,179.998,231987,4,0fVbDNzSV3H4TpjvIofxBl
1JduSBsGDUbYZ633Ne6xuy,MariannE,0.405,0.936,9,-4.907,0,0.0486,0.00032,0.675,0.166,0.174,95.526,355627,4,0fVbDNzSV3H4TpjvIofxBl
6GCWSowkxKFTyqNjvpqZ3H,Circles of Death,0.349,0.999,2,-2.351,1,0.548,0.0129,0.586,0.188,0.036,200.01,220500,4,0fVbDNzSV3H4TpjvIofxBl
51HrgXU1e1zNVxtYjCbP55,Invisible Frenzy,0.48,0.999,2,-1.981,1,0.149,0.00583,0.361,0.416,0.165,122.515,135439,4,0fVbDNzSV3H4TpjvIofxBl
1dvflxKCFPA3sCedRbZdJ3,Fucking High,0.576,0.964,1,-4.924,1,0.297,0.000182,0.0285,0.328,0.389,94.997,262052,4,0fVbDNzSV3H4TpjvIofxBl
6rTCEr4N3yvnUeKKHFiVM1,PARALLEL★PRISM,0.404,0.99,0,-2.069,1,0.296,0.0032,3.76e-05,0.406,0.226,179.992,126145,4,0fVbDNzSV3H4TpjvIofxBl
39RcQqnnxPWEyjbugfItnY,Gemini,0.477,0.98,2,-3.894,1,0.187,0.00252,0.828,0.123,0.206,170.054,302711,4,0fVbDNzSV3H4TpjvIofxBl
0q8Q4d30PC4Y733zqePCM6,Oshama Scramble! (uncut edition),0.459,0.999,1,-3.23,1,0.0848,0.000314,0.383,0.362,0.198,94.975,254868,4,0fVbDNzSV3H4TpjvIofxBl
2ogHqV1tITu82cAGD2wl61,Extra Mode,0.561,0.978,2,-4.036,1,0.133,0.00598,0.0711,0.795,0.576,194.984,314769,4,0fVbDNzSV3H4TpjvIofxBl
4ftxQvDtb3b8Sv28W1Pe3g,ALiVE,0.509,0.985,1,-3.391,0,0.0614,0.00137,0.321,0.0638,0.836,169.955,205027,4,0fVbDNzSV3H4TpjvIofxBl
2R0Z1COh6NNW2fRZrMcmlz,Call me it.,0.449,0.998,6,-1.888,0,0.215,0.00074,0.0584,0.506,0.0397,125.013,274760,4,0fVbDNzSV3H4TpjvIofxBl
4OdN9UKfOTpejGgTasm9cH,Grimoire of Crimson,0.288,0.998,2,-4.415,1,0.166,0.00143,0.967,0.172,0.131,88.498,181036,4,0fVbDNzSV3H4TpjvIofxBl
148F039dchDfuSlq4ZTO1g,Internet bitch - P*Light Remix,0.497,0.964,11,-1.627,0,0.0699,0.000344,0.00529,0.245,0.553,174.974,269427,4,0fVbDNzSV3H4TpjvIofxBl
2QaFhWeZjUNW5JYIY25Nfl,Blueprint,0.578,0.934,7,-5.42,0,0.0447,0.0176,0.00335,0.291,0.457,149.957,236536,4,0fVbDNzSV3H4TpjvIofxBl
1vIiBI8ncNaCOwwwbhYV3o,Another Stage,0.547,0.976,11,-4.933,1,0.0459,0.00493,0.85,0.0587,0.325,100.013,319631,4,0fVbDNzSV3H4TpjvIofxBl
14vPLjpi3R80RoKsAix7e2,your voicE is my voicE feat.core mc,0.546,0.838,11,-3.65,1,0.2,0.229,3.65e-05,0.0483,0.387,180.062,184684,4,0fVbDNzSV3H4TpjvIofxBl
4KpgRq3XGqLvmW1crZtbpU,HARDCORE OR DIE,0.393,0.989,9,-3.048,0,0.122,0.00105,0.21,0.198,0.273,175.049,246345,4,0fVbDNzSV3H4TpjvIofxBl
5wGJDeNP9JRkkqafHuDfFf,Peaky Cheeky,0.443,0.899,10,-5.895,0,0.0551,8e-05,0.869,0.0563,0.347,179.983,262000,4,0fVbDNzSV3H4TpjvIofxBl
2EEolTvkGCF50E5TmkAMmq,Nightmare Empire,0.513,0.817,9,-5.296,0,0.0461,0.000964,0.74,0.0863,0.047,90.006,275080,4,0fVbDNzSV3H4TpjvIofxBl
4QxrXRLz38QveUtbp2KDmv,This is ParaPara,0.68,0.934,0,-6.422,1,0.0918,0.125,0.425,0.677,0.389,110.027,267013,4,0fVbDNzSV3H4TpjvIofxBl
7GoLXWx8AM8fTlRYxc4AoP,Improve,0.582,0.966,10,-4.806,0,0.346,0.000441,0.883,0.366,0.176,174.984,246899,4,0fVbDNzSV3H4TpjvIofxBl
5Rgj36p5SpFdnFtcEF0R9f,All Honors,0.489,0.982,8,-2.324,1,0.141,0.000466,0.0773,0.117,0.459,173.996,281387,4,0fVbDNzSV3H4TpjvIofxBl
0rvse1Fk3ukjAcNxbnzlMH,Witching hour,0.425,0.994,2,-3.751,1,0.151,0.231,0.89,0.564,0.408,174.983,339373,4,0fVbDNzSV3H4TpjvIofxBl
6czsgF7XwShksFFiZzs6s7,Overload feat. MC Dahl Headland,0.406,0.905,10,-3.902,0,0.0799,0.0199,0.0406,0.136,0.277,179.994,312920,4,0fVbDNzSV3H4TpjvIofxBl
3tnkYiD4TZZ7cshuLtqUAY,OMGWTH,0.568,0.974,1,-3.339,1,0.0801,0.00174,0.0736,0.317,0.695,173.992,299707,4,0fVbDNzSV3H4TpjvIofxBl
7ng3nYSVtDSHpDHlsl2hd0,Put Your F*cking Phone Down,0.438,0.947,6,-5.138,0,0.0561,0.00453,0.881,0.0938,0.0716,171.999,295870,4,0fVbDNzSV3H4TpjvIofxBl
3UxVYaTWTcpxpQvgqdOe7i,Demigod,0.451,0.953,7,-4.418,1,0.212,0.00302,0.529,0.111,0.209,180.031,282480,4,0fVbDNzSV3H4TpjvIofxBl
4HAFRjR5e9THkxRzZay51C,Nighttime Fears,0.481,0.94,1,-4.42,0,0.0539,0.0185,0.959,0.347,0.3,175.044,311467,4,0fVbDNzSV3H4TpjvIofxBl
7IpUvAjr8TLgEj4iq8NmP0,BREEZE,0.397,0.991,0,-2.406,1,0.0669,4.04e-05,0.852,0.268,0.0811,171.003,261053,4,0fVbDNzSV3H4TpjvIofxBl
0ImxR5mbd5EE3eguGEBSbm,Sakura Mirage,0.375,1.0,5,-0.482,0,0.0896,0.0142,0.899,0.162,0.559,186.946,199900,4,0fVbDNzSV3H4TpjvIofxBl
2mJidcCY9cgpXxJ96X7RNa,Awesome My New Kick!,0.58,0.979,1,-4.447,0,0.106,0.0226,0.489,0.116,0.135,102.508,320788,4,0fVbDNzSV3H4TpjvIofxBl
5V2DMYkpIJZ4uqY5BoyPGk,Magical Sanctuary,0.478,0.994,7,-5.637,0,0.183,0.00397,0.65,0.311,0.248,166.479,249107,4,0fVbDNzSV3H4TpjvIofxBl
256UNOMoOEKg5z9D7PWnA3,dEstruct oNE momENt,0.424,0.992,7,-5.562,1,0.109,0.0268,0.107,0.112,0.141,180.037,275827,4,0fVbDNzSV3H4TpjvIofxBl
7v5eONwoGEkR3zXFRdfOcm,tout est bien,0.475,0.991,6,-3.048,0,0.216,4.54e-05,0.807,0.356,0.339,180.01,329347,4,0fVbDNzSV3H4TpjvIofxBl
3KnUlyiCkO8i5it3P5v69a,salvation,0.356,0.988,5,-5.087,0,0.0614,8.53e-05,0.954,0.267,0.223,96.084,303327,4,0fVbDNzSV3H4TpjvIofxBl
1RWbrRu8Qri4JyIURIxONu,Pumpin' Junkies (Kobaryo's FTN-Remix),0.322,0.993,6,-2.743,1,0.221,0.00178,0.316,0.291,0.471,130.027,202427,4,0fVbDNzSV3H4TpjvIofxBl
0qytO6708aZsLqCxHnN0vF,Broken Toybox (P*Light Remix),0.335,0.999,0,-2.229,1,0.0549,3.89e-05,0.778,0.301,0.678,174.966,266891,4,0fVbDNzSV3H4TpjvIofxBl
0EwQx5WOCmgUYbHdGJgbiC,HiGHER,0.447,0.935,9,-4.017,0,0.189,0.00219,0.000209,0.364,0.475,169.031,252240,4,0fVbDNzSV3H4TpjvIofxBl
5Cd1wKtVSFxkxOrSvCtPMk,Try again,0.618,0.932,11,-3.366,0,0.111,0.00154,0.0569,0.0342,0.685,170.029,312000,4,0fVbDNzSV3H4TpjvIofxBl
7kfNDUyz0BYpr2Q8EquMFK,Count down 321,0.35,1.0,10,-2.032,0,0.428,0.00644,0.0656,0.348,0.0379,160.471,226373,4,0fVbDNzSV3H4TpjvIofxBl
3cNaaC4seMJ6FfntsHZ6RR,Trinity Homerun,0.434,0.986,7,-4.089,1,0.362,3.67e-05,0.0103,0.173,0.0939,174.995,251957,4,0fVbDNzSV3H4TpjvIofxBl
6HrRFCbSJbwJ1b63UJe0rR,CYCLE HIT,0.375,0.974,1,-3.396,1,0.284,0.00281,0.00883,0.117,0.129,175.097,318748,4,0fVbDNzSV3H4TpjvIofxBl
5P0hXkJdG0U8JFU9N5Oy7C,Galaxy Friends,0.277,0.998,5,-1.772,0,0.516,0.0284,0.411,0.368,0.115,75.042,240487,4,0fVbDNzSV3H4TpjvIofxBl
3PNDtah7LpePMMoUjri3rL,Hectic,0.485,0.935,4,-4.449,0,0.14,0.000531,0.048,0.262,0.24,169.988,284187,4,0fVbDNzSV3H4TpjvIofxBl
56huuH4cKTG1qVtk952KE1,Bad Boy's missa,0.461,0.999,7,-1.363,0,0.173,0.00184,0.00427,0.105,0.226,100.008,286373,4,0fVbDNzSV3H4TpjvIofxBl
0UwNlD5h0qfJntyPeTmL27,cheatreal,0.332,0.998,1,-4.042,1,0.129,0.000219,0.636,0.361,0.708,199.977,294547,4,0fVbDNzSV3H4TpjvIofxBl
4fGHzKAvVu8zT1LDkLa5TZ,Ofcourse I neeD and neEd and nEed and Need and NEED YOU.,0.482,0.998,9,-4.154,1,0.134,0.00187,0.0313,0.0933,0.0397,120.006,249019,4,0fVbDNzSV3H4TpjvIofxBl
1eovPVKS29SZMHfvoY5ikj,Put Your F*cking Phone Down (Kobaryo's FTN-Remix),0.475,0.982,6,-4.827,0,0.243,0.00915,0.965,0.81,0.15,100.025,228533,4,0fVbDNzSV3H4TpjvIofxBl
