Playlist-ID,Title,Language,Label,isTruthWorthy
4TrSSYgDHY6T5zqwYY1MbP,Happy Chinese Pop -  | ,chinese,happy,1
2WBLyFPCbR7L7nCaPb1LYl,chinese rnb [crnb] - r&b ,chinese,happy,1
1ilnl1Y2nXfTfTFJuPgp6H,Happy Chinese Songs,chinese,happy,1
4Qw2fMgFHZGsGy9SRfGEh0,  Happy Chinese Chidren's Song,chinese,happy,1
3Ah9fSc04wc21xpfzGR8Cx,Happy Music (Instrumental),chinese,happy,1
0D2JjLhkWd8MreYW7iRQej,Happy birthday chinese,chinese,happy,1
4jZfMS2wM0vhncG38TONf3,HAPPY CHINESE SONGS,chinese,happy,1
2LuSbf7taKeyRd8U3ddkmT,sad chinese love songs,chinese,happy,1
11k8YPgab7tIUaMZzoqOZV,upbeat KPOP,chinese,happy,1
3B7rgeFPafgiaqxTt32n4y,Imlek 2021 | Chinese New Year 2021,chinese,happy,1
37i9dQZF1DWUrhqK4SzCOJ,Happy Lunar New Year,chinese,happy,1
1NtzDN1ifGNtxJyxNH7HSc,Happy chinese,chinese,happy,1
5GyUIsnj8hBfQl7mah1i98,Happy Chinese Songs ,chinese,happy,1
3TVs46TVEbOrhWaK7mJJx6,Happy chinese,chinese,happy,1
0wNL5Qq4gRqz5CCYq10dVs,Happy chinese,chinese,happy,1
21WNKRgpyTyDvs39FavAU6,Happy (Chinese),chinese,happy,1
5ru9eJWh5ziljpSmAfAzp1,Happy Chinese New Year - Oldies Favourite,chinese,happy,1
3I43ZIYHUDEUz6MQqn0T2D,Happy Chinese song,chinese,happy,1
3S1JEBjkmeQYK1g2CxfL2N,Chinese happy hits,chinese,happy,1
66HA1KKO3T6QmDejeOiQnI,chinese songs,chinese,happy,1
