Playlist-ID,Title,Language,Label,isTruthWorthy
0xzT1RuEpDUpMol9uCb7Ol,Happy french songs,french,happy,1
2LD0l9bUaofMMkEMbCUDqd,Happy French Music,french,happy,1
7mqzzg1k5AF1JxLo6faiEB,Happy Frenchcore 🤪,french,happy,1
6wwErTjmLOS9euZxnUz2XQ,French Upbeat Happy Cafe,french,happy,1
1t6SwKhF21jaTSFhnuhWQO,Happy Hardstyle 2012 - 2021,french,happy,1
41OKIwCXXulnuEmlDTXlFU,Cool french & chill 🍸,french,happy,1
7yqIkVH8sDA0w9i5RGpXTi,Happy French Cafe Music,french,happy,1
42z8bBc3qD9EBPrTypWbKS,"Hardstyle, HandsUp, HappyHardcore, Frenchcore",french,happy,1
65zGpzMkFg4tP4kPd0Ymwa,HappyTek/AcidCore/FrenchTek,french,happy,1
67dQ3j18vv6gJ2t8ZWd6pN,Happy Frenchcore 2012 - 2021,french,happy,1
6j3oJZzqv0jpF4vOSP48XQ,Happy French Time 👀,french,happy,1
0Osmkii7SY9ydgcvoE2aJI,Happy French,french,happy,1
1T3eKioWIljdngXN4SofbA,HAPPY FRENCH MORNING ,french,happy,1
37qEgTkkm5oCRfyoMmhkEW,Nederlandstalige beukers🥳🔊🇳🇱,french,happy,1
5IT5rBk9BjdrknOOsUVRKf,Happy French Songs,french,happy,1
0Ba3fdtZ00QWyM3HzpP1of,"Harder Stylez (incl. Happy, French and Raw)",french,happy,1
4ZE8pAldjb0FIgxJ2UCB6j,French Happy Indie ,french,happy,1
1QTLu1yizw9uTSGTfXY76E,Old French Songs ,french,happy,1
5mVTylzDl1Yte8ZuZaZep0,Happy Birthday - French Version,french,happy,1
1DtPraVtFQPwhkWL1t23UQ,"BOUCAN - LOW FUN (Happy, French, Sunny etc)",french,happy,1
26QmKuUXdYk2KRDidqu4wr,This Is Frenchfaiowk,french,happy,1
0VBg0iGelPm6Lhwee5HgfB,HAPPY French Morning - Romantic French Cafe Accordion Music - Music to Wake UP,french,happy,1
1Yh4AnSUDNVyllHHv1XfOf,Hardcore / Speedcore / Terrorcore / Frenchcore / Crossbreed / Happy Hardcore / J-Core / UK Hardcore / Gabber / Early Hardcore / Hardtechno / Rave / Schranz / Breakcore,french,happy,1
2DoEItWyf9RDMdaVeNBMzF,"Hardcore,Hardstyle,Happy Hardcore",french,happy,1
04fieCNZ0bXXsZTgvytzSh,Hardcore/happy hardcore/Hardstyle/Frenchcore ,french,happy,1
7kA9DQ7ZejUx0vsRS9HMKv,"Early, happy harcore,speedcore/extratone,mainstyle,frenchcore,uptempo,terror",french,happy,1
5IWNWvWhjj5EjZQx929Cqh,Happy  Hardcore / Frenchcore,french,happy,1
4EdnAi3fjC5sJCtyDDcow0,The Hard Zone,french,happy,1
2nlb5dw4G6vaAiWglIMPi7,90s/00s Hits: Happy French Pop,french,happy,1
2DIdDsrjIHEEml7a9SuntJ,Mix kpop pop french sad happy 🥰,french,happy,1
4izBXTyZIW42NPLWnPzOaX,french songs for jess 💖,french,happy,1
3ndFmz8xwO8u1zWsgA52i3,Hardstyle/Hardcore/Frenchcore,french,happy,1
1oWLHcaZObE8I4bT8v9uDe,French Appetizers Playlist,french,happy,1
5nMNWCJKpzQwjrvQigfrZ3,"Breathe, Be Happy - French Braids Remix",french,happy,1
5iqA59pgQ1E0I0kponYviv,DK#Hardstyle/Frenchcore/Happy🎶,french,happy,1
1PkRusrajmZzBFnnv5RReW,HAPPY BROCOLI 🥦 ,french,happy,1
0DgbHzLzYL39lpqXjgYcIK,BALLERN! 🖤,french,happy,1
6jaPSMwIYhXV5J3PfdsrGQ,Hardstyle/Hardcore/Frenchcore,french,happy,1
3YMgTjXLllsJe1BcTjjJz2,"[Hardcore] Frenchcore, Happy, UK",french,happy,1
4SKl7WSTH3RaD8wh8k1cuK,Neonya!! RAVE,french,happy,1
7COQC3LNsFsp5ejS1bzXEm,"Hard Dance, Happy Hardcore, UK Hardcore, Hardcore, Frenchcore",french,happy,1
1VEUIEtqPxBhp24cEsUbEM,Harder-Styles-Playlist by Abe & Bautz | Public,french,happy,1
2mesrGPFUmTJVoA3qbIxsf,Fckg frenchie b×y,french,happy,1
7Cb76uiNg23jQTe5DscMaw,Happy French,french,happy,1
6AENVqgDAWz5sdWlnLLOgq,HARD,french,happy,1
5HLP8jCsgctxM1860qnH5s,HAPPY 90 FRENCH RAP,french,happy,1
0leYOufJh0A2nM49Wz3l1V,Happy French Classics,french,happy,1
3dK5gFSbojrLvplLVI28nR,Happy French Pop,french,happy,1
6U0c92kZxUs4on0AtCR6S0,French happy birthday,french,happy,1
