Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
5lIOhDGfy2lQJWWwxBm8L4,Quelqu'un m'a dit,0.611,0.428,10,-10.723,1,0.0474,0.834,0.00517,0.113,0.389,133.281,168627,3,2LD0l9bUaofMMkEMbCUDqd
3dkIE8P7hvl3tHl9KSb6dA,"Non, je ne regrette rien",0.382,0.354,7,-6.595,1,0.0289,0.858,3.11e-06,0.168,0.435,87.018,142280,4,2LD0l9bUaofMMkEMbCUDqd
34dx8DACTJsc3rsJdaEIQw,Papaoutai,0.734,0.809,10,-7.264,0,0.0839,0.0266,0,0.0642,0.254,116.024,232147,4,2LD0l9bUaofMMkEMbCUDqd
2o0hVSbnkdvDDKKVNaUxnB,La bohème,0.377,0.337,0,-7.346,0,0.0341,0.808,0,0.238,0.545,117.316,245187,3,2LD0l9bUaofMMkEMbCUDqd
4VWbPQUPvLes814r6T11Jz,Les Champs-Elysées,0.783,0.454,4,-8.251,1,0.0489,0.456,0,0.155,0.711,111.577,157627,4,2LD0l9bUaofMMkEMbCUDqd
7sZSe99XSTu5KpYJEThvWr,La mer,0.241,0.168,0,-16.267,1,0.0442,0.965,0.114,0.373,0.556,84.749,201840,3,2LD0l9bUaofMMkEMbCUDqd
05KDO9Q9RZqd8jNUHqhFJJ,Ma meilleure (feat. Zaho),0.7,0.822,8,-3.897,1,0.0597,0.352,0,0.101,0.72,86.01,305053,4,2LD0l9bUaofMMkEMbCUDqd
4FmiciU3ZmfgABlbCSXcWw,La vie en rose,0.39,0.302,8,-8.687,1,0.0321,0.984,0,0.0871,0.422,82.52,186973,4,2LD0l9bUaofMMkEMbCUDqd
61Yh6AEwsba6RYsrWiNmI0,Emmenez-moi,0.365,0.55,9,-7.218,0,0.0346,0.74,0,0.423,0.593,106.111,212747,3,2LD0l9bUaofMMkEMbCUDqd
5UTKqzU3hn0Qcfhl1ofkea,Douce France,0.581,0.196,8,-17.281,0,0.0452,0.979,0.0103,0.221,0.362,114.399,192160,4,2LD0l9bUaofMMkEMbCUDqd
6g5qyQrAcoBX4X7XjxBoTO,Comment te dire adieu - Remasterisé en 2016,0.711,0.586,10,-9.78,0,0.0514,0.435,6.48e-06,0.15,0.931,124.058,148507,4,2LD0l9bUaofMMkEMbCUDqd
1ul9ZfkWWeAjA3HiRwK4Op,Nathalie,0.422,0.632,9,-7.121,0,0.0779,0.749,1.25e-06,0.594,0.81,134.715,245213,4,2LD0l9bUaofMMkEMbCUDqd
2tSpxPGywYcnfanQIT30gs,Sous le ciel de Paris,0.398,0.279,9,-14.413,0,0.0444,0.74,0,0.0738,0.47,107.568,177333,4,2LD0l9bUaofMMkEMbCUDqd
5P0tWr5JZqDoi5wq2OalFH,Je t'aime moi non plus,0.47,0.362,0,-12.382,1,0.0303,0.389,0.000698,0.29,0.377,83.609,268600,4,2LD0l9bUaofMMkEMbCUDqd
3IGb1Cn9P0tw4ksAHWneIX,Ne me quitte pas,0.412,0.235,1,-10.962,0,0.0497,0.819,0.000128,0.189,0.306,99.883,229400,4,2LD0l9bUaofMMkEMbCUDqd
4VvTGipG8YaF09z0kfGqaD,Paroles paroles,0.567,0.548,5,-9.727,0,0.0463,0.728,0,0.136,0.398,125.176,245667,4,2LD0l9bUaofMMkEMbCUDqd
6Xy0TKhM0Ytjt65QuVEN67,Petite fleur,0.616,0.214,9,-9.634,0,0.0329,0.86,0.000164,0.0945,0.447,114.99,163187,4,2LD0l9bUaofMMkEMbCUDqd
2a6ZT4pmS4GfvJcrOwaR61,L'ame des poètes,0.708,0.259,7,-11.064,1,0.0314,0.768,0.00189,0.191,0.602,95.942,177253,4,2LD0l9bUaofMMkEMbCUDqd
5UMBoM4CwwFQgLWHZntkBp,La Vie En Rose,0.589,0.226,5,-15.917,1,0.0579,0.564,0.258,0.0829,0.632,134.08,228493,4,2LD0l9bUaofMMkEMbCUDqd
5PcCSUGriuhWuyyWxuBnnM,C'est si bon - 2012,0.653,0.2,8,-10.744,1,0.044,0.906,0.00276,0.192,0.319,127.609,196780,4,2LD0l9bUaofMMkEMbCUDqd
1sKpay0q1lsH8RgafNzdI1,Sympathique,0.571,0.352,5,-11.946,1,0.0531,0.728,0,0.096,0.775,129.443,168187,4,2LD0l9bUaofMMkEMbCUDqd
28Zg3EXyibO3UEda2WirSV,Koop Island Blues,0.555,0.537,10,-9.041,0,0.0314,0.731,0.0524,0.287,0.521,79.239,276360,4,2LD0l9bUaofMMkEMbCUDqd
08T5wMbEnPN8ghT8o24KY6,Bistro Fada,0.761,0.371,4,-10.908,0,0.0403,0.892,0.853,0.0791,0.864,98.989,182933,3,2LD0l9bUaofMMkEMbCUDqd
