Playlist-ID,Title,Language,Label,isTruthWorthy
78kBHYaQsF6zntWU9R6ziQ,Happy Hindi songs,hindi,happy,1
4Da6pktHmdR8pZtjvVE8n9,Happy Birthday Party Songs(Hindi),hindi,happy,1
3puObbHCsUBw9oJMj0aS93,happy hindi weekend songs,hindi,happy,1
5PvLUUYO86HKMUq1Gr1fEN,HAPPY HINDI !! (slow),hindi,happy,1
4PY9rbCQSo2JvGdgREogIe,Happy mood songs Hindi ,hindi,happy,1
0gmYkxdovB9kDZLxRCrwkh,Happy Hindi Tunes,hindi,happy,1
6pfOWoznf6TlqELmkVUuJ1,Hindi happy/road trip songs,hindi,happy,1
2ji4od3dMz1uLf56UZnL5s,Old Happy Hindi Songs,hindi,happy,1
1jk5mw0OkFViru6j5ySPLR,Happy mood (hindi),hindi,happy,1
3bQy66sMaRDIUIsS7UQnuO,Cheerful Hindi Music Happy Bollywood Songs,hindi,happy,1
0rbFUtulGxwaweD80wQJgV,Peaceful Hindi Songs,hindi,happy,1
3ZsdY47ZTxeg1Uz6EXarWu,Happy vibes - Hindi,hindi,happy,1
00QmsX0u0NrSZsZbofJgsB,Happy mood songs hindi,hindi,happy,1
5YWiQLLqGd2H3GXUHL0O2c,Hindi Running Motivation,hindi,happy,1
66Ms1DikXxzeuRktZP3R0Y,TOP HINDI SONGS 2021 - BEST HINDI LOVE SONGS 2020-21,hindi,happy,1
2fuHDSyPq89M21pqTnUNim,HINDI HAPPY LOVE,hindi,happy,1
5Mw29zLORxQWYAdElFvrRb,Happy Birthday - Hindi Version,hindi,happy,1
7nejPZIUrC6fo08GME8atD,Old hindi songs(night time songs),hindi,happy,1
3uNFoLykhURjiue7S6TCfh,Happy & romantic Hindi songs,hindi,happy,1
4aZRN2Xnec6QTgohNhPVnC,Soulful Hindi Songs,hindi,happy,1
