Playlist-ID,Title,Language,Label,isTruthWorthy
4o8rPUBsnPACAtSmrd03wC,Happy Japanese songs,japanese,happy,1
2h2ZW48DOGaIE2c794u0av,cute japanese lofi,japanese,happy,1
0GbisZjfQKZYPt0tkHQYde,happy japanese songs,japanese,happy,1
7dkw4UhBKqz0guxx8YmuY7, japanese jazz  studying ,japanese,happy,1
39LPb0vglo7tca5MItzAZB,Japanese Study Playlist,japanese,happy,1
28v7Fs0C0oXG4VzcDwKJb8,Kawaii songs ^,japanese,happy,1
4f8ese6aAnvFjESRWQXLx0,My Universe X BTS Japanese tracks,japanese,happy,1
5T7Xtcw6CJis5ImH2MGe6w,Happy japanese music,japanese,happy,1
3A61HVlRnMuJKx2qD43DEN,Japanese Folk-Rock and Country,japanese,happy,1
1uvfMZSOR7mSKmJGg8fv9H,ATEEZ Japanese Album,japanese,happy,1
3oMM4TS74l1Him0l0UXPkG,Japanese happy music,japanese,happy,1
2Fc4vynmNNV9NEaer97i0X,Japanese Happy Hardcore etc.,japanese,happy,1
0FgQ63n2IlECNLC62pzGcN,Happy Japanese Songs.,japanese,happy,1
7CGGyFxof2SCrXFMMgZsxl,happy japanese stuff,japanese,happy,1
2pTOyDeoETJOAGUbKekX6c,Japanese kawaii hardcore x future bass,japanese,happy,1
5NBWfuBNtMJamEv6TnWX5V,"Nice Songs EDM, Hard rock, Trance, Hardstyle, Nightcore, S3RL, Japanese",japanese,happy,1
2MzauaWjCfHf3Z7ue30zvx,Japanese Hardcore,japanese,happy,1
11k8YPgab7tIUaMZzoqOZV,upbeat KPOP,japanese,happy,1
1tTAXvcahraW6hMZ00ZTqK,Japanese Songs,japanese,happy,1
1mRukFaVHu27zjPTNB29X1,Japanese Lowfi/Bamboo Flute Study,japanese,happy,1
