Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
1y3Ml1b1c4v3ZdpbWLKD1F,FLY HIGH!!,0.468,0.961,11,-1.434,1,0.0727,0.0133,0,0.331,0.354,94.646,244493,4,4o8rPUBsnPACAtSmrd03wC
38kcwx5znepLWCIBID0Bwm,Kyouran Hey Kids!!,0.526,0.981,8,-1.82,1,0.111,0.00318,0.00161,0.187,0.781,142.016,250973,4,4o8rPUBsnPACAtSmrd03wC
5P8lyudWE7HQxb4ludLbEm,恋愛サーキュレーション,0.814,0.785,1,-5.679,0,0.0396,0.0524,0.00111,0.111,0.941,120.009,255040,4,4o8rPUBsnPACAtSmrd03wC
6wZcefZGc6vrd3zLCQoOYe,空に歌えば,0.594,0.951,6,-1.339,0,0.0696,0.0142,1.18e-06,0.0965,0.641,102.04,217627,4,4o8rPUBsnPACAtSmrd03wC
1tjOClAkdMxDfYPO0xvGbG,THE DAY,0.512,0.933,1,-4.759,0,0.0738,0.000761,0,0.342,0.465,92.998,241627,4,4o8rPUBsnPACAtSmrd03wC
5aHfGUxRec6c41luxkDqhX,ピースサイン,0.593,0.935,10,-3.853,0,0.0684,0.00221,0,0.315,0.618,100.003,238533,4,4o8rPUBsnPACAtSmrd03wC
3mScGCzxiXA9OaHdBeuk7O,crossing field,0.447,0.983,5,-2.281,1,0.268,0.0157,0,0.276,0.317,179.072,248947,4,4o8rPUBsnPACAtSmrd03wC
3UpHW2joNoKO2HfEv8Mchp,Onnanoko Ni Naritai,0.562,0.966,6,-2.225,1,0.0844,0.133,0,0.264,0.788,139.982,238578,4,4o8rPUBsnPACAtSmrd03wC
02Q03qPPPF7xZAc3rduMNO,Haikei Sakura Maichiru Kono Hi Ni,0.5,0.986,10,-2.235,1,0.231,0.0142,0,0.285,0.451,93.035,232227,4,4o8rPUBsnPACAtSmrd03wC
2CgOd0Lj5MuvOqzqdaAXtS,Shelter,0.276,0.796,0,-4.499,1,0.0579,0.00293,0,0.184,0.26,199.526,218965,4,4o8rPUBsnPACAtSmrd03wC
3c39MOrdL5EOaDqWbC1Hfu,Make my story,0.531,0.942,8,-3.835,1,0.0555,0.00179,0,0.398,0.823,132.029,267587,4,4o8rPUBsnPACAtSmrd03wC
7CFwSQV0rl9oGcvOfEDJCa,ODD FUTURE,0.697,0.801,5,-4.717,0,0.0916,0.0161,1.21e-06,0.0906,0.562,128.014,226493,4,4o8rPUBsnPACAtSmrd03wC
0OGw7V8wAI6OsZIQ12JkTP,Black Rover,0.592,0.937,11,-4.905,1,0.0442,0.00139,1.74e-05,0.189,0.529,102.073,209573,4,4o8rPUBsnPACAtSmrd03wC
4TRV1GJuTP8bUs3lhe50r2,Hikaru Nara (Shigatsu Wa Kimi No Uso) [feat. Animelmack],0.512,0.738,6,-9.004,0,0.0356,0.576,0.0418,0.238,0.791,159.95,251821,4,4o8rPUBsnPACAtSmrd03wC
3TIWpJRtDWMUYjomyjNfSz,"Inferno - From ""Fire Force: Enen no Shouboutai"" [Full Version]",0.591,0.804,6,-5.645,0,0.061,0.00276,0,0.419,0.724,92.626,211459,4,4o8rPUBsnPACAtSmrd03wC
4S3aU06ISAWFb0hIdZ4WL8,PAiNT it BLACK,0.482,0.953,7,-1.444,1,0.0577,0.0198,0,0.105,0.453,105.025,230431,4,4o8rPUBsnPACAtSmrd03wC
733hyyG8U8kxxebds98nc6,First Date,0.732,0.303,4,-13.575,1,0.057,0.75,0.828,0.141,0.601,82.555,173143,4,2h2ZW48DOGaIE2c794u0av
2CKOZX79ZovArvUA5OrZXN,喫茶店,0.854,0.23,0,-18.112,1,0.0776,0.0335,0.891,0.0974,0.755,140.001,205767,4,2h2ZW48DOGaIE2c794u0av
3e1Q861G4urfgf7RAMNRdc,New Shoes,0.943,0.516,6,-8.272,1,0.101,0.241,0.917,0.0556,0.678,115.692,116711,4,2h2ZW48DOGaIE2c794u0av
7ebiwyzLlDkSeS29XXSYdI,Omae Wa Mou,0.738,0.732,7,-11.802,1,0.061,0.127,0.786,0.103,0.718,93.026,113499,4,2h2ZW48DOGaIE2c794u0av
2qMHdr7gy5YWM0hQP917LR,The Girl I Have a Crush On,0.686,0.329,7,-10.924,1,0.0431,0.875,0.894,0.688,0.558,190.007,137483,4,2h2ZW48DOGaIE2c794u0av
5vpZCx3UVOjIwbmEWthFfO,blossoms,0.621,0.832,2,-9.452,1,0.0409,0.878,0.894,0.114,0.277,74.983,156800,4,2h2ZW48DOGaIE2c794u0av
34MqDD3411uJQvXsqpZv3D,"Sorry, I Like You",0.833,0.642,9,-6.338,1,0.0611,0.266,5.06e-06,0.251,0.584,86.017,122791,4,2h2ZW48DOGaIE2c794u0av
7LBO0230RXsB371lZmWKrv,Shinjuku,0.667,0.19,8,-13.85,1,0.0363,0.848,0.187,0.051,0.0951,93.47,168002,4,2h2ZW48DOGaIE2c794u0av
6xqsT78r7P9oADxB2g9Mjg,Bubble Wrap,0.758,0.981,0,-3.787,1,0.164,0.0112,0.236,0.35,0.728,92.002,169687,4,2h2ZW48DOGaIE2c794u0av
4YPRYsbcOjoRWNRopyL34y,Grape Soda,0.574,0.868,8,-5.338,0,0.0664,0.00803,0.803,0.0765,0.235,88.499,193489,4,2h2ZW48DOGaIE2c794u0av
6JjD8b5nYnwJ3zxYZ16rKg,Bullet Train Fantasy,0.738,0.33,0,-11.107,1,0.0498,0.0434,0.828,0.092,0.512,170.027,245734,4,2h2ZW48DOGaIE2c794u0av
4MzprGIkDIjtpKICmEHAvR,drifting.,0.686,0.265,7,-20.686,1,0.0681,0.772,0.0207,0.138,0.686,81.049,142963,4,2h2ZW48DOGaIE2c794u0av
2Anpk7AihEt38POoMEDqRb,Tokyo,0.743,0.879,5,-2.717,0,0.0339,0.0725,0.00141,0.081,0.636,101.968,174118,4,2h2ZW48DOGaIE2c794u0av
6tVNZOnLrx7HxFXJrF8PJz,Luv Letters,0.72,0.324,10,-12.427,1,0.0899,0.941,0.908,0.214,0.641,155.943,164615,4,2h2ZW48DOGaIE2c794u0av
5ZembGG7zKzIeSOuTCWPQW,Music for Happiness,0.609,0.551,6,-9.169,1,0.0449,0.849,0.931,0.0938,0.165,173.979,220690,4,2h2ZW48DOGaIE2c794u0av
3GRnnrwgAhN9EQKpR0tHMm,Pure Imagination,0.73,0.439,8,-11.334,1,0.528,0.231,0.731,0.133,0.28,149.111,262441,4,2h2ZW48DOGaIE2c794u0av
0n0Tc0pdFbVovKGTnjttfn,Shelter,0.678,0.221,0,-15.536,1,0.217,0.933,0.653,0.0799,0.652,164.083,105922,4,2h2ZW48DOGaIE2c794u0av
4YMvlMYV3hD8emKCprfb4N,Bubble Tea,0.753,0.669,2,-7.39,1,0.0505,0.182,0.0774,0.442,0.66,159.994,243375,4,2h2ZW48DOGaIE2c794u0av
4mCwspCTPF1aoWUNxsS5aD,Hot Milk,0.694,0.582,2,-8.33,1,0.069,9.13e-05,0.0151,0.187,0.302,74.992,246583,4,2h2ZW48DOGaIE2c794u0av
