Playlist-ID,Title,Language,Label,isTruthWorthy
4rh7qAVaDTenrNTbHgYL3q,Happy Spanish Music,spanish,happy,1
4apV2R5PSQYVR0Lzitctm0,Happy Spanish Guitar,spanish,happy,1
5dv6Bfet289oPtAvGOGklX,spanish indie/alt songs,spanish,happy,1
0iOBCz9ndNbIUMCjhqcDaa,Happy Spanish Songs- Espaa mola,spanish,happy,1
3Taq6rQzlA1hJ0gOIJNeHj,Spanish guitar/ happy,spanish,happy,1
5ox4uHSDbu0g5S09Qdi9mn,Mexican/Spanish love songz,spanish,happy,1
6eq8qIaVVdyTGaARdocaqH,Happy and Motivating Songs,spanish,happy,1
6W3g0XogxDSkRi6mS537Ei,Ando todo Happy in spanish,spanish,happy,1
1DVTSWBz55Nch659UjgJCx,Spanish happy,spanish,happy,1
5g3uSh687C5JgK7VVlC2Gw,Happy Birthday in Spanish  Party-Poppas,spanish,happy,1
04L4sKGjCShTVhRMEdn6EH,Happy Songs (Spanish),spanish,happy,1
0JUJ4lnIifQ09E899E39Wt,Spanish happy,spanish,happy,1
7ImVO1HEBO7Ys4epiBZeUM,happy spanish,spanish,happy,1
0o5WebupXXm6dINyJCtLNl,Happy Spanish,spanish,happy,1
5P5iPWwheXOkCXqkC6rMpM,Happy Instrumental - Classical & Jazz 2021,spanish,happy,1
4XPNKHnqyChy2lBlgEwhKU,Happy spanish,spanish,happy,1
5ERPMnQqf0679jExHU7Qhl,Happy Spanish ,spanish,happy,1
5upTpimsncjAPNgQsiPP6B,Happy Spanish music,spanish,happy,1
55HKpX6x9GRy34mFRHffYP,Happy playlist in Spanish,spanish,happy,1
4N7wRlsBoW5MEyFLiIEQ0N,Spanish happy,spanish,happy,1
