Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
4OKmYJF7Wk8uJxv68wFH0j,El Mismo Sol,0.715,0.862,8,-5.634,0,0.0528,0.0457,6.96e-06,0.0759,0.949,112.995,188093,4,4rh7qAVaDTenrNTbHgYL3q
5vj59ONIVbyhcrI8ZSwoRo,Sofia,0.688,0.729,2,-5.939,1,0.0315,0.109,0,0.225,0.909,127.998,210467,4,4rh7qAVaDTenrNTbHgYL3q
6LTAv2W4zYWM5rSKdgHWZS,Vayamos compañeros - Radio Edit,0.781,0.88,11,-4.818,0,0.0311,0.0557,0,0.201,0.953,118.014,181253,4,4rh7qAVaDTenrNTbHgYL3q
7LABrQFfRYcZUqUwng0Heb,Encantadora,0.662,0.874,8,-4.509,1,0.0471,0.147,0,0.141,0.926,169.943,240093,4,4rh7qAVaDTenrNTbHgYL3q
0fdKj0gnGKvwXFCEJBMcVh,Vamos a la Playa,0.844,0.861,5,-6.445,0,0.0377,0.0185,0.0585,0.0389,0.606,128.537,218651,4,4rh7qAVaDTenrNTbHgYL3q
65H6t1WQBim6q93yM8fEwn,Obsesion,0.804,0.56,1,-6.912,0,0.0397,0.416,0,0.0608,0.768,133.682,254720,4,4rh7qAVaDTenrNTbHgYL3q
6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON (feat. Wisin),0.716,0.908,8,-3.254,0,0.103,0.0858,0,0.135,0.869,91.03,199693,4,4rh7qAVaDTenrNTbHgYL3q
7qCAVkHWZkF44OzOUKf8Cr,El Perdón,0.628,0.69,8,-5.83,1,0.0511,0.443,0,0.113,0.66,179.908,205907,4,4rh7qAVaDTenrNTbHgYL3q
5M830cD7MNeiiwIGHzH9TV,Bailando - Spanish Version,0.718,0.792,7,-3.519,1,0.105,0.0467,3.65e-06,0.0399,0.96,90.949,243387,4,4rh7qAVaDTenrNTbHgYL3q
0OMRAvrtLWE2TvcXorRiB9,La Gozadera (feat. Marc Anthony),0.616,0.989,9,-1.698,0,0.0483,0.166,0,0.172,0.902,95.036,203160,4,4rh7qAVaDTenrNTbHgYL3q
2xcHJ5YpRL7wgSfsBnIktB,Zumba,0.718,0.892,9,-3.494,0,0.0404,0.00175,0.0145,0.138,0.828,124.98,263973,4,4rh7qAVaDTenrNTbHgYL3q
0bdL8X3MrX51dRz231BFtv,Moviendo Caderas (feat. Daddy Yankee),0.687,0.907,0,-5.917,1,0.0341,0.00105,0.000149,0.26,0.661,127.971,199027,4,4rh7qAVaDTenrNTbHgYL3q
5l390fUPNwGSi6ECobpc20,Algo Contigo,0.687,0.969,9,-3.179,1,0.0597,0.0444,0,0.0927,0.765,127.961,209280,4,4rh7qAVaDTenrNTbHgYL3q
1HCw8XKtTgWWU3JlEUR0qQ,Bailar (feat. Elvis Crespo) - Radio Edit,0.793,0.848,9,-5.327,1,0.121,0.0637,0.226,0.0647,0.455,128.104,137661,4,4rh7qAVaDTenrNTbHgYL3q
129lYDVKnWtlJc2PZJviuA,A Dios Le Pido,0.673,0.841,7,-3.564,1,0.0557,0.0683,0,0.0965,0.94,97.027,205373,4,4rh7qAVaDTenrNTbHgYL3q
6XE2V2icEranw5YpS4WMDD,La Despedida,0.746,0.993,2,-2.134,0,0.0499,0.0866,0.0548,0.0689,0.972,122.046,202827,4,4rh7qAVaDTenrNTbHgYL3q
6sMPwcpYtxm1mlgYbp1B0t,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,0.785,0.838,7,-5.951,0,0.0381,0.362,6.43e-06,0.139,0.765,100.066,215453,4,4rh7qAVaDTenrNTbHgYL3q
2ZjsJXaUpLERq4BVGdNQQv,Volví a Nacer (feat. Maluma),0.765,0.78,5,-6.566,1,0.0797,0.214,0,0.108,0.735,98.051,229520,4,4rh7qAVaDTenrNTbHgYL3q
7yYez1Nm8NVskqscXLHRoI,Fiesta de Verano (feat. Maluma),0.756,0.879,9,-5.899,0,0.116,0.114,0,0.296,0.622,127.989,208000,4,4rh7qAVaDTenrNTbHgYL3q
3pDhN3qB33AOPhQEkUCaWt,Limbo,0.806,0.875,7,-3.817,1,0.088,0.0838,0.00192,0.065,0.917,125.063,224693,4,4rh7qAVaDTenrNTbHgYL3q
7M6CFruBrM5x7u0lTMtm6r,Cómo Te Atreves,0.617,0.888,4,-4.567,1,0.0402,0.0705,0,0.162,0.771,130.97,240560,4,4rh7qAVaDTenrNTbHgYL3q
4tPL9PeVZY4c0jUPtSD5nx,Picky,0.783,0.748,8,-4.683,1,0.0892,0.147,0,0.173,0.806,93.222,182747,4,4rh7qAVaDTenrNTbHgYL3q
6Ges5C2IE738iJh4HyQizQ,Ay Vamos,0.718,0.711,8,-5.746,0,0.11,0.157,5.54e-05,0.1,0.92,173.916,226413,4,4rh7qAVaDTenrNTbHgYL3q
5Uel5PmPBZICA0TQTI912U,Ay Mi Dios,0.761,0.829,0,-3.203,0,0.0682,0.169,0,0.189,0.814,92.034,252003,4,4rh7qAVaDTenrNTbHgYL3q
1d5obgzCOtwq9qaxfe4Hpw,Rayos de Sol,0.747,0.872,8,-4.233,1,0.0355,0.0742,0.00039,0.149,0.882,128.013,231562,4,4rh7qAVaDTenrNTbHgYL3q
3VKFip3OdAvv4OfNTgFWeQ,,0.675,0.919,11,-6.075,0,0.0366,0.0606,0.00653,0.103,0.726,97.017,252773,4,4rh7qAVaDTenrNTbHgYL3q
0OyHCmkCp2qZJ44ZKB26fX,Si Te Vas/Que Tengo Que Hacer - Original Remix,0.853,0.689,10,-5.364,0,0.0564,0.0645,2.99e-06,0.0415,0.948,125.01,245067,4,4rh7qAVaDTenrNTbHgYL3q
6z5Xrx58p5Bs18RIe6KXbI,"Lo Que Pasó, Pasó",0.816,0.747,8,-6.468,0,0.0411,0.102,0,0.263,0.848,97.019,210933,4,4rh7qAVaDTenrNTbHgYL3q
23WI5V2eD4EyGKxSl7Pyeq,Andas En Mi Cabeza,0.671,0.954,9,-1.87,1,0.13,0.0244,0,0.111,0.556,104.114,247493,4,4rh7qAVaDTenrNTbHgYL3q
7rb7ViiCUgLmexwu4LMsZt,Mi Reina,0.811,0.93,2,-4.677,1,0.0473,0.0501,0,0.282,0.961,127.932,191245,4,4rh7qAVaDTenrNTbHgYL3q
5pTLL5wvH7cNrgCuHhW39Q,Contigo,0.79,0.847,9,-5.201,1,0.0703,0.0487,0,0.0613,0.839,104.014,238533,4,4rh7qAVaDTenrNTbHgYL3q
1vlw2pA2GXhqtDxGz1StsM,La Bomba,0.714,0.96,10,-5.266,0,0.086,0.091,1.65e-05,0.232,0.849,99.179,274040,4,4rh7qAVaDTenrNTbHgYL3q
3FeMpPPhGRKieT8zmlJDQz,Bailando por el Mundo (feat. Pitbull & El Cata),0.698,0.865,4,-4.083,0,0.0418,0.0316,0,0.307,0.969,130.004,195240,4,4rh7qAVaDTenrNTbHgYL3q
3uvypVUsiIr1B0BccIcsEh,6 AM,0.746,0.746,5,-5.046,0,0.102,0.152,0,0.274,0.733,175.965,243227,4,4rh7qAVaDTenrNTbHgYL3q
1rXojdsUqqxGj2WCmJGWHP,Vacaciones,0.777,0.911,6,-3.223,0,0.173,0.246,0,0.257,0.704,96.017,238813,4,4rh7qAVaDTenrNTbHgYL3q
