Playlist-ID,Title,Language,Label,isTruthWorthy
4CKAsspIObJ1mlczGK374D,sad chinese songs ,chinese,sad,1
5H1Pko9OVjCUDDULt5Jcze,Sad Chinese Songs,chinese,sad,1
3c0Nv5CY6TIaRszlTZbUFk,sad songs 2021  crying and depressing music,chinese,sad,1
1xD0P66GcMeAVoOAPFu7Hy,sad chinese songs that will make your heart hurt | cpop playlist,chinese,sad,1
6Fw3eLjhxFMAn3ixxHpaIN,lemme be sad in chinese,chinese,sad,1
2LuSbf7taKeyRd8U3ddkmT,sad chinese love songs,chinese,sad,1
0Gyw1oJC1weRLsaLwmzjMF,chinese sad songs,chinese,sad,1
0n62chGOeJz0uNUFu1fR6Q,Sad Chinese Song ,chinese,sad,1
2fKJ3RpDlTuLabDCJaSNII, Fucking sad and emo chinese songs,chinese,sad,1
4NLrD3PCZXlsazBBMVO0zH,sad chinese songs/ douyin,chinese,sad,1
5XJs5RTNxC6zV2BCTRSXoD,2021 Chinese Ballad/ Sad / OSTs,chinese,sad,1
7aBsgob4iVxMWKChjQLUKp,Sad Chinese OST.,chinese,sad,1
4G6ubxRHuJrJvpsL8ARkPX,- sad chinese love songs,chinese,sad,1
3biJhipDXCDRG04rkIt7bq,Chinese Sad Instrumental,chinese,sad,1
3SFtVtIpFzekHMIecd6RSx,all dem sad chinese songs :(,chinese,sad,1
2FJybFsE2MMGfbyfA5sSgv, chinese saddd,chinese,sad,1
1p3U36XygyuM8uJZwjB7Na,Chinese Sad / Emo Songs,chinese,sad,1
3ior3dL1XG1nUlgiYU8FkQ,Sad chinese ,chinese,sad,1
4TmIIaKRZFrfW9wv9FMrbe,Sad Chinese Ost.,chinese,sad,1
29FnPYC2rJGvu42abJa80C,sad cpop/chinese songs,chinese,sad,1
