Playlist-ID,Title,Language,Label,isTruthWorthy
37i9dQZF1DWZqdNJSufucb,sad 😔,english,sad,1
37i9dQZF1DWSqBruwoIXkA,sad hour,english,sad,1
3c0Nv5CY6TIaRszlTZbUFk,sad songs 2021 😢 crying and depressing music,english,sad,1
37i9dQZF1DWZQGZ7yvpH00,Sad Sierreño,english,sad,1
37i9dQZF1DX7qK8ma5wgG1,Sad Songs,english,sad,1
4C5u13rggsEdRN7An3A6uT,sad lofi songs for crying yourself to sleep,english,sad,1
4YOfhHpjPB0tq29NPpDY3F,Sad Hindi Songs - a little broken 🥺,english,sad,1
70VaOHyjpsWcmA4gxosExZ,sad songs to cry to,english,sad,1
37i9dQZF1DX64Y3du11rR1,Sad Covers,english,sad,1
37i9dQZF1DWVV27DiNWxkR,Sad Indie,english,sad,1
1nVWPImtwYUYdvCTPHTtpJ,sad lofi songs,english,sad,1
54NczufWOFmJ5jUVvRPxaF,Sad songs,english,sad,1
37i9dQZF1DX6xZZEgC9Ubl,tear drop,english,sad,1
0oX1LhMuCp3uCJyuNwgLdF,sad Korean songs,english,sad,1
37i9dQZF1DWT0qByOJYmmJ,Qué Sad!,english,sad,1
0SeSNWEG4O6KCqaj94zcwg,Sad Viet music (nhac viet buon),english,sad,1
37i9dQZF1DXd6QWbEewZmM,Sad Cuh Hours,english,sad,1
37i9dQZF1DX8Vz2ROLXhTT,Sad 10s,english,sad,1
38BAFacbwA5kGf7iqcW7Wj,sad songs to cry to at 2am,english,sad,1
37i9dQZF1DXdFesNN9TzXT,Sad Hindi Melodies,english,sad,1
37i9dQZF1DWZUAeYvs88zc,Sad Bops,english,sad,1
17sbUkbtxJHGp3VBvylwLJ,SAD SONGS😞 - SAD MUSIC TO CRY TO,english,sad,1
37i9dQZF1DWW2hj3ZtMbuO,sad girl starter pack,english,sad,1
2tN9jIiiCBLCSAVuaVvgHX,,english,sad,1
2ixY7CQ2ClPvMbJNAQ1HMO,sad lofi vibes,english,sad,1
0tLAnPmh7VpPKBu8v6pZXd,Sad Songs for crying hours and heartbreak 💔,english,sad,1
6GElcPaVanLnPkEsy9C4RK,Sad,english,sad,1
37i9dQZF1DXaS0Bb5SeHIi,Sad 80s,english,sad,1
4lAmlZTxQ93NI8TzvDhcSe,Sad Piano Music (Makes You Cry😢) ,english,sad,1
37i9dQZF1DWZFicI79sEj9,Sad 90s,english,sad,1
2V54AkhxCDLeORKeBtDZGr,Sad songs for girls ❤️ (Crying music and depressing music),english,sad,1
4Ah5TyG60vFv43JJRYcRAa,Sad(Broken 💔) Emotional Hindi,english,sad,1
4Ao85ZB0F474SYUelDH1Xi,Sad Rap,english,sad,1
00wHFIu00pH4CJWPV4vJwA,sad lofi hip hop beats to cry to,english,sad,1
7eELfOGXhkfhYZBfFOVVLv,SAD,english,sad,1
37i9dQZF1DX6hO1vx5AApi,Sad 70s,english,sad,1
53NEfJTEt86ytgk5SaqMjZ,SAD LOVE SONGS,english,sad,1
37i9dQZF1DX3bcfiyW6qms,Sad Melodies Tamil,english,sad,1
6GOHt32ncqj1joAqUevG5f,Sadness and Sorrow (Naruto),english,sad,1
37i9dQZF1DWSKj6yrmnSvg,sad grupero,english,sad,1
37i9dQZF1DWVrtsSlLKzro,Sad Beats,english,sad,1
6nxPNnmSE0d5WlplUsa5L3,Sad Songs 🥺,english,sad,1
4HBkSFTG8PRu9lMM2tvlyq,[sad kpop playlist] ,english,sad,1
5qos0qiVoklN1fcGH6Pn2I,sad songs you know all the words to,english,sad,1
3svmrcbXmJ0B3lbNINd57g,Sad Vietnamese Music,english,sad,1
4PWQV9dQpT7As9OTZBqrR8,Sad songs playlist that will make you cry 💔,english,sad,1
5FeHyyiioSObGs9mIVqW5b,sad songs for sad breakups,english,sad,1
0kmOyJVmY9h8X9XF05EPqs,Sad Tamil songs🥲,english,sad,1
37i9dQZF1DZ06evO2piM6c,This Is Sade,english,sad,1
1tIYMatOMlwYkGTRJjSqXO,sad 🌧,english,sad,1
