Playlist-ID,Title,Language,Label,isTruthWorthy
5ytrbPVtmvkmFiZe6Ack3l,sad french(?) music for the soul,french,sad,1
0VxBmrnkopHYlaEqz0GjpV,sad french songs,french,sad,1
07DaBUkB3RNfW7OoEhcOH3,SAD FRENCH RAP,french,sad,1
7zpwm8be9M4MNHh1uveI23,Sad French Songs,french,sad,1
5fw7no86M7kVhI7DfbKbYN,sad french girl,french,sad,1
02gyE4BeCL928KwqJU9FSl,french sad masterpieces,french,sad,1
5si9jyRhbO256vipaOsNn3,Sad French Music,french,sad,1
2YXoHgg2isNwIXVtKiKqEG,Sad Love French rap,french,sad,1
7BIptMr2bZwlx2fF6ZPagO,sad songs but in french,french,sad,1
6GrgNF702lo25vcOes2zpu,French love/sad RAP 2021,french,sad,1
4psVG3LLnGXChs3rD7aBac,🇫🇷🔥French Trap🔥🇫🇷,french,sad,1
2xCUHhVw2Bs9DxM1gXM6rT,sad playlist french 💔😔😭,french,sad,1
593pLdJzf3JYhF262hYCjP,sad rap (french),french,sad,1
2HCoeochJ8pdj15LQgp5Av,Sad song French ,french,sad,1
7pgUmtvHwp9oKcxBSGMpdb,sad french girl,french,sad,1
4EnJlTz42mqiVj8eDKx70l,Sad French Music,french,sad,1
2GoJWmQjZVEBLkU10aFUpf,french sad,french,sad,1
7BWb3rJhzzK5wCRW87aAp5,sad french songs,french,sad,1
6CHSfvHqnXpTFZLYXqLuAr,Sad French Rap😭😢,french,sad,1
06XELEerFeO14HWiWeOYOr,French Sad Sad ,french,sad,1
1jW7bfUafPzsEe8f63Yx44,French sad song,french,sad,1
0IFfksEVIhtYQ3kfZucUVt,Sad French Rap,french,sad,1
0HVHGNPWBVARrvTrKsBYPF,French Rap,french,sad,1
4AjMc87XWXmMSLwBPdPJ2Q,the sad french,french,sad,1
1AY8ElvlFnVRTb1lcbLzJQ,The sad french,french,sad,1
2tylx1GU1uLzfglC7ACyWq,Sad French Film,french,sad,1
0BIuzS1TeqimbDBuUFRemv,SAD FRENCH RAP,french,sad,1
5AKekfCGlBy1nAue92IJth,FRENCH CHILL ,french,sad,1
5J5J9UsGGHOFiWyttQv4ro,FRENCH SAD,french,sad,1
3D7oxaSf4nPM4SojBPCWO4,sad french rap,french,sad,1
3C56dWieEekpDAoOuY0Djb,Sadi french mix ,french,sad,1
6CMCnvH7M3gfgVl2K0sHQT,Sad old French Songs,french,sad,1
5yJNhqzsmjQzJbPq04D1hA,sad frenchies,french,sad,1
3pEq2RoeerHUMZNOEtPEba,Sad french🖤,french,sad,1
6zzj8TMGeChpnQKXshZdAM,sad People Help the People,french,sad,1
1iNDWcSgVs5Qc7LH0QZBqx,Sad french boi,french,sad,1
1M85uUPxS5G0VGhbiI0md2,Bread In French / Sad Bitch Hours,french,sad,1
0zWLL3L6hZZ2rWjhppNPH8,SAD - FrenchRap🇺🇸,french,sad,1
07URczM5fX5RReP8ZvAmjS,Sad in french,french,sad,1
0fZyRqxvtqrfTGSVbhXQX2,Sad song for all 🖤,french,sad,1
5ldGlTM0SNXvHYPsgDPfKm,Frensh & UK sad songs 🥺😭,french,sad,1
0HWbr6xHpI6HpZP3KFO9w1,🌪️ french sad 🌪️,french,sad,1
4DLvTLX4rYlQS4BCQyRwCX,sad french girls 🚬,french,sad,1
1KbgadyEHofDNW9Ag59a2H,French indie sad songs🍒🌠,french,sad,1
0ZjTZl4xVBA8TYzPMQV7IF,bread in french,french,sad,1
2EVldW4fXrgVeeSBzXdnSS,French Sad Song 🇫🇷😭,french,sad,1
5ydxAqjgEBMl8YTGxLFkFA,Feel Sad French Song,french,sad,1
2hEdqfYA3rQiMJsI7YbtBw,sad french music,french,sad,1
2DIdDsrjIHEEml7a9SuntJ,Mix kpop pop french sad happy 🥰,french,sad,1
