Playlist-ID,Title,Language,Label,isTruthWorthy
4YOfhHpjPB0tq29NPpDY3F,Sad Hindi Songs - a little broken 🥺,hindi,sad,1
37i9dQZF1DXdFesNN9TzXT,Sad Hindi Melodies,hindi,sad,1
2jkA2oM4cZ8Mle4LO5OqYt,Sad Hindi Songs 2021 ( September ),hindi,sad,1
4Ah5TyG60vFv43JJRYcRAa,Sad(Broken 💔) Emotional Hindi,hindi,sad,1
2GrnA8IlKRBKNs8vgRHzGq,sad hindi songs ,hindi,sad,1
5JVuHeTFLMdeoa8DmPY3jL,Old Hindi Sad Songs 💔,hindi,sad,1
0S3txzk2LTFt23XPsjvfva,Sad Hindi songs💔,hindi,sad,1
2IbZGv306zaldI0lap578G,Hindi songs sad,hindi,sad,1
4OkTVJwGAougFCIsGbqg77,sad hindi music i cry to lol,hindi,sad,1
1YNf9KyzVy6UijcrPg18PQ,Sad hindi new latest hits best,hindi,sad,1
2Y06wCvc2Ve6bJQ8H7K6nu,90's Sad Songs(Hindi),hindi,sad,1
6LmydCpI2jB1IKSxVRRaGG,sad hindi and punjabi songs,hindi,sad,1
31mgLI8gQ1VCODWHvIqGqN,Hindi sad and love songs,hindi,sad,1
59zqLQjiqFIa0vRWOjDvju,sad hindi heart break songs ,hindi,sad,1
277Us9YE8AeELwdk9asT5z,Sad Songs 💔,hindi,sad,1
1RU96A0fsXJsRxinyjXpHn,Sad Hindi Songs,hindi,sad,1
0lR3rMqOjfcq2yzHfuklpr,Best new hindi sad songs,hindi,sad,1
0xIftjQUHPzJFp8MI3upxP,sad hindi (cutting onions),hindi,sad,1
3WgDKDwIVvVQDUrcaXGG76,Sad lofi  hindi 🤫,hindi,sad,1
3h8UrgHrSlc0ORz86e55xx,"Broken! 💔lofi ,Sad [Hindi]",hindi,sad,1
6Ev4bn0chHmAbHvnClT3E4,Hindi Sad Songs,hindi,sad,1
0ckfAZ2jfuYxVeVqi7MVue,Lofi Hindi/Slow Hindi/Sad Hindi,hindi,sad,1
4nbOE8pBjCnWYQdCIHOXM1,Top Hindi Sad Songs,hindi,sad,1
7mFH3FUgHynO9QiHheW1wf,NEW SAD HINDI❤️,hindi,sad,1
6QrdfzC6qav0V1hn57h8gv,SAD/ROMANTIC HINDI SONGS🥺,hindi,sad,1
7sXveK84Qv25ssShK78Clz,"Soft , romantic, sad hindi songs",hindi,sad,1
6tcTjufSvl4PbbsFSDABHG,Slow/Sad Hindi Songs💙,hindi,sad,1
45Jl6Uuj7HVwYrpFwQM0Zs,Old Hindi Sad Songs,hindi,sad,1
37i9dQZF1DWX7nMmBhSzhN,Hits Mein Twist,hindi,sad,1
3c7SZjMavNbFGFotK1pQU1,HINDI LOVE & SAD SONGS❤️,hindi,sad,1
46IGnFaqrcMqRT8bmAodhR,LoFi hindi - / hindi lofi / hindi sad songs / hindi sleep / hindi melody / bollywood lofi / bollywoo,hindi,sad,1
3w8rGWA2a9k3GcXKlHqjbP,Top Heart Broken Hindi Sad Songs 💔 New Bollywood Romantic Love Songs 2020 💔 Hindi Sad Songs .,hindi,sad,1
3UaRHcLWmoogYqgNbHmoaP,Latest Hindi Sad songs 🎶,hindi,sad,1
65Iky6dMwoJdm4445WpkQw,SAD BOLLYWOOD SONGS,hindi,sad,1
6V2qNTXzQM5guSnN6NNAb2,Best Hindi sad love songs,hindi,sad,1
0ZUiTcvSypAuLs03kSIo8f,rainy hindi songs,hindi,sad,1
0TnLFYL2PlHCKdD7zOTwae,Sad rap hindi,hindi,sad,1
6HofHPlfUEjHv3i3xk5IKY,Sad/ Breakup songs(Hindi),hindi,sad,1
1dLeqjCAjUlx8Q1CcQ2RGb,90s Hindi Bollywood Songs | Old Hits,hindi,sad,1
5PLq79gdTQrfr3rM35pu5g,NEW SAD MASHUP HINDI & PANJABI,hindi,sad,1
4S7LFOqGTFCdE7BpE8DN2D,Sad Playlist (Hindi),hindi,sad,1
5ioroW383M8ez2m5FKbEQH,Old sad songs hindi,hindi,sad,1
7amgDEiB0cqcbux0vNzTRX,Hindi sad mashup,hindi,sad,1
3uMgwhGl3uTPsE83NSm9WN,Sad/Love Hindi Songs,hindi,sad,1
0rbFUtulGxwaweD80wQJgV,Peaceful Hindi Songs,hindi,sad,1
3xn9b1Y8x32TBvH19PJLg2,Romantic/Sad Bollywood Songs,hindi,sad,1
2qZ5363uoa0QLSshesKGHW,Hindi sad rap,hindi,sad,1
7kVoAiKrs4qRIWlU3JFRyA,💖Saddest Hindi Songs,hindi,sad,1
3WKlf9g2SOMcAeszvRc5mq,Sad slow hindi songs,hindi,sad,1
6J7bZu1Ugh2s3nwOO8x5tS,Sad & Melody Songs 2021 (Hindi) | Top Hindi Melody | Latest Hindi Songs,hindi,sad,1
