Playlist-ID,Title,Language,Label,isTruthWorthy
1MMTixvL60JWHErvs311gb,Sad Indian Songs,india,sad,1
37i9dQZF1DWYztMONFqfvX,This Is Arijit Singh,india,sad,1
0WrPcFaFgkB6zOxLcp11cQ,sad indian hours ,india,sad,1
27MOj5hHk7mnreAdJxNW5i,sad indian music :(,india,sad,1
1AhRFYCjsvRUkJk6jN5lqn,LoFi Indian (Indie/Relax/Chill/Sad),india,sad,1
0fV0BCSBroZHeuXbhH5Jls,Sad Indian Boy,india,sad,1
28emi8PAWoYu3wDnbbeBMv,Indian sad songs,india,sad,1
3p6r7jYpa6YICHGMBx3n57,Sad indian Hip hop,india,sad,1
2j2PSi6isTXewCihClDXhQ,Indian sad and romantic songs,india,sad,1
0e1Y9sRua02Hsc8UJWozni,Indian Sad Lofi Slowed💔🥺,india,sad,1
163yEhgIUJJF7Xcq0F4j2x,Sad Rap India,india,sad,1
4IF61ctQNemNVyTh0K1PAC,Sad Indian Songs,india,sad,1
77EqV4vVALzDcPqrFMJruS,Best indian wedding playlist ever,india,sad,1
5BVDc3DEwo3bDaKpJnuNUk,Sad Indian songs,india,sad,1
2EeXy8Yf7h8l03TaHVuqP6,Super sad indian songs ,india,sad,1
16asNwNkt7Hc4C2l7OgAro,Indian love/sad songs,india,sad,1
7wybjbA6jWG9kNAq4ZDx7M,sad indian ,india,sad,1
3BmhqiPfME4We82MK0zIBm,Old&new indian sad songs❤️‍🩹,india,sad,1
10Mqr9Q54SK96wsUIfiFEb,Indian sad song,india,sad,1
2Oi1A9Dy8FwvTSEGUDna41,Sad indian ,india,sad,1
1xCF16l6Un9N7N46RgVNad,bollywood crying scenes,india,sad,1
76xosFuSEwFazbdnpCMTfP,Indian sad song,india,sad,1
4No9M9LfYhLTUP5DF8lGil,Indian sad ass,india,sad,1
6sCGNzq4tKO98NhK8SAX56,Indian songs sad,india,sad,1
0HkLAEciK5yYx8Pewi7sdY,sad indian gals🤠,india,sad,1
3OOjpST8UE0oWhalz2wjXU,Sad old Indian,india,sad,1
5gRcp3eREaVX9UUW25iIFS,Popular (hindi) love,india,sad,1
3pAwRUFiKv86gcOpxGrdLe,Sad indian mix,india,sad,1
2NoPk5TaLnr33oVaWPLW1W,sad indian songs ,india,sad,1
3vQFiunQ85YONvEJL8NM7m,INDIAAAA,india,sad,1
7zQRDaMP4HgKwJGnK3rKkj,Indian songs sad,india,sad,1
2U5unQ5h2YPEM8BAx2owyd,ur sad but ALSO ur indian,india,sad,1
13vFjpFxuCWH2hJwLqBiv3,Indian Tamil Love Sad Songs,india,sad,1
3TtkbZwwjXTUhEmY65ZHuC,Sad indian,india,sad,1
0fq55ORvb2IfK792auvOVQ,Sad Indian,india,sad,1
1wU6NNTVRXpeoc4TGRXIkJ,Indian Sad,india,sad,1
4UjfD9Kna65vhtigKqsE2d,indian lofi ,india,sad,1
5Sg9VDc3JZjWBPuAMrwn2N,sad indian music for broken heart💔,india,sad,1
1qDtIL2iPvTOXpQ2ttgMxW,Songs That Get Brown People Emotional,india,sad,1
18x2vOljdmFqNSr9AUccxb,Indian sad/love,india,sad,1
5vhkjjDHb25bmuWiD6dq4p,Sad india,india,sad,1
0hVQZS4pHObSwYtNiAc8cu,1.1 sadhana India,india,sad,1
1282aFoTseF1G7gG055QZa,Indian Oldies Sad,india,sad,1
2DV6QKrYeXOYLu13gX60J1,Sad moments(indian),india,sad,1
3iR7Z5PWF5tdVKTHrEgccn,Indian sad,india,sad,1
6QsDQ98fmUG9iLCtXXW15u,Heart  warming India,india,sad,1
6D0ANQ59qKAqfJNa2JkACZ,Sad Indian,india,sad,1
1WNzTPZd5nZd9yF0MiLb5m,Sad india,india,sad,1
7hmSvMCLeNVaiW0u4zyyae,indian songs sad,india,sad,1
7pNitZqkBTNWazrUXGiOqz,indian ,india,sad,1
