Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
2tjWCe2W7sgvS3C8NHcdtI,"Duniyaa (From ""Luka Chuppi"")",0.435,0.658,7,-5.949,0,0.0368,0.699,0,0.125,0.524,77.17,222501,4,1MMTixvL60JWHErvs311gb
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",0.427,0.396,11,-7.556,1,0.0366,0.736,0,0.11,0.306,70.368,284780,4,1MMTixvL60JWHErvs311gb
0ZHILXmUaVSLEOCWxPQ1ga,Makhna,0.696,0.704,1,-7.876,1,0.0423,0.167,0,0.155,0.426,124.972,183000,4,1MMTixvL60JWHErvs311gb
0HTb4JfMtMkMYUtyd19In3,Baari,0.658,0.539,3,-7.043,1,0.0433,0.857,1.45e-06,0.0999,0.461,80.088,235297,4,1MMTixvL60JWHErvs311gb
0Iz4CkptElGHo16r797Jsb,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",0.799,0.828,9,-4.846,0,0.0782,0.424,0,0.145,0.627,105.04,256271,4,1MMTixvL60JWHErvs311gb
2IoZMG3RqiTmsy7Li3zGFg,"Mere Sohneya (From ""Kabir Singh"")",0.376,0.643,9,-5.713,1,0.0411,0.558,0,0.217,0.646,136.224,193356,5,1MMTixvL60JWHErvs311gb
1scGwkyXNCl19wrBDhnAWg,Dekhte Dekhte,0.799,0.828,9,-4.846,0,0.0782,0.424,0,0.145,0.627,105.04,256271,4,1MMTixvL60JWHErvs311gb
1L3Nsi7YXtBxTdnbqektia,Hawa Banke,0.625,0.598,7,-6.6,0,0.0373,0.616,0,0.299,0.5,90.078,171988,4,1MMTixvL60JWHErvs311gb
4orEOb27nON0TWsHvlVAxb,Baarishein,0.349,0.633,7,-3.233,0,0.0495,0.488,0,0.104,0.0869,74.635,250922,1,1MMTixvL60JWHErvs311gb
7lGhrfren1Zpwh0ds0zuUg,Pal Pal Dil Ke Paas- Title Track,0.56,0.512,1,-7.185,0,0.0333,0.592,0,0.056,0.39,123.991,254516,4,1MMTixvL60JWHErvs311gb
3f0wz6zcA7XkQiGm0qNF5r,"Thodi Jagah (From ""Marjaavaan"")",0.621,0.467,0,-4.835,0,0.0273,0.632,0,0.0888,0.227,107.164,218048,4,1MMTixvL60JWHErvs311gb
5j815QNPbEq3e9Ciob41CA,Yaad Hai,0.403,0.311,2,-9.797,1,0.0299,0.93,5.37e-05,0.0961,0.17,139.485,320142,3,1MMTixvL60JWHErvs311gb
7DE0I3buHcns00C0YEsYsY,Filhall,0.463,0.661,0,-4.14,0,0.0635,0.61,0,0.135,0.588,79.876,255000,4,1MMTixvL60JWHErvs311gb
5O932cZmzOZGOGZz9RHx20,Khairiyat,0.534,0.481,0,-9.016,0,0.0412,0.697,0,0.142,0.293,124.914,280282,4,1MMTixvL60JWHErvs311gb
0loZn1c5heXie7OAtvK6nH,Humnava Mere,0.401,0.553,5,-8.263,0,0.0337,0.47,2.96e-06,0.124,0.364,79.144,328992,4,1MMTixvL60JWHErvs311gb
2nCKF3gkwHCamm3f0jNaJd,Love Mashup 2019,0.607,0.515,7,-9.401,1,0.0299,0.216,0.000265,0.314,0.283,97.947,265830,4,1MMTixvL60JWHErvs311gb
25MPTnqXQB1H6OkwSYUXWx,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",0.384,0.728,7,-6.503,0,0.0623,0.329,1.85e-05,0.329,0.311,156.396,287374,4,1MMTixvL60JWHErvs311gb
0p83RJy9EZ0hlg82xcXH7f,"Dilbara (From ""Pati Patni Aur Woh"")",0.304,0.686,0,-4.869,0,0.0497,0.254,0,0.106,0.236,89.991,247682,4,1MMTixvL60JWHErvs311gb
6E9UwSfT80age2xknoMS7Y,"Tum Hi Aana (From ""Marjaavaan"")",0.473,0.401,4,-7.018,0,0.0241,0.629,1.17e-05,0.154,0.345,90.076,249127,4,1MMTixvL60JWHErvs311gb
1feANd8EfcDP5UqSvbheM3,"Bekhayali (From ""Kabir Singh"")",0.308,0.585,9,-5.18,0,0.0428,0.45,0,0.319,0.345,171.843,371791,3,1MMTixvL60JWHErvs311gb
018eOid2aGaPdxon7T6GsC,"Shayad (From ""Love Aaj Kal"")",0.487,0.456,8,-7.144,1,0.0319,0.789,1.79e-06,0.141,0.348,136.088,247941,4,1MMTixvL60JWHErvs311gb
