Playlist-ID,Title,Language,Label,isTruthWorthy
6rJiLpCxccWHOcpjDkQkLT,Sad Japanese Piano Music,japanese,sad,1
2sxuec51xVVGeQnKkfcvkk,Japanese Sad Songs,japanese,sad,1
5spZGGK2lkYhd3TF19UsGX,Sad japanese songs,japanese,sad,1
47QRIgn4h25iNf0nXCUFbw,sad and chill japanese songs,japanese,sad,1
7iEjCcx21s1T1i4oDvygMq,Sad Japanese Songs ,japanese,sad,1
7HO0SmjGrwkWnamk3JJwJJ,Japanese Sad Songs,japanese,sad,1
0K6vJ2UlUB4v4KohX2RjVx,Japanese Hip Hop,japanese,sad,1
03wwn1sX9x3GDlqfu13qMT,Japanese Ballads,japanese,sad,1
0nRcLHYqKvSK2uPcKjUJua,Japanese anime sad song,japanese,sad,1
5MR5lLOy5cfgRm2HHzFCfE,Japanese Lofi Sad,japanese,sad,1
2TfxuxibTqGIbvBX9Kd9OK,Japanese Acoustic Songs ,japanese,sad,1
5YvUZRq54NzSW666vGxC1Q,2021 Japanese Sad Anime Song,japanese,sad,1
0jvGFniWJL7NfSQgXXsOV4,Japanese Sad Songs  1 ,japanese,sad,1
2O5JW5bl2P4JVZxImRUOG3,Japanese Love Songs ,japanese,sad,1
0GbisZjfQKZYPt0tkHQYde,happy japanese songs,japanese,sad,1
0dRxDrR1PfZMlVbfnuBRbR,Sad Anime Instrumental OST Playlist,japanese,sad,1
5RInPxL6Dt4RJc61jvwpRO,Chill Lofi Study Beats // Hip Hop Sleep Jazz Instrumental Guitar Piano Japanese Sad Vaporwave Relax,japanese,sad,1
28v7Fs0C0oXG4VzcDwKJb8,Kawaii songs ^,japanese,sad,1
3MmwvjFu7ZtbFBYhZIFjSJ,Sad Japanese,japanese,sad,1
39gD0J4pgGMZXs0eJTTJpV,Japanese sad girl,japanese,sad,1
