Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
0JdUloeK9xqiorsQPsvugp,The Sound of Rain,0.533,0.357,10,-23.667,0,0.083,0.957,0.197,0.345,0.399,121.259,254955,4,6rJiLpCxccWHOcpjDkQkLT
2agBDIr9MYDUducQPC1sFU,River Flows In You,0.315,0.22,9,-21.343,1,0.0514,0.987,0.943,0.0802,0.116,145.195,188787,4,6rJiLpCxccWHOcpjDkQkLT
0QkzjIo70QYa3tGiGs5ozf,Life,0.625,0.184,3,-20.243,1,0.0464,0.978,0.911,0.175,0.13,119.998,248000,4,6rJiLpCxccWHOcpjDkQkLT
7INQ82T3MLktwHcpXNPt4F,Wings of My Soul,0.396,0.21,9,-18.208,0,0.0449,0.844,0.887,0.0957,0.128,209.88,149690,4,6rJiLpCxccWHOcpjDkQkLT
5YBQqesIFfyZ27nZv9E8Oc,Skyblue,0.576,0.0209,6,-23.329,1,0.0618,0.992,0.933,0.0621,0.322,76.541,242962,4,6rJiLpCxccWHOcpjDkQkLT
3gb23WJ7zkHIx6uSPFnpKA,낮에 뜨는 달 A Daytime Moon,0.39,0.024,0,-25.457,1,0.0566,0.996,0.932,0.0883,0.142,131.161,250810,4,6rJiLpCxccWHOcpjDkQkLT
4GH8fBqbl0ixszcyqvGLS4,Sayoshigure,0.514,0.318,10,-21.694,0,0.0379,0.983,0.877,0.375,0.0866,134.997,391111,3,6rJiLpCxccWHOcpjDkQkLT
3QdEUoqrh5Jj2E8yzKxgyW,5 Centimeters Per Second - End Theme,0.531,0.018,0,-25.497,1,0.0715,0.988,0.949,0.108,0.202,66.524,173517,4,6rJiLpCxccWHOcpjDkQkLT
0jN6vGXYl65DyiOP2uWA0b,After all this,0.509,0.0251,2,-30.029,1,0.0395,0.984,0.277,0.0979,0.173,109.867,205091,4,6rJiLpCxccWHOcpjDkQkLT
3bjEmFSLNMqCrVmlWMRf2A,After all this - Piano Version,0.305,0.0137,2,-31.342,1,0.0571,0.992,0.949,0.0987,0.218,73.289,198545,5,6rJiLpCxccWHOcpjDkQkLT
1WWnZr26MV18BDogg9uTk7,Always with Me (From “Spirited Away”),0.463,0.211,5,-19.41,1,0.0621,0.974,0.915,0.127,0.237,119.222,179000,4,6rJiLpCxccWHOcpjDkQkLT
5IeHIsegjkCOEHUrbs8hrF,Amore,0.581,0.0646,5,-20.335,1,0.0457,0.99,0.909,0.103,0.0764,116.798,309067,3,6rJiLpCxccWHOcpjDkQkLT
7hdbfMdjsdclkZONmT7lD6,"Beethoven's Piano Sonata No. 8, Pathetique",0.548,0.0955,1,-22.531,1,0.0368,0.741,0.93,0.112,0.0594,129.332,313027,4,6rJiLpCxccWHOcpjDkQkLT
5QF4hrllnUCvgmRliKIlgp,"Berceuse, Op. 57",0.302,0.0748,1,-28.936,1,0.0401,0.977,0.898,0.0929,0.0964,92.2,307480,4,6rJiLpCxccWHOcpjDkQkLT
2LJdFYAs02wZQKW4psBmRd,Be Still,0.244,0.0916,7,-24.201,1,0.038,0.982,0.936,0.133,0.0757,69.353,188307,3,6rJiLpCxccWHOcpjDkQkLT
0yJ16as6meNkfMuKjLWZIM,Castle In The Sky - Innocent,0.718,0.0723,0,-21.746,0,0.0431,0.986,0.903,0.0972,0.152,110.036,216797,4,6rJiLpCxccWHOcpjDkQkLT
0BrZCcTsUZ14GOf5FKDUSI,"Chopin: Nocturnes, Op. 9: No. 2. in E-Flat Major",0.438,0.0606,3,-23.638,1,0.0424,0.972,0.865,0.141,0.084,113.111,262917,3,6rJiLpCxccWHOcpjDkQkLT
50Os9Jy0SElIdyPhvWD3zX,Curious,0.124,0.0205,7,-32.084,1,0.0478,0.991,0.885,0.111,0.134,72.314,291014,5,6rJiLpCxccWHOcpjDkQkLT
7A7lxMWZI2Uow7WqWjWGcM,Date,0.673,0.119,5,-20.274,1,0.0656,0.985,0.73,0.114,0.478,123.87,245907,4,6rJiLpCxccWHOcpjDkQkLT
0wf56xkFyoiPBPDhqgksMt,Date 2,0.679,0.13,5,-22.383,1,0.0852,0.993,0.729,0.106,0.41,123.43,129013,4,6rJiLpCxccWHOcpjDkQkLT
2uqCmyohirRaQDrSp7249A,Dreaming,0.368,0.177,3,-15.974,1,0.0313,0.94,0.957,0.115,0.132,64.025,187500,4,6rJiLpCxccWHOcpjDkQkLT
7tdeT7x8memd1Kx1fehmuV,Esperanza,0.281,0.062,0,-25.815,0,0.0388,0.981,0.813,0.066,0.141,85.311,188680,4,6rJiLpCxccWHOcpjDkQkLT
7n1wycjtdeuLpCaGLLTeW7,Fairy Tail Main Theme (Piano Version),0.485,0.0394,7,-21.861,1,0.0669,0.986,0.922,0.114,0.179,81.497,129133,4,6rJiLpCxccWHOcpjDkQkLT
5UsCSPag0ko8IFBbObkRhg,A Flower is not a Flower,0.567,0.008,2,-25.567,0,0.0887,0.991,0.93,0.065,0.067,76.838,395147,4,6rJiLpCxccWHOcpjDkQkLT
6CsgYg38bAE3pTacO8X0hp,Flowing Rivers,0.369,0.0102,5,-23.784,0,0.0726,0.994,0.939,0.114,0.142,73.053,341200,5,6rJiLpCxccWHOcpjDkQkLT
7t9hbnKhVdoxLHKXYViq24,Germination,0.436,0.0743,0,-19.199,1,0.0534,0.989,0.856,0.0839,0.327,81.065,129093,4,6rJiLpCxccWHOcpjDkQkLT
7w2Jesz8uSELAF0LZtxC7y,Grave of the Fireflies,0.4,0.122,11,-23.665,1,0.0432,0.996,0.913,0.0893,0.887,66.654,108197,3,6rJiLpCxccWHOcpjDkQkLT
2431O4bEAvUbfzccGO2OXB,"Grief and Sorrow (From ""Naruto"")",0.48,0.109,9,-16.557,0,0.0476,0.991,0.872,0.108,0.111,134.189,133468,4,6rJiLpCxccWHOcpjDkQkLT
1UrxcNtSGbbktDxrMXCgT6,heart beat,0.444,0.0687,7,-26.092,1,0.0381,0.988,0.905,0.114,0.179,139.81,99333,4,6rJiLpCxccWHOcpjDkQkLT
2hDoSgXULuMoiT6U44gFET,"Inochi no Namae (From ""Spirited Away"")",0.532,0.112,9,-21.119,1,0.0583,0.993,0.943,0.0884,0.703,83.309,251685,4,6rJiLpCxccWHOcpjDkQkLT
4OffIOl5eN9pWQSmjiiDlo,Itsumo nandodemo (Piano),0.54,0.295,5,-18.369,1,0.051,0.993,0.836,0.102,0.584,132.856,180960,3,6rJiLpCxccWHOcpjDkQkLT
2q19qe9vTiMNRp9GiLb1nn,The Last Emperor,0.488,0.0924,4,-18.656,0,0.081,0.981,0.854,0.107,0.0674,80.031,402373,3,6rJiLpCxccWHOcpjDkQkLT
0ylf1wQGwutMzirog83Gui,lit,0.715,0.0319,4,-23.01,1,0.131,0.995,0.967,0.123,0.764,140.076,50533,3,6rJiLpCxccWHOcpjDkQkLT
