Playlist-ID,Title,Language,Label,isTruthWorthy
7wmcFE7emcdYPHOkIh1a5F,sad spanish songs,spanish,sad,1
1WvbfCLI4OKFU30r0GLvP6,Sad Spanish Music,spanish,sad,1
2EUv9WKSfW8gVTC8pO7C3J,Sad Spanish songs ,spanish,sad,1
7DXGw7dN7slok1p434Gpjq,sad indie spanish,spanish,sad,1
2ihZ1CJKrspW2hQPyNycLb,sad spanish music ,spanish,sad,1
4ha0awcGDnAmWORyKjZMbX,"sad spanish ""rap"" ",spanish,sad,1
38B9I13zS1RIDacOOnBpMb,Sad Spanish songs ,spanish,sad,1
17eCc7I1UN6FkEbvi7dvfU,TikTok sad Spanish songs ,spanish,sad,1
4YPMY1Kmi7HSAOasx2kwEW,Sad Spanish Songs (A Break-Up Playlist),spanish,sad,1
0HmiyTY7n9HjBj9zpcCmtK,sad spanish love songs,spanish,sad,1
5jrzMeV0kMwd8CBMpc1B0h,Spanish sad songs ,spanish,sad,1
4hSOGI9ebyScouDt6KZxiQ,Sad Moments,spanish,sad,1
1fdrwU2BcvLw9DXcXC8X1o,Sad songs in Spanish,spanish,sad,1
5ox4uHSDbu0g5S09Qdi9mn,Mexican/Spanish love songz,spanish,sad,1
0e72rU6p4yP0j8P9Jw0Etg,Sad Spanish Music,spanish,sad,1
4bM4NTKgDeXXvtprIuCrhx,"Sad Music Songs Musica Triste 2020, 2021",spanish,sad,1
5IGrtFCwLdPcyxJj9ddQ7R,SPANISH SAD ,spanish,sad,1
37eaf7OfRhOoqvUkHxToGq,sad spanish trap,spanish,sad,1
3PRp3pTAozuKm40CPwHjiy,Sad Spanish music ,spanish,sad,1
3PxgqlKnq5VVQZCh2yLTPT,Sad music in Spanish,spanish,sad,1
