Playlist-ID,Title,Language,Label,isTruthWorthy
0eKx35j1CqTB0WWVpigunf,Nhạc việt buồn,vietnamese,sad,1
5tW82HC9pANC35dhnqaT8j,nhạc việt buồn tả tơii,vietnamese,sad,1
0SeSNWEG4O6KCqaj94zcwg,Sad Viet music (nhac viet buon),vietnamese,sad,1
6wfW44eFPawENyjgvR4HQo,Nhạc Việt Buồn,vietnamese,sad,1
16y92udPCZWDUNXaOKSAbB,Playlist nhạc Việt buồn,vietnamese,sad,1
3rIUD7NO8nAe91GE4AtqZN,🤍sad viet songs - lofi,vietnamese,sad,1
56digdgrkwOYUyKIRmtO30,Nhạc Việt buồn,vietnamese,sad,1
365ZEeStcJIJH2lefJgmwC,Nhạc Việt buồn miên man 💔,vietnamese,sad,1
21GX5Dfi0q8fhSVv0wKxKz,Nhạc Buồn Việt Nam,vietnamese,sad,1
5OcihHsNVDNt4WanVeZdEr,list nhạc Việt buồn,vietnamese,sad,1
37stBWsITRqCaLH2VXfCfL,Nhạc Việt Buồn,vietnamese,sad,1
2z84MbgLKkUd1oCGROLqvN,nhạc buồn việt,vietnamese,sad,1
2tTpOjf9eqsEGJ7p2UU00y,Nhạc việt buồn,vietnamese,sad,1
0mdY8Dyka0vlJX1qeRJSL5,Sad Vietnamese songs (nhac viet buon),vietnamese,sad,1
3QHGicrrywP9MOekfo0YPb,Nhạc việt buồn,vietnamese,sad,1
63nzXgKeZYFUdQmhqX4pFt,Nhạc Việt ( buồn ),vietnamese,sad,1
1u0x6p30kPrvjr4l4qmN7c,Nhạc trẻ Việt buồn hay nhất 2020,vietnamese,sad,1
3aIZw7HKgSjoIguZTOPWlC,Nhạc Buồn Việt,vietnamese,sad,1
6lm7bizQOvjTvpREqWB1SH,Nhạc Việt buồn,vietnamese,sad,1
6KMBlA1qquJpBZRiVW6YeG,Nhạc Việt Buồn Hay Nhất,vietnamese,sad,1
3AjH1cvlqbiSEsP8p9Xxua,Nhạc buồn việt nam ,vietnamese,sad,1
6MHEDv0DKt3jJizwIrek5q,Nhạc Ballad Việt Buồn Tâm Trạng Nhất 2020,vietnamese,sad,1
7LJB7p0pt9QVhMkfqwJjXS,Nhạc Việt buồn ,vietnamese,sad,1
0zebrMWbp6XPVPA08iGmrF,nhạc việt buonn ,vietnamese,sad,1
6KNKJ01bWNRd2NuK7B44BX,Nhạc việt buồn 😔,vietnamese,sad,1
1gWKzw7CDeazqmYmRKoCU4,Nhạc buồn việt nam ,vietnamese,sad,1
1L8m3Z5MvSWtpoel3N2gBK,Nhac viet buon,vietnamese,sad,1
6bAIV90e4jmBSF4P27FQlH,Nhạc Việt Nam buồn,vietnamese,sad,1
4KOpPmrFuOTdQSRXPCT7jA,Nhạc việt buồn,vietnamese,sad,1
71cG3TzQacXD8hr3g3fEFa,Nhạc Việt Buồn,vietnamese,sad,1
4J6KQ4K8jMDLfptk2U7Yms,Nhạc Việt Buồn,vietnamese,sad,1
0VwTTh269NqRwJHVkIkFAA,Nhạc Việt Buồn,vietnamese,sad,1
2RII9TZpuiZBxllBrm4zo3,"Nhạc Việt nè( có nhạc buồn,vui, chế,v.v)",vietnamese,sad,1
581W08ytEFhUCPlOzeLgTx,nhac viet buon,vietnamese,sad,1
7yNoGuSMOUeJxBEmPln8Ht,Nhac Viet buon,vietnamese,sad,1
6HTriY44FfBTBMYCgxdaKg,Nhạc việt buồn,vietnamese,sad,1
