title,album,singer,id,date,populairty,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
París,,,4bF2y8rR7GUjrd5LNEvej3,,1,151429,0.57,0.455,1,-5.748,0,0.0996,0.441,0.000746,0.0654,0.399,167.933,4,sad
Volando - Remix,,,0G2zPzWqVjR68iNPmx2TBe,,1,273474,0.659,0.688,6,-4.649,1,0.0673,0.207,0,0.113,0.632,153.979,4,sad
La Última Canción,,,2mRwodUOATBk5spcUsEidB,,1,184749,0.793,0.605,1,-4.952,0,0.119,0.426,0,0.334,0.268,91.068,4,sad
Veneno,,,5AQTFpm3oDPTenmw5Lmfoi,,1,258587,0.686,0.721,6,-4.476,1,0.17,0.612,0,0.0905,0.713,92.036,4,sad
Entre Nosotros,,,6w8yBI2vthyN9UnwO4UBWb,,1,192353,0.729,0.513,5,-6.345,0,0.0455,0.494,1.1e-06,0.137,0.789,170.064,3,sad
Devuélvemelo,,,23OYFfmHaZbTOi1wWx80WV,,1,242536,0.762,0.423,1,-9.855,1,0.232,0.656,0.0572,0.117,0.204,145.012,4,sad
Párteme La Cara,,,5gEUDNQvoQjdjklrwPdGwD,,1,167867,0.761,0.296,0,-10.22,1,0.0484,0.551,0.000492,0.134,0.579,127.938,4,sad
3 Am,,,1F205Nl2feOSYSztLNOJAL,,1,208237,0.852,0.613,9,-5.261,1,0.108,0.413,0.000201,0.123,0.576,89.951,4,sad
Se Me Olvidó,,,7xLYLM5K6S1TwiSdfuhZQg,,1,220301,0.788,0.526,9,-8.082,0,0.071,0.524,0,0.285,0.584,89.012,4,sad
Otra Noche Sin Ti,,,2CdTLdDjwZdVcm0bresVWx,,1,228920,0.503,0.548,0,-7.564,0,0.164,0.0751,0.000234,0.145,0.441,94.036,4,sad
Si Estuviésemos Juntos,,,35wvL50xvKpCHEJPxLOLPI,,1,169248,0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,4,sad
Borracho,,,61XBoOfaa4vx5JamgCuz29,,1,191133,0.84,0.56,5,-8.856,1,0.0744,0.105,0,0.362,0.627,93.014,4,sad
SI TÚ SUPIERAS - Bonus Track,,,1SCYfmGM5ueb6YiiQbLXVn,,1,196373,0.652,0.666,4,-5.383,0,0.171,0.379,0,0.11,0.554,174.732,4,sad
Como Antes,,,1ZR473PTTSHGcnyRyidBoA,,1,142576,0.74,0.428,9,-8.458,1,0.0959,0.644,1.76e-05,0.117,0.281,84.739,4,sad
Dónde Estás,,,16DNJ8y6k97DxuMyV49W7V,,1,153560,0.706,0.622,7,-6.032,1,0.113,0.493,0,0.102,0.615,90.022,4,sad
Lo jodiste,,,2OPdYnaZVHhb6Jn4LnHzZ2,,1,271306,0.744,0.41,0,-10.61,1,0.47,0.411,0.000207,0.0918,0.644,81.974,4,sad
Nunca Estoy,,,6N4ioa3XSbvjmwdVEERl8F,,1,162493,0.913,0.369,2,-5.299,1,0.12,0.476,0.00609,0.309,0.436,135.019,4,sad
La Pared,,,6k436htnE7M4QXXWOjhTYZ,,1,289763,0.635,0.373,11,-8.727,1,0.0312,0.111,0,0.287,0.251,119.841,4,sad
HACIENDO QUE ME AMAS,,,26QApq0cuO9brJigr0C0W4,,1,217769,0.584,0.411,10,-7.147,0,0.0838,0.869,4.47e-05,0.0955,0.412,169.934,4,sad
OTRO FILI,,,4iDhQFNWG6uHWi7LOKhmkP,,1,202947,0.821,0.65,5,-5.877,1,0.103,0.239,0.000138,0.11,0.604,164.033,4,sad
Aclárate,,,2LewcRYN0lmAPcqzhPiDnx,,1,182500,0.579,0.189,8,-14.456,1,0.0983,0.118,0,0.2,0.217,150.045,3,sad
Ya No Te Hago Falta,,,4RIi1gNmKDzSH04Vvws2DK,,1,161600,0.56,0.311,9,-8.508,1,0.038,0.934,6.02e-05,0.0706,0.452,180.05,4,sad
Mejor No Nos Vemos,,,6NT4RZ6CF6qFJqslGdqaRM,,1,189187,0.554,0.652,9,-4.874,1,0.425,0.208,0.000201,0.104,0.346,184.012,4,sad
no estabas cerca,,,0CaAkdZcfgo0KRyPoU2vc7,,1,70465,0.6,0.308,8,-11.442,1,0.444,0.934,3.33e-05,0.106,0.734,172.548,4,sad
A cuestas,,,0RIGC0Kd7LmmjQMZih4w0V,,1,194369,0.749,0.342,8,-10.496,1,0.0322,0.677,0.000118,0.12,0.153,104.05,4,sad
Fuentes de Ortiz,,,0akyEssGRVHstqCSWXusJL,,1,207400,0.83,0.159,1,-14.461,1,0.0383,0.946,2.02e-05,0.362,0.189,104.95,4,sad
Solo Me Quieres Cuando Estás Triste,,,1GN0WlzoHEg8ySh7wH3J98,,1,183000,0.655,0.464,3,-12.311,1,0.0565,0.09,7.31e-06,0.127,0.566,80.003,4,sad
23 Preguntas,,,5ANkjNH7elrxzggidjnH9v,,1,251221,0.777,0.594,4,-6.234,0,0.153,0.416,3.84e-05,0.103,0.562,82.988,4,sad
Cosa Guapa,,,5o9NxjgOMpdGDYswuNv7yu,,1,255713,0.52,0.728,11,-4.431,0,0.0943,0.0748,0.000687,0.151,0.399,118.396,4,sad
