Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
61IEe4ujPKOU7OIyubydfz,Dooba Dooba,0.716,0.562,5,-8.741,1,0.0315,0.529,0.000133,0.0928,0.533,105.004,303020,4,7cXKyCGQxrbV4JYwfZebUK
6udC4b4jOSnHb9ItnXgKLR,Saibo,0.619,0.429,2,-7.867,1,0.028,0.738,1.35e-05,0.136,0.545,90.058,195253,4,7cXKyCGQxrbV4JYwfZebUK
0l6g8Z8mqGbGXFOjigYetD,Hawayein,0.606,0.601,2,-5.576,1,0.0283,0.796,0.000511,0.127,0.453,125.961,289999,4,7cXKyCGQxrbV4JYwfZebUK
3E424W0IJS3ypZ4YOxE0Jn,Kahin To,0.61,0.492,10,-7.55,1,0.0261,0.334,6.3e-06,0.0979,0.165,90.984,303206,4,7cXKyCGQxrbV4JYwfZebUK
7E4sdzJDrVMu8qcwyxz3vP,Sawarne Lage,0.784,0.679,1,-5.797,1,0.0357,0.0882,0.000105,0.0886,0.311,100.037,167000,4,7cXKyCGQxrbV4JYwfZebUK
4t1DkxexoMbIHfSHS4Uiyr,Ve Maahi,0.65,0.551,0,-6.906,1,0.0274,0.405,0,0.219,0.294,102.934,223999,4,7cXKyCGQxrbV4JYwfZebUK
3PAC15iDIHk7IWD8ShSgWh,Teri Mitti,0.332,0.422,3,-5.414,1,0.0449,0.865,0,0.0763,0.217,74.315,313999,4,7cXKyCGQxrbV4JYwfZebUK
6bY2lEYwgJRnoPWWT1Hld9,Teri Mitti - Female Version (Kesari),0.584,0.188,4,-10.067,1,0.0314,0.945,0,0.0871,0.393,144.068,217000,4,7cXKyCGQxrbV4JYwfZebUK
5MnAi6ZF7cE8pAz7wYr9Ta,Dil Diyan Gallan,0.716,0.64,2,-8.726,1,0.025,0.565,0.00139,0.127,0.485,105.012,260537,4,7cXKyCGQxrbV4JYwfZebUK
0mJTAdmY8olbGQjopDYff3,Vaaste,0.444,0.479,5,-5.586,1,0.0436,0.454,0,0.095,0.315,89.892,196044,4,7cXKyCGQxrbV4JYwfZebUK
