Playlist-ID,Title,Language,Label,isTruthWorthy
3C7FXzgUwDq7hY68lW5B2d,Calm Indian Music,india,calm,1
66Clf3hueHjJgQeRPHCLfs,Indian Yoga Chanting Music,india,calm,1
6FKt2LQSiCrYZ0n8DxpdNg,Playlist - INDIANA,india,calm,1
0ttJ4hR2MAX5KwvKVeulP2,Morning Raga,india,calm,1
2nKi8m3WX5sHSkD6QSSBn3,Calming Indian Sounds,india,calm,1
1Gtl8zcL1s3q27xauz8bQM,"YOGA YIN: calm instrumentals, ethnic & ambient",india,calm,1
36Cg0V4hcKQxEezayE61UL,Indian calming music,india,calm,1
6bCT9GTbwmEqibD3kbWAuu,Indian (calm),india,calm,1
3mJ7GvmTXm8GDNsO52vfrD,Calm Indian songs,india,calm,1
3i95xNsWs3TE4zKfOoGchd,Hindies,india,calm,1
3KmipzCNecGfgFmTFkQpbl,Eclectic // Contemporary Indian Fusion,india,calm,1
5Nk2Rr904BHGpeHt6U3omO,South indian  calm dumps,india,calm,1
477nLfUGXmkJF109DumnHR,Calm / Peaceful Native Indian Flute,india,calm,1
76S4IJ2T9xxiEil91kJpMa,calm indian flute,india,calm,1
41Y1XWGVP3uNyJ80CS3r0G,calm indian,india,calm,1
5s9kGXKmVRI5sfSGN2Bzvr,Indian Calm,india,calm,1
6FGBAeixkLjAgCUNNrqXQ1,calm indian ,india,calm,1
4b6TYPkIhFhfH4k0dE7pHm,Indian Calm ,india,calm,1
4qQ7Q9DyziDb4UPYZJM8zi,Calm Indian Songs,india,calm,1
2KoSEUKDYHp9wcfIeKjWvD,Calming (Indian) Music,india,calm,1
