Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
3EWMSneqMD1BzVETYGHUl5,CHECKMATE (R3HAB Remix),0.67,0.89,4,-4.809,0,0.0827,0.00282,0,0.0565,0.351,127.968,153164,4,0suJ5Nj0crad5tfsaerO55
0XaDQ4gCvmxyAimxZ7xQCh,友人說 (feat. 懷秋),0.718,0.9,0,-6.065,1,0.0333,0.311,0,0.316,0.592,119.98,251827,4,0suJ5Nj0crad5tfsaerO55
4P43fn9jjbuUtgoyptbH3U,聽,0.649,0.454,0,-8.671,1,0.167,0.182,0,0.557,0.653,87.955,212305,4,0suJ5Nj0crad5tfsaerO55
3IP4qSMfGeqI2XqHFf25sj,芒种,0.781,0.656,8,-5.862,1,0.031,0.723,0.0689,0.114,0.548,99.981,216000,4,0suJ5Nj0crad5tfsaerO55
0nzU0VZIIHRmT8c4TEJnsm,向上的光 (《中國YOUNG計劃》主題曲),0.754,0.728,4,-4.9,1,0.0392,0.236,0,0.0805,0.769,153.989,209895,4,0suJ5Nj0crad5tfsaerO55
0nbOTgBFuSJcYPZAaAvelc,卡路里 - 电影《西虹市首富》插曲,0.855,0.808,9,-4.552,0,0.0458,0.0189,0,0.162,0.793,132.003,232049,4,0suJ5Nj0crad5tfsaerO55
51oQ15yZzLuz0X0boSQonD,七爺,0.386,0.599,2,-3.964,0,0.0356,0.218,6.85e-05,0.128,0.0697,153.708,291093,4,0suJ5Nj0crad5tfsaerO55
292MbdlP44OKABV2XfBEo4,就我倆過吧,0.604,0.526,0,-3.805,0,0.0316,0.258,0,0.0929,0.233,87.98,202599,4,0suJ5Nj0crad5tfsaerO55
0dFF8aQCyKVvcWlb1GSlQq,不奇不怪,0.642,0.935,1,-2.891,0,0.0886,0.0041,0,0.134,0.638,125.974,197262,4,0suJ5Nj0crad5tfsaerO55
0rnp9DtTrqmlRMdDfIS9tF,最美的期待,0.661,0.627,0,-4.726,1,0.0286,0.29,0,0.0784,0.294,96.013,237937,4,0suJ5Nj0crad5tfsaerO55
4oUMFw04hCjstyCMmNcV31,穿越太平洋 - 浪花一朵朵插曲,0.657,0.699,9,-3.981,1,0.0401,0.195,0,0.0911,0.267,135.84,289600,4,0suJ5Nj0crad5tfsaerO55
2kmwkxaPjSwJ1fe7SFROTs,綠光,0.589,0.874,3,-4.971,1,0.0766,0.107,0,0.0978,0.417,106.017,190079,4,0suJ5Nj0crad5tfsaerO55
1tORJ4DaGX5TeLIzdd6EaL,"鲨影 - 电影""巨齿鲨""宣传曲",0.77,0.729,11,-5.688,0,0.0994,0.103,0,0.0786,0.656,100.01,197865,4,0suJ5Nj0crad5tfsaerO55
59ib0prmyoYoGLtVYT3w74,最燃的冒險 (電視劇《陪你到世界之巔》主題曲),0.658,0.851,11,-5.293,0,0.121,0.557,0,0.0817,0.479,101.998,252911,4,0suJ5Nj0crad5tfsaerO55
3i3WcLtWB23ix0M8cwabYe,破淚,0.573,0.848,1,-5.994,0,0.0726,0.0221,0,0.107,0.731,139.97,252767,4,0suJ5Nj0crad5tfsaerO55
1k3b05vObKMsnW2Zvz6AH7,愛你剛剛好 (電視劇《愛的3.14159》片頭曲),0.639,0.777,11,-4.59,1,0.0445,0.103,0,0.0904,0.816,111.971,202346,4,0suJ5Nj0crad5tfsaerO55
550cQuWOq0M8XupsvvnWMK,心光 (影視劇《下一站是幸福》主題曲),0.715,0.6,2,-5.32,1,0.0249,0.485,1.2e-05,0.291,0.47,95.014,232734,4,0suJ5Nj0crad5tfsaerO55
4m5hWhwxquaj0PdgnyMrkw,冠名幫兇(電視劇《國民老公》推廣曲),0.494,0.841,0,-3.927,1,0.115,0.553,4.68e-06,0.209,0.32,156.093,228693,4,0suJ5Nj0crad5tfsaerO55
6nMg8cyJykD4GJaJBmQJGJ,石榴裙,0.642,0.823,11,-4.863,0,0.107,0.13,0,0.106,0.553,147.93,186885,4,0suJ5Nj0crad5tfsaerO55
2dNPqzXfrItIQdQfQzXnjj,浮生,0.67,0.837,3,-6.15,0,0.044,0.0107,0.000151,0.0846,0.281,124.964,154426,4,0suJ5Nj0crad5tfsaerO55
38Hc5nyAwjlQqjr7CWstkF,不壞,0.784,0.797,7,-5.6,1,0.0571,0.0914,0,0.202,0.583,110.018,197213,4,0suJ5Nj0crad5tfsaerO55
29srLi5BKenO85G7TIJUOk,鬧(影視劇《民國少年偵探社》片頭曲),0.619,0.563,4,-11.987,0,0.0676,0.0411,0,0.15,0.301,199.996,201900,4,0suJ5Nj0crad5tfsaerO55
0CCuN8Uau4INnVimRf3hdF,劍心 - 電視劇《古劍奇譚》片頭曲,0.44,0.725,4,-6.5,0,0.034,0.043,0,0.373,0.324,78.021,252307,4,0suJ5Nj0crad5tfsaerO55
7rrU4JqmOKOUZCKX7io3BC,娛樂世代,0.536,0.669,7,-6.679,1,0.0389,0.442,0,0.116,0.408,81.969,278582,4,0suJ5Nj0crad5tfsaerO55
6wq8sZNlCHyfp0nJjJfds9,算了吧,0.495,0.864,2,-4.546,1,0.0512,0.00722,0,0.0963,0.198,170.084,248049,4,0suJ5Nj0crad5tfsaerO55
7JuQbDcZYnRdcN5ttEkaJz,壹,0.534,0.865,2,-5.272,0,0.0788,0.0575,0,0.0915,0.393,140.003,287250,4,0suJ5Nj0crad5tfsaerO55
5ysyX7DYRcPmlfMbAGz4KV,女孩,0.745,0.745,9,-4.613,0,0.0325,0.346,1.78e-05,0.127,0.744,125.021,196080,4,0suJ5Nj0crad5tfsaerO55
6rbPf2QuKyrxbIp7AsLMle,如此這般.這般如此,0.684,0.672,8,-6.128,1,0.0306,0.148,0,0.0916,0.764,91.974,241957,4,0suJ5Nj0crad5tfsaerO55
5Tvx4tj4V7Dagqay9jrz7Y,姿態,0.711,0.743,7,-4.952,1,0.0383,0.0695,0,0.361,0.437,104.966,233429,4,0suJ5Nj0crad5tfsaerO55
78tEwIqWxbmgcEjNXMjPqz,Always and Forever,0.627,0.811,8,-5.293,1,0.044,0.00356,0,0.144,0.493,119.965,199000,4,0suJ5Nj0crad5tfsaerO55
70FnypYijr9Imr9xBfuQqq,Drifter,0.703,0.693,7,-6.819,1,0.0426,0.0693,0,0.0959,0.772,99.953,187680,4,0suJ5Nj0crad5tfsaerO55
20Pof88mLDY1K7i7VLbENM,未尋,0.421,0.511,4,-8.492,1,0.0312,0.312,0,0.14,0.458,102.951,202441,4,0suJ5Nj0crad5tfsaerO55
67aw964gAzKwl5b8YcQiRK,谁赢,0.596,0.656,6,-8.814,0,0.0501,0.0442,6.4e-05,0.0899,0.321,139.906,210239,4,0suJ5Nj0crad5tfsaerO55
3gqwGXmqVOoKl7wqVMNJ7g,毒蘋果,0.677,0.742,7,-5.28,1,0.0265,0.00296,0,0.16,0.487,109.993,251272,4,0suJ5Nj0crad5tfsaerO55
0MwakDDtNpaMIOmhgvOjtR,於是,0.677,0.683,7,-7.378,0,0.044,0.0849,0.000403,0.242,0.772,96.002,229880,4,0suJ5Nj0crad5tfsaerO55
0L2qNNx0w6YD1ih3FObgqw,光年之外(熱愛版),0.817,0.898,1,-4.119,0,0.115,0.176,0,0.0613,0.825,90.023,217489,4,0suJ5Nj0crad5tfsaerO55
04F9ogoE7mShFurbvj9Y9U,Where Did U Go,0.606,0.829,0,-5.62,0,0.0868,0.456,0,0.0733,0.786,163.942,235813,4,0suJ5Nj0crad5tfsaerO55
6qT36YabmePSSGFZxoV4wq,一路逆風,0.308,0.484,5,-6.017,1,0.035,0.243,0,0.0706,0.349,187.676,225800,3,0suJ5Nj0crad5tfsaerO55
6yp9ViqjivA3YASaCOq9qv,盲點,0.468,0.567,0,-6.88,1,0.0306,0.0453,0,0.111,0.242,147.947,226813,4,0suJ5Nj0crad5tfsaerO55
3f7D4hlFcvAWCPilTOGJEy,睡皇后,0.716,0.523,7,-8.938,1,0.0286,0.222,9.71e-05,0.142,0.181,109.976,236462,4,0suJ5Nj0crad5tfsaerO55
3wnUWt53LD0ncLJv3RfYBT,多美麗,0.555,0.497,5,-9.096,0,0.0353,0.115,5.96e-06,0.0954,0.0523,97.994,221862,4,0suJ5Nj0crad5tfsaerO55
0b1IRPEXMukKXa4FdpbiGJ,另一個童話,0.692,0.624,7,-5.732,1,0.0268,0.133,0,0.092,0.184,110.009,183427,4,0suJ5Nj0crad5tfsaerO55
6vkny5qf1RBUBgl8TfyrY3,新的心跳,0.71,0.742,7,-5.643,1,0.0336,0.00311,0,0.336,0.448,120.046,217787,4,0suJ5Nj0crad5tfsaerO55
4BS6PFxtLxMwJB855VGDO7,摩天動物園,0.648,0.612,2,-8.166,1,0.189,0.0189,1.24e-06,0.0676,0.343,172.073,270677,4,0suJ5Nj0crad5tfsaerO55
5UAGQJmL7Rn4gn7wlkMyqS,再見,0.598,0.538,7,-6.712,1,0.0373,0.284,0,0.127,0.157,135.889,206053,4,0suJ5Nj0crad5tfsaerO55
0g2XnkKghVN22yze1gTJzl,來自天堂的魔鬼,0.595,0.7,7,-5.576,0,0.0301,0.0244,0,0.0876,0.302,135.993,245493,4,0suJ5Nj0crad5tfsaerO55
2kXnseAhkG50DAuk4tUHaD,何為永恆 (電視劇《倚天屠龍記》片尾曲),0.258,0.403,11,-9.651,0,0.0303,0.266,5.49e-05,0.178,0.183,152.778,251409,4,0suJ5Nj0crad5tfsaerO55
348rn28d5c99bmIzzYrfc1,一言為定,0.662,0.772,8,-5.115,1,0.0534,0.00302,0,0.0679,0.649,100.986,203333,4,0suJ5Nj0crad5tfsaerO55
3ibVEAN4ZTfmSRxR6SqmIs,陪你,0.741,0.855,11,-5.069,0,0.0319,0.0152,0,0.271,0.746,114.019,247240,4,0suJ5Nj0crad5tfsaerO55
3QsRdcdnbAOBzccbaos0tR,女孩,0.745,0.745,9,-4.612,0,0.0325,0.346,1.78e-05,0.127,0.744,125.02,196080,4,0suJ5Nj0crad5tfsaerO55
3HQxwik9bvFGqyHjnD2dCF,Time - Tiësto's Big Room Mix,0.693,0.925,9,-4.152,0,0.17,0.00162,0.0043,0.0521,0.131,130.009,214817,4,0suJ5Nj0crad5tfsaerO55
17nGlGRqEDGBNxF6rhBVmu,窗 (电视剧《扶摇》人物主题曲暨片尾曲),0.272,0.459,3,-6.913,0,0.0378,0.7,0,0.113,0.102,104.519,210429,4,0suJ5Nj0crad5tfsaerO55
