Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
70SyyW2Z1A5UNY3g8bPo5I,Truyen Thai Y (feat. Masew),0.872,0.745,8,-4.732,0,0.0429,0.538,0.000859,0.0757,0.667,122.054,181014,4,2ap3FVFMuwYFBuOM1codHo
7vJyCz6Q8AE13xfPo6iQAz,I'm Still Loving You,0.754,0.716,3,-3.02,0,0.0641,0.158,0.0002,0.156,0.602,105.017,200000,4,2ap3FVFMuwYFBuOM1codHo
7GxSshyjKx46dlIV2UoVrc,Anh Đếch Cần Gì Nhiều Ngoài Em,0.82,0.276,6,-9.715,0,0.0418,0.85,0,0.124,0.332,97.39,217134,3,2ap3FVFMuwYFBuOM1codHo
5mBWIm9EGnhZRYBYgAS72m,De Mi Noi Cho Ma Nghe,0.707,0.851,0,-3.684,1,0.0654,0.465,2.92e-06,0.138,0.738,155.966,193877,4,2ap3FVFMuwYFBuOM1codHo
2OZTkXYCNbZS9TwPRy52Js,Đi Đu Đưa Đi,0.815,0.645,5,-6.334,0,0.0507,0.107,0.00548,0.0953,0.683,118.024,220169,4,2ap3FVFMuwYFBuOM1codHo
1ZrADntHAYV84R2y1Op3Eg,Bùa Yêu,0.774,0.578,5,-6.227,0,0.0306,0.552,0.000434,0.0985,0.397,110.018,241650,3,2ap3FVFMuwYFBuOM1codHo
25edeHHueINMguqu9emCyV,Lối Nhỏ,0.765,0.476,4,-7.714,0,0.0304,0.84,0.00013,0.079,0.427,91.989,252953,4,2ap3FVFMuwYFBuOM1codHo
0f5yQttJS5nNxRAleF4kZO,Hãy Trao Cho Anh,0.715,0.724,3,-4.854,0,0.0425,0.0897,0.000269,0.157,0.818,96.014,245659,4,2ap3FVFMuwYFBuOM1codHo
5HbLlcJogki9rRq2KfkGQP,Nơi Này Có Anh,0.52,0.853,0,-5.249,1,0.0303,0.0446,0.000974,0.144,0.328,91.994,260117,4,2ap3FVFMuwYFBuOM1codHo
4yHdRaAAzoAmzC9pbrmiE1,Không Phải Dạng Vừa Đâu,0.71,0.809,1,-5.424,0,0.05,0.64,0.00254,0.0913,0.871,95.022,247635,4,2ap3FVFMuwYFBuOM1codHo
6BToHhGtbW8eMQFaEv0i2d,Như Ngày Hôm Qua,0.809,0.612,2,-7.904,1,0.0279,0.169,2.49e-06,0.0784,0.752,109.99,222981,4,2ap3FVFMuwYFBuOM1codHo
6mwLlebZwvlCewF06M16nu,Chúng Ta Không Thuộc Về Nhau,0.75,0.835,9,-4.698,0,0.0341,0.241,0.000209,0.153,0.487,102.992,233010,4,2ap3FVFMuwYFBuOM1codHo
4pWF7uyalOeveT6oansXmy,Lạc Trôi,0.639,0.873,9,-3.646,0,0.0399,0.331,0.0326,0.133,0.166,135.062,232889,4,2ap3FVFMuwYFBuOM1codHo
3um9XWTQKYoNUgwkywCRJ8,Sáng Mắt Chưa,0.79,0.55,10,-13.633,1,0.12,0.168,0,0.323,0.862,144.066,208118,4,2ap3FVFMuwYFBuOM1codHo
1kEBHXwbG62RWVhenXNaFH,Người Ta Có Thương Mình Đâu,0.502,0.221,6,-12.199,1,0.0385,0.846,0,0.0981,0.25,159.896,228122,3,2ap3FVFMuwYFBuOM1codHo
3OxzteADDv79dESfPexzxr,Bốn Chữ Lắm,0.697,0.463,5,-7.393,0,0.0331,0.541,0,0.416,0.363,109.996,257239,4,2ap3FVFMuwYFBuOM1codHo
4P4DRUd1sABLLWvzthCWjX,Thật Bất Ngờ,0.812,0.659,7,-8.055,0,0.0665,0.161,0,0.864,0.659,124.039,209862,4,2ap3FVFMuwYFBuOM1codHo
3dSjbBojNQDBQ1oFQ8N6Tj,Lớn Rồi Còn Khóc Nhè,0.848,0.4,5,-8.96,1,0.0576,0.812,7.63e-05,0.117,0.758,115.971,211082,4,2ap3FVFMuwYFBuOM1codHo
6v4VmNw4DFlbhuBQ1qFprN,Túy Âm,0.673,0.824,0,-5.764,0,0.0624,0.303,2.39e-05,0.642,0.314,148.915,202000,4,2ap3FVFMuwYFBuOM1codHo
0ZP4bO2ywAv44HiEzzHaq5,Ngày Mai Em Đi,0.716,0.549,0,-5.086,0,0.0304,0.507,1.56e-06,0.164,0.556,100.01,218400,4,2ap3FVFMuwYFBuOM1codHo
2NARD133RyXhJFMJIlgm7Y,Vai Lan Don Dua,0.724,0.668,6,-4.035,0,0.058,0.555,1.57e-06,0.194,0.427,135.046,170667,4,2ap3FVFMuwYFBuOM1codHo
5ZMDJIYgsZWHXw2ILFblva,Thu Cuối,0.443,0.717,0,-6.417,0,0.272,0.701,0,0.0855,0.649,75.96,294949,4,2ap3FVFMuwYFBuOM1codHo
5dZHey2U2xrNpvgyop8URS,Duyen Am,0.75,0.649,4,-5.15,1,0.0437,0.475,0.000382,0.19,0.402,99.997,179541,4,2ap3FVFMuwYFBuOM1codHo
7KTa3JeYTQufFPLAfMxezs,Forever Alone,0.76,0.729,9,-6.132,1,0.0291,0.504,1.39e-06,0.116,0.775,113.991,238811,4,2ap3FVFMuwYFBuOM1codHo
7opZZHYZXCWeVUGqVYux2o,Người Nào Đó,0.645,0.649,0,-6.309,1,0.0318,0.762,0,0.145,0.521,95.001,237611,4,2ap3FVFMuwYFBuOM1codHo
5EePq6tJ3jDIiJGifxPSyX,Ngọn Nến Trước Gió,0.722,0.574,5,-11.226,1,0.153,0.759,0,0.188,0.72,94.06,250514,4,2ap3FVFMuwYFBuOM1codHo
3ksHvU75aLBENx2ZmO49Jx,Anh Thanh Niên,0.816,0.521,1,-8.192,1,0.0684,0.486,0,0.0735,0.79,139.959,231437,4,2ap3FVFMuwYFBuOM1codHo
5KqJZ81DBLtm0mhzajMpb0,Sóng Gió,0.71,0.789,0,-5.563,1,0.0318,0.583,0,0.25,0.72,97.988,246301,4,2ap3FVFMuwYFBuOM1codHo
4eMvGEz25irv76TvMRfzGp,Chân Ái,0.616,0.518,9,-8.628,0,0.032,0.487,2.78e-05,0.453,0.569,113.952,262827,4,2ap3FVFMuwYFBuOM1codHo
0Ekfndt5fc7A4toIU87X0X,Ăn Sáng Nha - Original Version,0.838,0.771,9,-3.341,1,0.0365,0.347,0,0.0603,0.974,115.988,187241,4,2ap3FVFMuwYFBuOM1codHo
2UEMPLkYBXGkqdxzJHlNxh,Một Cú Lừa (Đu Đưa Version),0.651,0.709,2,-6.053,0,0.107,0.611,0.0249,0.115,0.325,114.988,224348,4,2ap3FVFMuwYFBuOM1codHo
5vFlFRtQE31wtUFl6lRWMJ,Nhớ Người Hay Nhớ,0.587,0.608,11,-6.956,1,0.0778,0.704,1.24e-05,0.346,0.188,159.819,254035,4,0BHHnjhBwx02jwGIMLUZV5
3wGx3gYPjECKZazGNuPEX2,Phải Chăng Em Đã Yêu?,0.69,0.615,3,-4.532,1,0.0327,0.409,1.25e-06,0.248,0.371,96.002,190000,4,0BHHnjhBwx02jwGIMLUZV5
1fh5Sf3fFESFOS8D82RQiI,từ thích thích thành thương thương,0.637,0.31,8,-11.232,1,0.0362,0.755,3.22e-06,0.0925,0.374,104.07,204231,4,0BHHnjhBwx02jwGIMLUZV5
2EMbVMhUtYNfuAhTi9HvBk,Lỡ Say Bye Là Bye,0.708,0.42,11,-9.624,1,0.0715,0.825,4.01e-06,0.0925,0.47,144.948,214948,4,0BHHnjhBwx02jwGIMLUZV5
6IAqflHsPVm4EpYghXauX7,Sinh Ra Đã Là Thứ Đối Lập Nhau,0.494,0.395,6,-8.653,1,0.0301,0.887,1.43e-05,0.058,0.179,141.464,234168,4,0BHHnjhBwx02jwGIMLUZV5
2f8Ew6sB7KHlTiH9NTLvVM,Tình Bạn Diệu Kỳ,0.809,0.692,1,-9.568,0,0.0473,0.182,0,0.104,0.392,135.012,188444,4,0BHHnjhBwx02jwGIMLUZV5
5zH2inEP6THOY8tomr3DdZ,Trên Tình Bạn Dưới Tình Yêu,0.776,0.921,2,-3.032,0,0.0382,0.189,0,0.0621,0.598,108.961,199266,4,0BHHnjhBwx02jwGIMLUZV5
