Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
2bZR37aAKkwZpBTPIXFjyz,現在開始,0.657,0.756,9,-6.253,1,0.0585,0.0931,0,0.288,0.684,105.041,256573,4,4TrSSYgDHY6T5zqwYY1MbP
3uMFMuGl6lFDoaTP9hfiX1,"Fly With Me - 三立偶像劇: 莫非,這就是愛情 片頭曲",0.72,0.617,4,-8.543,1,0.0274,0.398,0,0.0892,0.592,98.001,205424,4,4TrSSYgDHY6T5zqwYY1MbP
18sAGLtcv4bRvwUfmfM5o9,踮起腳尖愛,0.576,0.27,7,-10.597,1,0.0276,0.559,0,0.0841,0.291,134.266,283013,4,4TrSSYgDHY6T5zqwYY1MbP
7B5NsVZjY6zmql7Rm2htIR,Love More,0.548,0.731,1,-4.512,1,0.0292,0.0887,0,0.102,0.45,92.035,250893,4,4TrSSYgDHY6T5zqwYY1MbP
6yyRf1tdXOW6VxI2PaLRfX,念念 - 網劇《總裁在上我在下》主題曲,0.737,0.607,5,-5.752,1,0.0316,0.493,4.93e-06,0.104,0.346,124.029,255681,4,4TrSSYgDHY6T5zqwYY1MbP
1wN1xEtfWeFv3M4hcLCvFX,Darling,0.6,0.573,1,-6.124,1,0.0276,0.659,0,0.106,0.192,100.048,236360,4,4TrSSYgDHY6T5zqwYY1MbP
0n7Ij8XEDfYYFRgBQjNjnf,愛你,0.552,0.521,9,-6.721,1,0.0286,0.333,0,0.0901,0.142,144.027,207840,4,4TrSSYgDHY6T5zqwYY1MbP
19QLl1SmTmuuGDHCH1xEuP,很旅行的愛情,0.662,0.53,6,-8.698,1,0.0401,0.327,0,0.0943,0.313,130.019,251360,4,4TrSSYgDHY6T5zqwYY1MbP
2mjJn3jZaam3Z7qgtKMNrq,謝謝妳愛我,0.463,0.742,7,-5.108,1,0.0344,0.0078,4.97e-06,0.113,0.78,180.022,227333,4,4TrSSYgDHY6T5zqwYY1MbP
4qXEqMLJccyFMny6brZDet,怎麼還不愛(雀躍狂愛版) 三立偶像劇[料理高校生]片尾曲,0.498,0.819,7,-5.179,1,0.0373,0.228,0,0.1,0.363,145.899,247566,4,4TrSSYgDHY6T5zqwYY1MbP
74sYhnr7UQqjbncqznFtkI,你的愛是什麼形狀,0.718,0.531,2,-8.449,1,0.031,0.351,0,0.376,0.598,94.008,224995,4,4TrSSYgDHY6T5zqwYY1MbP
0URhffGYNnxzGNWCOXuyf3,What to do,0.73,0.728,5,-5.48,1,0.0418,0.232,0,0.105,0.695,92.985,207347,4,4TrSSYgDHY6T5zqwYY1MbP
1ivCIgrYZyE0BvItL4Z8lk,告白氣球,0.59,0.572,11,-7.658,1,0.0379,0.192,0,0.109,0.448,179.989,215147,4,4TrSSYgDHY6T5zqwYY1MbP
5joffYxedRAhVQ4saSZJ7S,為愛而愛,0.619,0.708,11,-6.826,1,0.0352,0.00958,0,0.0851,0.736,124.007,234819,4,4TrSSYgDHY6T5zqwYY1MbP
5Sse4ipXZV3QKGx3BLK6GV,920,0.638,0.71,7,-3.653,1,0.0391,0.131,0,0.102,0.681,83.0,286133,4,4TrSSYgDHY6T5zqwYY1MbP
643hRiTY9vzD6P0cWO8UP3,惡作劇,0.684,0.683,10,-6.374,1,0.028,0.581,9.52e-06,0.123,0.676,135.978,226773,4,4TrSSYgDHY6T5zqwYY1MbP
1k3b05vObKMsnW2Zvz6AH7,愛你剛剛好 (電視劇《愛的3.14159》片頭曲),0.639,0.777,11,-4.59,1,0.0445,0.103,0,0.0904,0.816,111.971,202346,4,4TrSSYgDHY6T5zqwYY1MbP
3Rhvb6qktfNcE8Dsy3WDk8,栽在你手裡,0.776,0.701,0,-5.02,1,0.0654,0.0396,0,0.0323,0.93,101.973,167022,4,4TrSSYgDHY6T5zqwYY1MbP
0Mj5jJPWwmGGJnzYYSDA35,Falling in Love - Chinese Version,0.654,0.972,2,-2.916,1,0.0554,0.162,0,0.0844,0.705,129.945,215987,4,4TrSSYgDHY6T5zqwYY1MbP
1KZ1jfDMlJipOHmmbvInKU,天生你對,0.734,0.854,0,-4.51,1,0.034,0.0629,0,0.636,0.606,103.016,195146,4,4TrSSYgDHY6T5zqwYY1MbP
