Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
140XpWSdJ0jZEbLj9iVnPA,The Best Days (feat. Tabitha),0.667,0.827,11,-5.631,1,0.0368,0.0863,0,0.0565,0.573,107.95,161944,4,37i9dQZF1DXdPec7aLTmlC
5K6Ssv4Z3zRvxt0P6EKUAP,Heartbreak Anthem (with David Guetta & Little Mix),0.595,0.784,1,-4.878,1,0.102,0.216,0,0.0608,0.479,124.111,183726,4,37i9dQZF1DXdPec7aLTmlC
0DmAvNCAK08oCi7miSZUIY,Lasting Lover,0.676,0.786,1,-4.529,1,0.0478,0.197,0,0.0943,0.483,125.983,218359,4,37i9dQZF1DXdPec7aLTmlC
75MNhvTCCKsST3YqqUiU9r,Shivers,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,207853,4,37i9dQZF1DXdPec7aLTmlC
7jqXDgGWkV4w2ctdb2g59o,At Least I Had Fun,0.794,0.706,5,-6.066,0,0.0382,0.198,0,0.0536,0.908,116.032,170614,4,37i9dQZF1DXdPec7aLTmlC
53kWAAfx7IopXRa31MQHB8,Good Vibes,0.558,0.877,10,-3.392,1,0.145,0.274,0,0.162,0.762,99.988,170280,4,37i9dQZF1DXdPec7aLTmlC
31qCy5ZaophVA81wtlwLc4,Anyone,0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884,190779,4,37i9dQZF1DXdPec7aLTmlC
5ri4zqtWhG07hIuNNDWP76,Fly Away,0.806,0.513,4,-6.208,1,0.0685,0.217,0,0.217,0.503,124.988,178157,4,37i9dQZF1DXdPec7aLTmlC
0z8hI3OPS8ADPWtoCjjLl6,Summer of Love (Shawn Mendes & Tainy),0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,184104,4,37i9dQZF1DXdPec7aLTmlC
2UbVnbE5FH6008mAm6Mmgw,Run,0.682,0.72,11,-8.173,0,0.0381,0.326,0,0.148,0.673,117.003,169011,4,37i9dQZF1DXdPec7aLTmlC
