Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
1gwO79MdYdumgIjxq8eCxB,Bahara,0.595,0.739,5,-6.733,1,0.0359,0.0716,6.98e-06,0.134,0.722,87.834,325707,4,78kBHYaQsF6zntWU9R6ziQ
3bZPdEskcnMdepwCaDSJRl,Bin Tere,0.585,0.698,9,-6.261,1,0.0392,0.42,3.59e-06,0.363,0.621,139.831,330360,4,78kBHYaQsF6zntWU9R6ziQ
6eTPyEkYUmDUFvNxJdNuOD,"Pani Da Rang Male (From ""Vicky Donor"")",0.679,0.622,4,-8.514,0,0.0328,0.272,6.52e-05,0.106,0.483,98.028,240787,4,78kBHYaQsF6zntWU9R6ziQ
2zZTXtLqCsICzEcztKjn47,"Tum Hi Ho Bandhu (From ""Cocktail"")",0.714,0.892,11,-5.342,0,0.0516,0.00145,0.000817,0.0462,0.899,134.997,282012,4,78kBHYaQsF6zntWU9R6ziQ
7ltsfuHdqTZ5LwPpDy1q0v,"Chaiyya Chaiyya (From ""Dil Se"")",0.786,0.579,2,-14.913,1,0.142,0.186,0,0.118,0.481,90.012,416613,4,78kBHYaQsF6zntWU9R6ziQ
1NxlktIRgiAPJ8U06v9veI,Dance Basanti,0.833,0.74,6,-4.513,0,0.129,0.166,2.74e-06,0.363,0.804,103.035,223992,4,78kBHYaQsF6zntWU9R6ziQ
1tlDOttHVIHtJKJazVz0Ho,Nagada Sang Dhol,0.743,0.921,3,-5.007,0,0.14,0.29,0.0068,0.0402,0.674,113.284,273256,3,78kBHYaQsF6zntWU9R6ziQ
0gRNu9dVzi5aC87AI1empZ,Jab Se Tere Naina,0.599,0.653,0,-7.576,0,0.122,0.362,0,0.144,0.678,79.968,284573,4,78kBHYaQsF6zntWU9R6ziQ
3fPgIknlkDWXs1l2noKZbp,Kar Gayi Chull,0.827,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99,187711,4,78kBHYaQsF6zntWU9R6ziQ
0495XdT8Vts83c6D62srGw,Bahara - Chill Version,0.657,0.685,11,-6.667,1,0.0797,0.363,0.00806,0.129,0.705,87.966,244800,4,78kBHYaQsF6zntWU9R6ziQ
5HJvDTnAaDWqhsE841I1QR,Kamariya,0.337,0.963,7,-2.93,1,0.296,0.284,0,0.281,0.405,62.481,251640,4,78kBHYaQsF6zntWU9R6ziQ
7hXnhouVPnOnFwCGrQMHvB,Cutiepie,0.799,0.929,0,-3.231,0,0.0668,0.253,0.000462,0.24,0.952,127.999,231562,4,78kBHYaQsF6zntWU9R6ziQ
7Dhy1R9NmD96wfr7VJEN37,Bom Diggy,0.793,0.777,4,-5.636,0,0.197,0.273,0,0.144,0.528,103.956,207692,4,78kBHYaQsF6zntWU9R6ziQ
45P9g6kUb7itdonjjGjDdS,Lamberghini,0.953,0.584,11,-7.57,1,0.0518,0.543,0,0.0786,0.861,104.007,216999,4,78kBHYaQsF6zntWU9R6ziQ
1HBGWNyoRJhxvsfO8LLFDo,Chogada,0.359,0.972,7,-3.452,1,0.109,0.136,2.52e-06,0.14,0.595,62.914,249742,4,78kBHYaQsF6zntWU9R6ziQ
4mQpBIJKBpd8lcrtZ73SP8,Let's Nacho,0.742,0.947,0,-3.749,1,0.0321,0.0906,0.0221,0.0721,0.88,130.043,215076,4,78kBHYaQsF6zntWU9R6ziQ
7BjQd0sfYsMGVrTpRdBNTT,The Breakup Song,0.818,0.93,11,-2.982,1,0.247,0.33,0,0.658,0.831,113.988,252632,4,78kBHYaQsF6zntWU9R6ziQ
1plFCZ6QFAjSRutT02GTCn,"Channa Mereya (From ""Ae Dil Hai Mushkil"")",0.476,0.788,9,-4.821,0,0.0448,0.24,2.64e-05,0.106,0.747,90.066,289333,4,78kBHYaQsF6zntWU9R6ziQ
1ozrNv9W4KlprAmvgH0Yrq,"High Rated Gabru (From ""Nawabzaade"")",0.685,0.841,2,-2.932,0,0.0942,0.118,0,0.26,0.59,97.929,179099,4,78kBHYaQsF6zntWU9R6ziQ
3jtKSUiVDowKNBqVQbWaig,Iktara,0.616,0.525,7,-7.065,1,0.0258,0.401,0.000484,0.309,0.427,79.976,253773,4,78kBHYaQsF6zntWU9R6ziQ
5upmbnXemLfPvs3d2eyHml,Sajdaa,0.468,0.737,8,-7.274,1,0.0765,0.726,0.00272,0.0655,0.572,79.448,365707,4,78kBHYaQsF6zntWU9R6ziQ
1hQia6rxgfM1ly2hE3StWp,Ishq Wala Love,0.711,0.295,0,-12.377,0,0.0334,0.534,4.51e-05,0.0782,0.694,135.041,257973,4,78kBHYaQsF6zntWU9R6ziQ
4BTPzhEsyW3blWcxcuhLM0,Mitwa,0.63,0.63,4,-7.525,1,0.0364,0.295,1.26e-05,0.0934,0.517,107.103,382973,4,78kBHYaQsF6zntWU9R6ziQ
3rsx3pDYM3a08O0Yu3Tq6V,Pretty Woman,0.677,0.942,11,-6.105,0,0.16,0.124,0.0132,0.0819,0.598,173.991,353880,4,78kBHYaQsF6zntWU9R6ziQ
44O26Gv1wQrlUj14PpTolM,"Halka Halka (From ""Fanney Khan"")",0.691,0.796,7,-4.778,1,0.0387,0.0495,0,0.333,0.541,127.985,247382,4,78kBHYaQsF6zntWU9R6ziQ
