Playlist-ID,Title,Language,Label,isTruthWorthy
1v2UeopNIrDe7oqTR1E0r3,Happy Indian music,india,happy,1
1kEgBkNLINldXXcUfH5DoB,Armaan Malik - All Songs,india,happy,1
4bLYHH2A8kb4mEYxiCXtzw,Happy House Party Vibes: Indian,india,happy,1
5sqDNwvgtrCA6VPWohydGE,Indian happy slow songs,india,happy,1
5uyd4doT1k8AqxSrUWM7Pj,Indian Happy Birthday,india,happy,1
5mL2ZMGY7LbsWi8vFlIlml,30 INDIA MANTRAS YOGA,india,happy,1
37i9dQZF1DX1HoONJoJCjL,Indie Summer,india,happy,1
5YWiQLLqGd2H3GXUHL0O2c,Hindi Running Motivation,india,happy,1
0onXIMrqPhWZSTp7C5QJHv,Happy India,india,happy,1
0Hmau3Adfu0zmccj4H1uTy,Happy indian songs,india,happy,1
6wi1ERQ2k9tOdRGHPuqqIv,TOP INDIE INDIA SONGS 2021 - NEW HINDI INDIE MUSIC.,india,happy,1
1wi8UwXtPkVmIZi7jTZXcM,Latest Indian & Happy Songs,india,happy,1
6sPYFcSwUHLWLdU8MiKbOZ,Happy Indian,india,happy,1
1rt1s39PTbAXU8nl8FujiW,Happy birthday Indian,india,happy,1
4ICX5dGzHqkJ4aKGaW92wY,DIWALI Party - Ultimate Hindi Songs for Diwali Season,india,happy,1
19Dnc3V3kwb6sXW7El2GOz,Happy Indian Songs,india,happy,1
1vGWVqZPrTmVSulGhKdimA,South indian maybe happy or sad,india,happy,1
0bWmVpv8J6PJnmYdaCjPkQ,Happy Metal🤘🏻,india,happy,1
3ICs0RQcW2dEvrwhryWhnP,Old Indian Happy,india,happy,1
5YytQCmJZ7791LwkgaI8Kc,Happy chill Indian ,india,happy,1
