Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
1ZaeaGLhFSckG8sv1y7AWk,Kya Baat Ay,0.849,0.592,6,-4.309,0,0.102,0.632,2.39e-06,0.108,0.652,89.966,179444,4,1v2UeopNIrDe7oqTR1E0r3
170bb45dHeLQdCZjAltIiB,Hornn Blow,0.723,0.698,0,-3.155,0,0.287,0.209,0.000795,0.0513,0.529,169.837,146431,4,1v2UeopNIrDe7oqTR1E0r3
0m1AmqYimWwPPEZqLwmUOV,Bentley,0.624,0.765,6,-3.113,0,0.108,0.181,0,0.349,0.269,176.153,155636,4,1v2UeopNIrDe7oqTR1E0r3
480GXuZbzx6zJBvKo8jUti,G Wagon (feat. Deep Jandu & Gurlez Akhtar),0.684,0.933,11,-1.73,0,0.255,0.209,0,0.689,0.789,92.161,213420,4,1v2UeopNIrDe7oqTR1E0r3
1W1dS4VnIrYnllQJ3CAcZy,So High,0.538,0.763,11,-6.346,0,0.205,0.0152,0,0.109,0.484,180.002,218667,4,1v2UeopNIrDe7oqTR1E0r3
2KWI5MLES99EhQbxMvOyNp,My Girl,0.798,0.799,7,-3.982,1,0.0819,0.13,0,0.065,0.367,98.006,204000,4,1v2UeopNIrDe7oqTR1E0r3
1xGBpcotgon52WUkypYEQu,2 Seater,0.812,0.897,11,-2.989,0,0.0615,0.106,0,0.145,0.707,91.967,212635,4,1v2UeopNIrDe7oqTR1E0r3
18jwFuhkfmTNCchaDcgMg0,Kainthewala,0.879,0.718,11,-5.797,0,0.228,0.0959,7.01e-05,0.42,0.7,98.02,232803,4,1v2UeopNIrDe7oqTR1E0r3
3Msow4k7E5PTqygCJ6MIsl,"Phullan Di Vel (From ""Golak Bugni Bank Te Batua"" Soundtrack)",0.763,0.776,6,-8.203,1,0.178,0.415,0.0108,0.107,0.77,110.997,182703,4,1v2UeopNIrDe7oqTR1E0r3
3JKcyR4HcTH4jFp5NMZhDb,"Guddiyan Patole (From ""Guddiyan Patole"" Soundtrack)",0.623,0.808,4,-3.933,0,0.0841,0.0496,0,0.328,0.48,167.999,212321,4,1v2UeopNIrDe7oqTR1E0r3
5JnUSz67PetTb8sLXNRnMT,Yaar Bolda,0.565,0.811,6,-4.871,0,0.0641,0.0319,0,0.13,0.397,167.714,243874,4,1v2UeopNIrDe7oqTR1E0r3
1NMmjhjac99EhLpNKmXqno,"Khyaal (From ""Bhajjo Veero Ve"" Soundtrack)",0.638,0.804,9,-4.553,1,0.0553,0.196,0,0.263,0.727,78.989,193689,3,1v2UeopNIrDe7oqTR1E0r3
5kl9GaHyI35Hr62DuSxbk5,Zikr Tera,0.618,0.541,7,-5.591,0,0.0396,0.224,0,0.115,0.0703,135.906,295800,4,1v2UeopNIrDe7oqTR1E0r3
44WDASAi1fyDCslC62yR08,Lalariya,0.678,0.661,6,-6.173,1,0.0584,0.309,0,0.164,0.828,81.022,259413,4,1v2UeopNIrDe7oqTR1E0r3
1eHXvnPPl58Nhsm25q2Am5,Jaanu,0.899,0.566,5,-7.887,1,0.0373,0.186,0,0.147,0.853,112.996,253016,4,1v2UeopNIrDe7oqTR1E0r3
2Wu9PNpLUCBl3W1GaPqkhl,"Morni Banke (From ""Badhaai Ho"")",0.816,0.922,11,-2.963,0,0.149,0.178,0,0.373,0.887,95.006,198026,4,1v2UeopNIrDe7oqTR1E0r3
5bjfbVGRF3jmJIBfHMyDAr,Saade Aala,0.608,0.907,0,-3.035,0,0.151,0.14,0,0.27,0.691,172.05,270850,4,1v2UeopNIrDe7oqTR1E0r3
1EdWgSIoTCYLc389J4f3Vq,Vibe,0.711,0.527,1,-7.073,0,0.186,0.0486,0,0.193,0.384,86.014,193588,4,1v2UeopNIrDe7oqTR1E0r3
45P9g6kUb7itdonjjGjDdS,Lamberghini,0.953,0.584,11,-7.57,1,0.0518,0.543,0,0.0786,0.861,104.007,216999,4,1v2UeopNIrDe7oqTR1E0r3
1c4bo88YxT1GkHEx5OosCj,Shaukeen Jatt,0.683,0.792,0,-4.132,1,0.0886,0.436,3.76e-06,0.0624,0.748,166.005,190573,4,1v2UeopNIrDe7oqTR1E0r3
