Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
01bfGEk9QAfTky6HqqpWR9,Я люблю тебя,0.839,0.508,0,-6.219,1,0.0502,0.69,0,0.112,0.335,117.971,203261,4,1qcLVwn35IPFqbWFC4e5st
3CcpSrT63w2ITlAHfNMiYV,Не Ангел,0.631,0.639,0,-8.199,0,0.506,0.68,0,0.064,0.363,113.0,208378,5,1qcLVwn35IPFqbWFC4e5st
47RyOrXqLydmsPrsVU7nTw,Колыбельная,0.764,0.506,0,-7.636,0,0.0547,0.839,0.0018,0.11,0.221,147.949,233398,4,1qcLVwn35IPFqbWFC4e5st
2iNKt6yQcfxcMuOMxnWynQ,Унесённые ветрами,0.688,0.627,7,-7.718,1,0.078,0.0888,0.000598,0.0959,0.124,161.954,252037,4,1qcLVwn35IPFqbWFC4e5st
0Y84vLtyOj2demvSdJ2l7N,Пачка сигарет,0.72,0.501,0,-10.369,1,0.246,0.654,2.64e-06,0.106,0.65,153.945,168375,4,1qcLVwn35IPFqbWFC4e5st
5vsXtB67Zc2Hd5cTUXOLWq,Utopia,0.547,0.794,7,-7.332,0,0.322,0.443,1.71e-05,0.144,0.404,150.005,209281,4,1qcLVwn35IPFqbWFC4e5st
0hUVCJMlArzvS1avvH1vhz,Бонни,0.577,0.754,8,-7.286,1,0.098,0.356,0,0.214,0.514,140.023,213390,4,1qcLVwn35IPFqbWFC4e5st
5BFADKJgtL2eZ4XZJq8zEc,Пьяный дождь,0.704,0.332,9,-8.24,1,0.0525,0.578,0,0.101,0.352,91.091,195533,4,1qcLVwn35IPFqbWFC4e5st
3ESTYhbrWn5Mw9tK6UDN9J,Корабли,0.787,0.457,8,-7.633,1,0.0507,0.673,0,0.0962,0.292,80.023,175622,4,1qcLVwn35IPFqbWFC4e5st
7xDG0n0W0AV7oryFZes8rF,я люблю тебя давно,0.693,0.397,3,-8.726,0,0.0307,0.857,0.000235,0.133,0.379,103.991,214431,4,1qcLVwn35IPFqbWFC4e5st
7qQ6u1BXb0lys5vuVZkj2h,Там ревели горы,0.559,0.84,7,-5.799,1,0.174,0.349,0,0.217,0.716,76.831,176875,4,1qcLVwn35IPFqbWFC4e5st
1DNfspfRRy59nYnxAVeqK0,Между Нами,0.738,0.478,6,-9.421,1,0.094,0.571,0,0.199,0.345,125.95,255805,4,1qcLVwn35IPFqbWFC4e5st
02ovSpsK9C4DioTccbNOim,Санавабич,0.65,0.7,10,-6.966,1,0.298,0.424,0,0.109,0.49,145.814,185706,4,1qcLVwn35IPFqbWFC4e5st
5ofIdbUtHdsoh8TRUNYUKj,закат и рассвет,0.573,0.215,9,-11.335,0,0.0301,0.921,7.77e-05,0.136,0.146,74.959,188616,4,1qcLVwn35IPFqbWFC4e5st
4DbGntPVyXDvu9vFCYQCcW,Влюбился в неё,0.803,0.463,9,-10.207,0,0.185,0.18,2.25e-05,0.109,0.258,142.055,236603,4,1qcLVwn35IPFqbWFC4e5st
2DFfaWbJhxtoG4EjdeADh2,Sorry,0.556,0.551,2,-8.597,1,0.245,0.754,0,0.0915,0.12,76.031,194126,4,1qcLVwn35IPFqbWFC4e5st
