Playlist-ID,Title,Language,Label,isTruthWorthy
2AAe1rBd3YcRQ2JBmQLx3v,Calming Chinese Music,chinese,calm,1
1wPEEYTQKN95q3sytXZfde,Chinese Calming music,chinese,calm,1
0EtNeNXfEtvitNlkEYTlMo,Chinese calming instrumental,chinese,calm,1
3KKn2y6j5TbuelDeiVKf6G,Chinese Study Playlist ,chinese,calm,1
1lfnX3HrsWjUnYT0jAfjPG,Sleepy Traditional Japanese Playlist (& Chinese!),chinese,calm,1
0mi6PMtJtPYcYGC8XfcJQx,"Qi Gong Music 气功 / 氣功 - Shaolin, Training, Zen, Tai Chi, Meditation, Massage, Chinese & Asian Music",chinese,calm,1
4oI7JaxBEqG5IkacTXnIQY,Calm Chinese songs ,chinese,calm,1
7goEpwNEhl05W3KvNAnrHl,Calm Chinese Instrumental ,chinese,calm,1
6hMqI3rc1zLMjzQ6wMyPxc,Calm Chinese Traditional,chinese,calm,1
4OpjgFJo3hx4axXeZQBuf8,calm chinese songs,chinese,calm,1
0DBASEHROYYBhzdcjUYxhs,Asian Lofi Chill,chinese,calm,1
2BMiNJYnKvngLh28JdsYBW,Calm Chinese,chinese,calm,1
2HUh9Mp1zgyi99DkGtVKrs,To calm-Chinese,chinese,calm,1
6ekYLQPZJ0iLuEbRMc90VG,Calming Chinese Songs,chinese,calm,1
2JCd4gTMifhHfimDEw6Xlk,calming Chinese music ,chinese,calm,1
6xyZyMUYdsMCQlNhjwlbIx,Chill Calm Chinese Songs,chinese,calm,1
7v3oOPjutzwaHwgR4aqpeB,Calm Chinese,chinese,calm,1
0Qyk9qGwmJoLzoNnlZ2XPm,Calming Traditional Chinese Music,chinese,calm,1
4wLsOJYPFVFr6Y7NTVVgIb,Chinese Music - Calming,chinese,calm,1
5B8ar8IFGsVolc0Zh0Nlvu,Chinese calming flute music,chinese,calm,1
2BSaBLKl5GpPP02Ws6gjQa,chinese calmo,chinese,calm,1
2kwKXZ1Nh3aCrGTuZMewLG,"Chinese Traditional Music with Guzheng, Pipa, Dizi, Erhu for Meditation and Relaxing",chinese,calm,1
7b942xT2Kxyfnbk9YbkWMd,calm chinese,chinese,calm,1
0K85hhwUX1isR88ByQJcI4,Chinese calming song,chinese,calm,1
7ssTfk4r7ZPfr8tNgx157X,chinese café ,chinese,calm,1
02ERsPPCUhqA31bVOV3zss,Chinese songs ,chinese,calm,1
25eFopZW7rMwcXdF39Z9YU,"Children Mindfulness Universe – Chinese Zen for Kids - Be Calm and Focused, Breath Meditation, Chinese Relax Music, Mindfulness Exercises",chinese,calm,1
3qVuTpD99bRmX2Mu1XpoV7,Chinese traditional calm,chinese,calm,1
7B7O0vO64QXVazfDgfjI1X,calm chinese ,chinese,calm,1
1OggiqmOGGs7oRBvgjIUI3,Traditional Chinese Music,chinese,calm,1
0TS691rIzbJJqsWM87uMZq,Chinese Wet Spot,chinese,calm,1
6bHHhgGT1LP80zJbiZhGYP,Calm Chinese Songs,chinese,calm,1
6ZRPVoksiVSqMqIOkxpSOM,"Chinese Music to study, calm and soft (Traditional)",chinese,calm,1
7uJXtT9bqQd6hInfsjF8Mt,Chinese Dynasty Traditional ,chinese,calm,1
3F7HR4XQ0QAax1swJhOw8M,安安静静丧丧,chinese,calm,1
55suQSAZgAU4RyBW5C5TK2,Beautiful Chinese Instrumental,chinese,calm,1
15CiOckseUCPW1q2Xbr6p0,Chinese calming music,chinese,calm,1
71oA0zGIywm302qVostc9H,•Calm Music•,chinese,calm,1
6D2obTbsSMYdVxpcZ6xBLX,Chinese Calming Music,chinese,calm,1
1NP1ho1PI6hhCp6BDpjWv0,calm chinese,chinese,calm,1
552RBkhKT9NyS1W6KG3K2n,"""Calm"" Chinese Songs",chinese,calm,1
4CSpmwIyp0vt7dWRP2YBA7,Calm chinese,chinese,calm,1
2tv5yHToboppIFyVuTVDi7,Chinese Calm,chinese,calm,1
1nCCFdxyewg2R8vZHGIijH,Chinese Calm,chinese,calm,1
0XJjLkgUKNZzfP8H9pv0gr,Fav foreign songs,chinese,calm,1
2qMbsNSG12erwhIGyJ5F7a,Calm chinese songs 💓,chinese,calm,1
6HqsdQ9m4zCzxc2eNcE7Fy,Calm Chinese songs,chinese,calm,1
6qoDcFvfHGJ1vFxsY46lLP,Asian Lofi Hip Hop / Chillhop,chinese,calm,1
09oJohkndzyPts4cmv5uEg,chinese songs to calm my soul,chinese,calm,1
07QMDCUO5AdQGdjgXQkVkU,Chinese Songs,chinese,calm,1
