Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
0Qfrmx8rMewotAbH69uR4K,Imperial Dynasty,0.776,0.198,9,-14.505,0,0.0439,0.975,0.833,0.097,0.485,112.006,268125,4,2AAe1rBd3YcRQ2JBmQLx3v
5FUAu2NLLtqoNdpGHIBiJb,Lotus Pool,0.354,0.488,3,-9.382,0,0.0313,0.789,0.583,0.126,0.401,95.034,292421,4,2AAe1rBd3YcRQ2JBmQLx3v
7zSIosG5xekfMLGsxgIFgg,Heart Of Asia,0.59,0.392,0,-9.407,0,0.0327,0.142,0.366,0.148,0.0725,129.892,131077,4,2AAe1rBd3YcRQ2JBmQLx3v
6NTfUTrXfg3Ad8Gpm3eo4h,Floating Islands,0.413,0.144,0,-16.891,1,0.0442,0.983,0.382,0.086,0.235,77.096,191688,4,2AAe1rBd3YcRQ2JBmQLx3v
17S6XcL75krVArQAkIhqhC,Bamboo Woods,0.122,0.198,4,-15.857,1,0.0353,0.869,0.398,0.14,0.11,175.622,200114,4,2AAe1rBd3YcRQ2JBmQLx3v
6E4ml3qAA7byT2kMiO2wSJ,Rice Valley,0.403,0.293,5,-14.137,1,0.034,0.91,0.919,0.168,0.335,167.917,208571,4,2AAe1rBd3YcRQ2JBmQLx3v
0Wi9AWkGKaeYqdetPSP0xm,Jade Princess,0.194,0.227,7,-15.086,1,0.0368,0.934,0.427,0.136,0.169,170.992,237177,4,2AAe1rBd3YcRQ2JBmQLx3v
1x6GYGwI8P2zCJuAjyGg7Y,Koi Pond,0.484,0.169,0,-19.141,1,0.0363,0.983,0.309,0.0887,0.168,94.991,204000,4,2AAe1rBd3YcRQ2JBmQLx3v
4A5twKwx7P9rRXamqJiQCW,Silent Moon,0.181,0.361,7,-10.975,0,0.0334,0.725,0.373,0.113,0.12,136.869,267987,4,2AAe1rBd3YcRQ2JBmQLx3v
2WdIVUzDxGxTYXGHzylFXy,Moonlight,0.247,0.178,7,-12.634,0,0.0309,0.976,0.89,0.126,0.135,77.731,247827,4,2AAe1rBd3YcRQ2JBmQLx3v
5tcRgmNDfJeFe05gHFZo1c,Orchid,0.361,0.315,0,-10.343,1,0.0337,0.937,0.885,0.117,0.0816,135.214,225293,4,2AAe1rBd3YcRQ2JBmQLx3v
0Bt0mHvTFnw0C4nofH5z5z,Chinese Lantern,0.428,0.262,11,-11.193,0,0.0402,0.804,0.155,0.111,0.385,80.052,91493,4,2AAe1rBd3YcRQ2JBmQLx3v
0ObiQtZy7OEpyZTveAI8wJ,"Suiren (A Water Lily) - From ""Faraway...""",0.185,0.333,7,-8.391,0,0.0321,0.923,0.611,0.0953,0.247,83.724,324800,4,2AAe1rBd3YcRQ2JBmQLx3v
5200HMLHwY5Ej2rLgYoxqx,"Tenrosei (Sirius) - From ""Faraway...""",0.277,0.356,4,-9.318,1,0.0304,0.763,0.0132,0.184,0.0788,81.761,291547,3,2AAe1rBd3YcRQ2JBmQLx3v
0mzjqpWYvFxqhlrxw2LmlB,Lotus Out of Water,0.639,0.0904,2,-18.303,1,0.103,0.985,0.855,0.116,0.386,153.398,269867,4,2AAe1rBd3YcRQ2JBmQLx3v
1gfeiZQyEszO67FFf8jaD6,Rainbow,0.11,0.267,2,-10.603,1,0.0382,0.752,0.00861,0.0809,0.0485,172.274,257627,5,2AAe1rBd3YcRQ2JBmQLx3v
4BMFw7jUI6y5hqnSySf64Y,Erhu's Dream,0.482,0.26,8,-15.736,1,0.0644,0.97,0.915,0.0895,0.143,135.687,336773,4,2AAe1rBd3YcRQ2JBmQLx3v
4Wzen3ohhyH6wBS6I8kfrl,Pearls Dropping onto the Jade Plate,0.429,0.234,2,-13.052,1,0.0423,0.967,0.921,0.146,0.271,102.8,204120,4,2AAe1rBd3YcRQ2JBmQLx3v
09qxq47u5ieUKSdwxn0rHX,The Song Of The Four Seasons,0.22,0.295,7,-12.448,1,0.0379,0.173,0,0.186,0.249,111.171,281533,4,2AAe1rBd3YcRQ2JBmQLx3v
0S9Y0Yz7U6wrH4qHrnKiDX,Night Song,0.241,0.202,7,-14.331,1,0.0362,0.898,0.514,0.298,0.218,67.742,240493,4,2AAe1rBd3YcRQ2JBmQLx3v
502zLLF8xOqLVmTKvosbpT,Chinese Wuhan Erhu,0.549,0.109,0,-15.588,1,0.132,0.957,0.964,0.114,0.213,117.826,90783,4,1wPEEYTQKN95q3sytXZfde
0mzjqpWYvFxqhlrxw2LmlB,Lotus Out of Water,0.639,0.0904,2,-18.303,1,0.103,0.985,0.855,0.116,0.386,153.398,269867,4,1wPEEYTQKN95q3sytXZfde
7jEGrMRL1SAJeBh5s9XuC5,Leaves of Autumn,0.344,0.174,9,-14.19,0,0.0387,0.945,0.865,0.114,0.0955,136.563,210333,3,1wPEEYTQKN95q3sytXZfde
0S9Y0Yz7U6wrH4qHrnKiDX,Night Song,0.241,0.202,7,-14.331,1,0.0362,0.898,0.514,0.298,0.218,67.742,240493,4,1wPEEYTQKN95q3sytXZfde
3RB4IPHmWh1Qn3akNuCQN1,The Fisherman's Song at Dusk,0.556,0.06,9,-19.392,1,0.0914,0.988,0.858,0.061,0.197,89.724,265827,4,1wPEEYTQKN95q3sytXZfde
6nOBRJwRQJt2AmWLFU9aL2,Water in the North,0.218,0.0346,4,-24.49,0,0.0459,0.853,0.241,0.0857,0.173,96.639,430893,4,1wPEEYTQKN95q3sytXZfde
4Wzen3ohhyH6wBS6I8kfrl,Pearls Dropping onto the Jade Plate,0.429,0.234,2,-13.052,1,0.0423,0.967,0.921,0.146,0.271,102.8,204120,4,1wPEEYTQKN95q3sytXZfde
7vZCViayCZr9sDFJbg5xh5,Wild Rose,0.574,0.316,7,-11.43,1,0.0317,0.706,0.094,0.132,0.197,116.015,279760,3,1wPEEYTQKN95q3sytXZfde
0ObiQtZy7OEpyZTveAI8wJ,"Suiren (A Water Lily) - From ""Faraway...""",0.185,0.333,7,-8.391,0,0.0321,0.923,0.611,0.0953,0.247,83.724,324800,4,0EtNeNXfEtvitNlkEYTlMo
2vN9jt7bweiKIzvSyvf3Oa,Bokyo (Harukana Tabi/Distant Travels) - From Tv Sound Track - Nhk Special,0.162,0.254,9,-10.285,0,0.0348,0.801,0.646,0.316,0.13,78.028,125733,4,0EtNeNXfEtvitNlkEYTlMo
0nBtJgPIurkDuahCLgJgQJ,Sirius,0.236,0.382,4,-9.287,1,0.0316,0.745,0.016,0.0783,0.0765,80.813,291467,3,0EtNeNXfEtvitNlkEYTlMo
480pmWjsYe3fvTbWTmRHWJ,Xinglin Hupan,0.306,0.277,7,-10.688,1,0.0317,0.944,0.237,0.123,0.0776,71.794,342600,4,0EtNeNXfEtvitNlkEYTlMo
64n2WWg8PDr3Mm7QLhOuND,Erquan Yingyue,0.179,0.256,9,-9.754,1,0.0426,0.934,0.0578,0.0888,0.134,82.442,333693,4,0EtNeNXfEtvitNlkEYTlMo
39shUKmZdFcTkj7M3Pl5tB,Cherry Blossoms,0.314,0.267,0,-11.511,0,0.0354,0.822,0.000111,0.111,0.072,120.266,316200,3,0EtNeNXfEtvitNlkEYTlMo
3TMZTqmWdnadUMM8929U66,In Full Bloom,0.211,0.274,9,-9.943,1,0.0331,0.956,0.0569,0.126,0.157,140.716,309013,4,0EtNeNXfEtvitNlkEYTlMo
3ww4a6zGb1y4LsCjSdqkAY,Silent Moon,0.184,0.346,7,-11.45,0,0.0333,0.803,0.49,0.112,0.126,135.568,266360,4,0EtNeNXfEtvitNlkEYTlMo
4c01SeUGKCzMbRH36vHSv4,Daybreak,0.194,0.378,0,-10.126,1,0.0354,0.821,0.00474,0.194,0.158,47.309,204560,4,0EtNeNXfEtvitNlkEYTlMo
