Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
3WiissyVFRpCVrqbyPKZxZ,Kaleidoscope,0.366,0.0161,5,-27.355,1,0.0632,0.992,0.951,0.11,0.171,49.668,121068,4,37i9dQZF1DWTC99MCpbjP8
3y4t41pbQBDpmD60HdCMRN,Hideaway,0.46,0.0691,8,-26.602,1,0.0354,0.986,0.93,0.105,0.37,116.615,159500,3,37i9dQZF1DWTC99MCpbjP8
46yWOqnL99hM5O7OD0Y8Tf,Mother May I,0.414,0.0903,4,-17.557,1,0.0383,0.991,0.93,0.105,0.0863,113.389,154500,4,37i9dQZF1DWTC99MCpbjP8
2iVPty0FBstGSURghngIgo,Can´t Help Smiling,0.293,0.0383,0,-32.528,1,0.0338,0.979,0.893,0.108,0.109,97.153,164000,3,37i9dQZF1DWTC99MCpbjP8
59qHsSncWfBdugXAp2E5AH,I Wrote You A Song,0.347,0.0183,3,-27.986,1,0.0428,0.962,0.933,0.104,0.0731,71.763,183055,3,37i9dQZF1DWTC99MCpbjP8
3fQkbH0ruZuTFHcvuejlZh,Waves,0.465,0.0655,5,-30.723,1,0.0699,0.975,0.898,0.104,0.054,59.008,184250,3,37i9dQZF1DWTC99MCpbjP8
18XP8nye1mCv2oIpljKfZe,Megaclite,0.221,0.0755,0,-27.125,1,0.0366,0.992,0.924,0.11,0.273,158.791,146864,4,37i9dQZF1DWTC99MCpbjP8
6vkmvL8i9sfIHoAlzJcfAO,Pour toujours,0.227,0.0643,0,-29.419,1,0.0461,0.994,0.915,0.104,0.31,165.015,144576,4,37i9dQZF1DWTC99MCpbjP8
1rHBp9J1NvnLW7nk2Xi4Zy,New Dawn,0.37,0.0122,8,-28.003,0,0.0349,0.989,0.927,0.0942,0.215,70.854,174000,4,37i9dQZF1DWTC99MCpbjP8
1nxWCkjlOdwRwyROs99UNv,Fiorire,0.326,0.058,3,-26.438,1,0.037,0.991,0.946,0.107,0.179,94.49,177000,3,37i9dQZF1DWTC99MCpbjP8
7tVXn05UnymHBVTXISx3sv,Notes in the Stars,0.419,0.00546,2,-22.497,1,0.0524,0.969,0.956,0.107,0.15,70.361,181814,4,37i9dQZF1DWTC99MCpbjP8
