Playlist-ID,Title,Language,Label,isTruthWorthy
6RlH1VaZPUctlDzWWPM1df,calm french songs,french,calm,1
0baWSPBYRBKCb1eQuZNm8j,calm french music,french,calm,1
1JRHrFRPA7paE2Vi2SFYt2,Calming French Songs,french,calm,1
0WThPVlUdk7RroGgOZTGiT,Calm French Music,french,calm,1
2APKlQI3djv4PwLfpd6JrR,French Breakfast Café,french,calm,1
5iNYMsQRK3nLQGfzlxhWuZ,French Cafe,french,calm,1
7f4HLMJhwQgMcxCRlF9iuC,Calming French Music,french,calm,1
1V1abxZHXirrUJmpQPBsgr,french music. ,french,calm,1
2lIR7D35E0MIQrQiNFJMUi,pretty french songs <33,french,calm,1
2a7xgdeQb4Pft7OYqOcFUi," ✨old/French love songs, Harry Potter, piano music, and indie/alt calming music✨",french,calm,1
2i5JHalBOolotQnt232VsI,french calm,french,calm,1
4sSiEnyeIBIgOowxSo4z2e,calming french songs.,french,calm,1
7fyiKkt5PuOBGT4JpSelnV,Studying in a French Cafe ,french,calm,1
1mM8O0StyTML8bI8ZnzaoP,calm french bitches,french,calm,1
5ZOr4rQJOSTk8pO7eUEGDT,Classroom French Music,french,calm,1
5RaYLH8tADJJ6qI5uHKc4Y,frenchy calm,french,calm,1
1tWJZ3qUvA4rH9B49M2KKQ,Calm french/English songs,french,calm,1
5xsSIAiMxgMGFD0rYzzHEJ,calming french,french,calm,1
0vMCh4TsxBZ7em2VpNsyU2,French & calm,french,calm,1
1TJqNibY0gI98nV8QoicuJ,French calm music,french,calm,1
0xPXHW0pX9Z9wchRqGnnU3,Calming French music ,french,calm,1
2SKCoJbpLr1IwLGJdDMKnK,French rap Calm,french,calm,1
4H3HkfVJtWPB7nvwgdQrpw,Calming French music,french,calm,1
5jJvs8OBEp2vNJWBaEuWBy,calm sunday morning music,french,calm,1
6kK9q62bMQWavER2E03DGb,calming french music ,french,calm,1
6PhSX7vsDu8leAxXRnDAo6,calm french,french,calm,1
6juB9YCr6dmB44VgFYV7K8,Calming French Songs,french,calm,1
6jBiQIgSnuXXQh9iJn69zj,some french music.,french,calm,1
3gihHCOhwTZ8mqnJxEvrbQ,French calm rap,french,calm,1
6t0vVSGeCNnIgzkNFIyZ6A,CALM & COOL FRENCH,french,calm,1
2HttoSMXWTRm7okom4mnHQ,french + rap + calm,french,calm,1
74hgHXVh3XTcWamPCm8hSD,Calm French,french,calm,1
3ehYxMEGCJF76ddsUD9AxY,Calming french,french,calm,1
4ykq2tnwPaK83Y4zgYARS8,calm evening in my dream house,french,calm,1
2givH5KFoLjU6PHSvN7azX,Electro calme - French Touch,french,calm,1
2jhV8eyh18QT5ULLlBdIdK,Calm French 😇,french,calm,1
5vLrWFmn2TX6pxzBNufnhP,Old French calm,french,calm,1
564Nbj2hX0pLmLefkwL6nL,Calme French ,french,calm,1
4CnYks3bE2bj0Z14g7TyLB,french calma,french,calm,1
55pp0ItETSRQ4ioIrVGWKf,あつまれどうぶつの森 Animal Crossing New Horizons,french,calm,1
4FhpSZdZexxD3UkGepwT1i,Slightly calming songs for bus rides,french,calm,1
35LFYoDoTskVxgxLait2kP,Calm - Rap Francophone × French Rap,french,calm,1
5bEDKjys5WLFewHYor2P14,Calming French Music,french,calm,1
4c8EUPRWj5SpAyW6qP7UOj,calming french baguette,french,calm,1
2Lgg1JztsHS3uACuiLEGBk,Calm French,french,calm,1
1IiD6hCh5AylZeuDvMVWrE,French calm,french,calm,1
5ADKOnplGDXRVDADPwWx8I,Calme toi et écoute ça! 🇫🇷🇧🇪,french,calm,1
0KwLH3ZovmXmPguB8eNEdh,Calm Parisian Mornings,french,calm,1
1lqioFwQXMeQg6VYyVaMFC,Fransızca Şarkılar - French Songs | Pariste.Net,french,calm,1
2NCFcUHpYjCciqvhyADKbE,French calm 🥺,french,calm,1
