Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
0ivWGqNxTY7KECBcB2bLOo,Dreamcatcher,0.528,0.274,7,-12.052,1,0.0729,0.379,0.54,0.142,0.0486,129.982,460226,4,3C7FXzgUwDq7hY68lW5B2d
4wiIuwsuopxoTRTu0GnuAN,Sky Kisses Earth,0.52,0.602,8,-7.963,0,0.0371,0.452,0.0035,0.223,0.269,139.475,811024,4,3C7FXzgUwDq7hY68lW5B2d
0TxmxoCQMiXvfFA6DPM1wT,Shiva's Meditation,0.287,0.0523,1,-18.847,0,0.0329,0.989,0.836,0.0632,0.0794,80.044,309013,4,3C7FXzgUwDq7hY68lW5B2d
0tLVcEUbDmr9eRsVHtyuRl,Khumjung,0.141,0.0829,7,-16.424,1,0.0401,0.953,0.945,0.11,0.0273,100.912,931787,3,3C7FXzgUwDq7hY68lW5B2d
0oTwS9yuzgzbeQfK3LKZGT,Carriage,0.158,0.0428,10,-20.368,1,0.037,0.976,0.935,0.0756,0.0378,89.792,126173,3,3C7FXzgUwDq7hY68lW5B2d
3uHdKaAsG53vKxp5hKYxYU,Calm,0.527,0.523,3,-11.451,0,0.0871,0.11,0.597,0.162,0.456,159.878,312400,4,3C7FXzgUwDq7hY68lW5B2d
4r27eF4FfznWVWWW82tlmx,Charming the Serpent,0.654,0.689,7,-9.09,1,0.0346,0.0682,0.861,0.187,0.569,103.983,240493,4,3C7FXzgUwDq7hY68lW5B2d
4ZZAT9aNVgFXCYlF0iSygB,The Orange Terrace,0.401,0.446,2,-13.157,0,0.0434,0.525,0.926,0.103,0.0692,90.002,373293,4,3C7FXzgUwDq7hY68lW5B2d
4XSm0cKtGXnFYBhuO1w07x,A New Day - Pitch Black Remix,0.625,0.47,10,-10.353,1,0.0276,0.0332,0.653,0.11,0.209,156.013,709373,4,3C7FXzgUwDq7hY68lW5B2d
3p9hzlhLsBvoQ0SDQO832z,Being With You,0.599,0.466,7,-9.721,0,0.0298,0.881,0.782,0.113,0.131,97.94,424107,4,3C7FXzgUwDq7hY68lW5B2d
