Playlist-ID,Title,Language,Label,isTruthWorthy
2IJIz1nWV5MpPsxqdHTg7e,Calm russian vibe,russian,calm,1
6C0TXQcFQlP7SvUL8aqokI,"Gypsy Guitar - Spanish Guitar ( Flamenco ), Russian Gypsy, Roma Melodies.",russian,calm,1
7uw5ohiIRp8JsoKXJARA5C,Russian Calm-Mood,russian,calm,1
3pKz8vaugjfZOd83oalZoZ,Calm russian music,russian,calm,1
35jEhoP4pjirQ4Xjq3rwqo,Calm Russian,russian,calm,1
30TJNT5AembTHrP1YDlhbt,calm russian music,russian,calm,1
7jXGt7RdTbCZVSlrTHb3X4,Russian calm 😌💕,russian,calm,1
557vHXA6wm2CorimteSczz,Calming russian stuff,russian,calm,1
6WHhOfv49UFPZcUV52UBiX,calm russian,russian,calm,1
3fDKNPwGF1RIa0o19kG525,Russian,russian,calm,1
0MkajG8z1Z6TMXomXv2hSB,Calm down and cry...,russian,calm,1
5Quin4gwlAlHCzhszRXnyG,Russian hits,russian,calm,1
5lr6B8PArRfSILackRHNaP,calm russian songs,russian,calm,1
2Ackdo3xDEOTddXm6Fbiu0,calm russian,russian,calm,1
7uenHgM4ny35d30YcveB2a,Read book with Russian songs,russian,calm,1
5oAgVTrPqi03yTVILOxJOS,in my feels but make it russian,russian,calm,1
0jlU8e1VDOTWqgFRSnUBsx,Calm Russian,russian,calm,1
4Uwhx42GOozqvUzSbdqni7,Russian calm,russian,calm,1
6PS4XWqTPn74EjOsXm1gg6,Russian Acoustic Songs,russian,calm,1
0QUDF08KKZnz0omQDfCOer,Russian,russian,calm,1
5hmxGVyY9taK32dcbVCyG3,feel calm russian,russian,calm,1
7gXHK8DZ1loxy3Vd17koJd,Calm Russian,russian,calm,1
59PzozU5RdxScSGAJCaWWw,Calm Russian songs,russian,calm,1
563oy3RnsTs1EDM3i6Mjdl,CALM RUSSIAN VIBE,russian,calm,1
7KWqaX8V3LkWrYjqs2a306,Russian Calm,russian,calm,1
3TkNgGqAtrFyBlvDS7Axyk,"floating, sinking",russian,calm,1
7keb8vMrWWXCUA6TmRXQff,Calm Russian Music,russian,calm,1
1P2cnOCxXsNoSN6VUNoZK6,Russian calm,russian,calm,1
2Ym69WhX3WPB8DFc3ECb3k,Apocalypse Radio,russian,calm,1
0kmqWmRsFFYUuePwc0DPnW,Russian indie for спокойной ночи,russian,calm,1
05X0pRMM7esGTcShges1m2,cold calm russian vibes,russian,calm,1
6ICogIQM8jJs5j951QXiR5,Sigma,russian,calm,1
6b4fWxeKih21IcPXRuuERT,From Russia With Love,russian,calm,1
6sWgxPIbGewu05SUhlCxF9,Russian calm indie and other,russian,calm,1
28itMLLexxUbdb2mS5jAsS,Russian Chill Mix/Русский Спокойный Микс,russian,calm,1
