Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
76Ef208V2nkxvbvs7pzKdA,On s'aimera toujours,0.564,0.739,4,-7.219,0,0.0346,0.0192,0,0.321,0.695,120.025,208253,4,27Btp6siG2Icz9As9YsxwO
0DeAfjxXBBBexsjQyLSzlv,Malade,0.687,0.868,9,-5.892,0,0.0645,0.392,0,0.0952,0.511,93.889,173733,4,27Btp6siG2Icz9As9YsxwO
0n9eeQnvzmMcq0l4DeGWQH,Respire encore,0.626,0.769,11,-6.167,0,0.05,0.306,1.73e-06,0.111,0.579,115.981,227333,4,27Btp6siG2Icz9As9YsxwO
0H9Bj7W9jMMtmy1sy2ur4L,L'Indien,0.736,0.489,0,-8.257,1,0.0353,0.196,0.00385,0.127,0.34,129.997,211573,4,27Btp6siG2Icz9As9YsxwO
5mQFAjq6NwYUf8oyEj8fcZ,Hiroshima,0.672,0.719,10,-7.078,0,0.0335,0.571,8.74e-06,0.117,0.294,99.971,199760,4,27Btp6siG2Icz9As9YsxwO
0qFtiaYDCd988LdWYQGqYv,Maman m'a dit,0.618,0.461,10,-9.83,0,0.148,0.834,0.0124,0.0878,0.504,173.947,157267,4,27Btp6siG2Icz9As9YsxwO
5HLFigrYkYzSqjTpu3dxJy,J'ai choisi,0.652,0.694,7,-8.729,0,0.0296,0.227,0.548,0.159,0.446,131.994,236083,4,27Btp6siG2Icz9As9YsxwO
2wnSV5bkZCL7otSQCnjjtG,J't'emmène au vent,0.768,0.641,5,-5.284,0,0.0946,0.068,0,0.122,0.303,117.851,148213,4,27Btp6siG2Icz9As9YsxwO
5CDAE7eQri0r39WCFavhRr,Amour Fou,0.912,0.639,1,-7.315,0,0.0507,0.487,0.00483,0.143,0.647,120.019,174066,4,27Btp6siG2Icz9As9YsxwO
3OwQzjEIWQTLuWuf7XCR5n,Ne reste pas de glace,0.823,0.578,6,-7.814,0,0.0389,0.0141,0,0.108,0.919,120.034,176462,4,27Btp6siG2Icz9As9YsxwO
7zNcnu47gqGsRa6nuxnMuY,Le Chant des Feuillants,0.531,0.529,1,-7.645,0,0.031,0.669,0,0.106,0.255,105.041,197545,3,27Btp6siG2Icz9As9YsxwO
6wPcKSsYnLvivkceGheQYn,Le con qui s'adore (feat. Bel) [Radio edit],0.833,0.731,10,-7.152,0,0.0687,0.0685,1.21e-05,0.207,0.596,100.007,187651,4,27Btp6siG2Icz9As9YsxwO
3Ha1oqdeoewR3t5yg3Nkiq,Les incertains anonymes,0.771,0.494,11,-8.808,0,0.276,0.311,0.000614,0.109,0.417,95.99,145302,4,27Btp6siG2Icz9As9YsxwO
5TDCRN75Sr2suNe8KbNmAy,Fête grise,0.691,0.452,8,-11.403,1,0.109,0.554,2.68e-05,0.15,0.523,82.98,219107,4,27Btp6siG2Icz9As9YsxwO
6D0SQvPk6YyRJUUvppx5X1,Trop vite - Version single,0.696,0.727,6,-6.049,0,0.0555,0.0777,7.54e-06,0.105,0.192,115.919,202107,4,27Btp6siG2Icz9As9YsxwO
7xcBqYe8VQiKIZMjw6fDVa,Sous les pavés,0.759,0.676,0,-6.117,0,0.0431,0.0244,0,0.067,0.693,117.025,200973,4,27Btp6siG2Icz9As9YsxwO
6wqv1yeDe2wlPmQEM5ZCYb,Gisèle,0.762,0.481,5,-11.057,0,0.234,0.519,0.0154,0.124,0.317,108.989,196162,4,27Btp6siG2Icz9As9YsxwO
4hErUfUbYjv3gFH0aC7FQV,Lola à l'eau,0.774,0.69,1,-5.667,1,0.0383,0.0191,0.238,0.0651,0.931,116.001,210787,4,27Btp6siG2Icz9As9YsxwO
5RiRpx9c3WfQjSrM0PQ85h,Dis-moi qui tu es,0.622,0.506,6,-7.298,0,0.053,0.367,0,0.111,0.271,97.965,192209,4,27Btp6siG2Icz9As9YsxwO
2kUXqI4t2eLYqCh7Z8guP1,Jusqu'au bout,0.701,0.696,10,-5.795,0,0.0953,0.192,1.35e-06,0.0942,0.68,117.977,176043,4,27Btp6siG2Icz9As9YsxwO
44W3PGV0HOeAGBkxwPc98S,Donne-moi ton cœur,0.69,0.695,8,-7.036,0,0.165,0.601,0.0078,0.106,0.293,95.065,189870,4,27Btp6siG2Icz9As9YsxwO
1JfVQICpWIppzU2xX2OYlY,T'aimerais que ce soit vrai,0.75,0.579,4,-8.457,0,0.109,0.3,0.198,0.0832,0.603,119.995,159413,4,27Btp6siG2Icz9As9YsxwO
1Kf6lFeOpwBy3TPHXkIpSp,Fortune,0.535,0.197,9,-14.152,0,0.048,0.925,0.176,0.0995,0.0789,120.642,172533,4,27Btp6siG2Icz9As9YsxwO
7llncGoKNVtPHHI2JHJEcx,Encore,0.865,0.584,11,-6.889,0,0.0891,0.341,3.45e-05,0.0851,0.52,93.48,182721,4,27Btp6siG2Icz9As9YsxwO
2gYpEoW6Zwp6kQL44S9otE,Nothing Breaks Like a Heart,0.392,0.521,9,-9.023,0,0.054,0.839,6.4e-06,0.101,0.258,109.52,216000,4,27Btp6siG2Icz9As9YsxwO
1VjAH3cm6flXOmkObt10Hx,Jeunes et cons,0.568,0.635,9,-6.274,0,0.0259,0.558,0,0.0785,0.287,87.017,289986,4,27Btp6siG2Icz9As9YsxwO
7rBP4bLjMLNkix1nGHjheP,Oui ou non,0.649,0.574,2,-7.856,1,0.143,0.635,1.28e-05,0.161,0.361,199.906,196800,4,27Btp6siG2Icz9As9YsxwO
5wTDnHOvbtgcMwWds3jKTc,En stop,0.682,0.801,8,-6.845,0,0.172,0.164,0,0.297,0.473,125.111,200605,4,27Btp6siG2Icz9As9YsxwO
3x8kNTxkzMdE6eAA6ins2p,Et toi mon amour,0.794,0.733,11,-4.677,1,0.127,0.359,0,0.134,0.632,104.935,214293,4,27Btp6siG2Icz9As9YsxwO
0SHRekj0SeERM0SRdnxxq3,Flying Kisses,0.604,0.622,1,-6.949,1,0.0335,0.00188,0.000146,0.357,0.26,105.035,165714,4,27Btp6siG2Icz9As9YsxwO
1QWZf8FNTGcdMezkmY8yge,I Say Love,0.831,0.655,2,-8.047,1,0.0342,0.19,3.98e-05,0.316,0.715,112.029,164330,4,27Btp6siG2Icz9As9YsxwO
