Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
1nsnkW4L9tN1k7xHpAu8P3,Габион,0.621,0.508,9,-9.085,1,0.0745,0.0697,6.6e-06,0.0931,0.194,87.041,187346,4,2oFbtsCzBb4cY5Jh1dvkYF
7cGBgwJlYNzWKeIkdLDwvz,Парабола,0.932,0.34,5,-8.999,1,0.118,0.342,1.67e-05,0.125,0.538,114.04,200000,4,2oFbtsCzBb4cY5Jh1dvkYF
5Gl0P9S9sqXAUMS1HuGazd,Ну здравствуй,0.631,0.644,0,-6.004,1,0.195,0.633,0,0.0622,0.739,76.184,169554,4,2oFbtsCzBb4cY5Jh1dvkYF
5lO7K0u36TI6CPqSf5suRT,Пропорция уязвимости (6 раунд 17ib),0.443,0.694,1,-6.227,1,0.339,0.121,0,0.386,0.477,59.336,172381,4,2oFbtsCzBb4cY5Jh1dvkYF
3Ac2aaNKcyzTqC3NKrauks,Стыцамэн,0.779,0.795,1,-2.45,0,0.0605,0.127,0.0012,0.151,0.872,115.027,232569,4,2oFbtsCzBb4cY5Jh1dvkYF
5RbKo28n1cIRZbHDtD77qO,Кричу,0.729,0.863,9,-5.005,0,0.0924,0.25,0,0.37,0.766,129.995,164900,4,2oFbtsCzBb4cY5Jh1dvkYF
04hrsz4upf6HWLItviCXdb,Улыбка,0.767,0.911,7,-5.068,1,0.0791,0.456,0,0.0639,0.82,82.016,184390,4,2oFbtsCzBb4cY5Jh1dvkYF
2ZAPeNrovElhm7xH0u6Ff6,Stand Up,0.557,0.722,9,-6.255,1,0.387,0.133,0.000934,0.0774,0.79,203.85,212987,4,2oFbtsCzBb4cY5Jh1dvkYF
1AC2EZQ4EOzPiDponJAvMh,Джадуа,0.891,0.62,11,-6.821,0,0.0835,0.0184,0.61,0.0975,0.239,110.008,248000,4,2oFbtsCzBb4cY5Jh1dvkYF
3HrMt11pSH2FvYdGiSGMeO,Цирк (Суд Идет),0.841,0.524,9,-9.272,1,0.0565,0.0231,0.0788,0.0589,0.818,159.999,168137,4,2oFbtsCzBb4cY5Jh1dvkYF
1VtiEiBQ75VxDf7k7Np5sT,В открытый космос,0.776,0.537,9,-5.964,0,0.0582,0.393,8.66e-05,0.0999,0.618,140.002,169714,4,2oFbtsCzBb4cY5Jh1dvkYF
01gNwr7sXhb5r6e8JztxYR,До Луны (feat. Roma Bestseller),0.763,0.879,6,-3.445,0,0.181,0.407,2.76e-06,0.121,0.741,125.041,217987,4,2oFbtsCzBb4cY5Jh1dvkYF
4KrhaZm4JRkNO4HRdLvJIG,Моя голова винтом (My head is spinning like a screw),0.833,0.748,1,-5.963,1,0.229,0.0331,1.44e-06,0.0728,0.484,119.925,140000,4,2oFbtsCzBb4cY5Jh1dvkYF
2PnlXmjQjGNgiwa2JNbMNZ,Не со мной,0.744,0.66,8,-8.891,1,0.0737,0.144,0,0.409,0.733,99.051,204848,4,2oFbtsCzBb4cY5Jh1dvkYF
2zTX4uzUgdfZhOm9t3ItO4,Осень,0.731,0.687,4,-9.647,0,0.132,0.175,0,0.353,0.783,82.048,214187,4,2oFbtsCzBb4cY5Jh1dvkYF
5ohP7Jinkhq58D1Mkp38qZ,Когда мы были молодыми,0.682,0.955,5,-4.063,0,0.0471,0.0942,0.186,0.303,0.575,129.99,273093,4,2oFbtsCzBb4cY5Jh1dvkYF
7iyh3YbkjeK1fCaAI0kArK,Стильный бит,0.842,0.728,4,-5.836,0,0.23,0.627,0,0.306,0.824,130.078,185942,4,2oFbtsCzBb4cY5Jh1dvkYF
1SHB1hp6267UK9bJQUxYvO,Судно (Борис Рижий),0.484,0.75,1,-4.176,1,0.0685,0.697,0.862,0.105,0.467,159.992,141395,4,2oFbtsCzBb4cY5Jh1dvkYF
17uK8pQDXKMMY0UqBcIpOs,Никогда,0.678,0.623,5,-10.043,0,0.0526,0.167,0.00433,0.158,0.285,138.03,213043,4,2oFbtsCzBb4cY5Jh1dvkYF
7vRx8tkcoReLVcpF9RPSmP,Ты мой океан,0.883,0.72,6,-4.328,0,0.0866,0.0235,0,0.19,0.723,105.02,109298,4,2oFbtsCzBb4cY5Jh1dvkYF
2DYzsMQpO7xOw7b3JwyIWP,Кукла колдуна,0.386,0.796,2,-4.76,0,0.0413,0.0259,0,0.124,0.635,148.6,202040,4,2oFbtsCzBb4cY5Jh1dvkYF
1aAcW69jxv3pp3I84oZGqP,Дурак и молния,0.434,0.744,1,-9.449,0,0.194,0.111,0,0.342,0.668,178.879,114334,3,2oFbtsCzBb4cY5Jh1dvkYF
03ImE6cx15LcO2l3r9kakU,Задыхаюсь,0.758,0.829,5,-5.575,1,0.0365,0.175,0,0.0669,0.665,116.003,213733,4,2oFbtsCzBb4cY5Jh1dvkYF
7biChppM3c8q7qcVl7ceb2,ЛАБИРИНТ,0.866,0.722,4,-6.497,0,0.143,0.213,0,0.183,0.912,137.969,169130,4,2oFbtsCzBb4cY5Jh1dvkYF
72rLPsFoaXXOD5hTadVG6S,БЕЙБИ ЛЁД,0.952,0.57,0,-4.579,1,0.165,0.00238,0,0.191,0.258,132.0,96610,4,2oFbtsCzBb4cY5Jh1dvkYF
0FxRpwVddLszcDxovkC3eh,Я ЛЮБЛЮ,0.798,0.737,11,-2.322,0,0.188,0.00699,0.000435,0.0883,0.396,136.096,123529,4,2oFbtsCzBb4cY5Jh1dvkYF
1zE2dRkxtOLEOubAmqcHX3,Первый раз - remix nevroz,0.755,0.635,4,-8.777,0,0.103,0.573,0.814,0.133,0.353,145.024,69531,3,2oFbtsCzBb4cY5Jh1dvkYF
3vvmbAAGAbNhLTM5h6vPvN,Пряталась в ванной,0.629,0.662,5,-5.682,0,0.0375,0.19,0,0.114,0.36,139.942,190286,4,2oFbtsCzBb4cY5Jh1dvkYF
1Kp89aagCg01cQCCiIl5tq,Сучка,0.612,0.824,11,-5.477,0,0.0828,0.164,0,0.1,0.581,118.025,194735,4,2oFbtsCzBb4cY5Jh1dvkYF
5ittErz1AnFtXabaMGZ9ib,Иностранец,0.31,0.902,11,-8.245,0,0.142,0.252,5.04e-06,0.0984,0.518,95.044,246133,4,2oFbtsCzBb4cY5Jh1dvkYF
7vBW7vVdCDxFa0UeVPM549,Научиться бы не париться,0.732,0.713,7,-11.621,1,0.0552,0.0608,0,0.223,0.918,100.019,208065,4,2oFbtsCzBb4cY5Jh1dvkYF
3858LZVkoxKeKelqBGHB6K,Без даты,0.549,0.788,6,-5.425,0,0.202,0.00186,0.000462,0.315,0.482,101.017,209580,4,2oFbtsCzBb4cY5Jh1dvkYF
4OumQOFpb3qtpPnd4PS6IR,140,0.643,0.845,2,-4.347,0,0.058,0.295,0.00144,0.325,0.529,125.007,217920,4,2oFbtsCzBb4cY5Jh1dvkYF
0JDJvFnkUjkPZGetvlWXaH,Мама (Woodstock Mix),0.654,0.882,4,-3.008,1,0.0512,0.236,4.77e-05,0.143,0.718,94.013,277623,4,2oFbtsCzBb4cY5Jh1dvkYF
4tP3JZw4NcKQJitu7F3SCa,Динозаврики,0.562,0.875,4,-4.879,0,0.037,0.0049,0,0.0928,0.674,124.938,224854,4,2oFbtsCzBb4cY5Jh1dvkYF
2Db7e6H4R5XXnyuTtxUggp,ДУЛО,0.821,0.579,2,-6.705,1,0.119,0.114,0,0.105,0.363,144.943,126265,4,2oFbtsCzBb4cY5Jh1dvkYF
1ddlk3zS7NFwiAHXhrBt5O,НЕ ДАЮ,0.644,0.739,1,-6.069,1,0.0472,0.0236,0,0.37,0.529,160.118,188228,4,2oFbtsCzBb4cY5Jh1dvkYF
4HBZlDcXrlUnGYJHMCZSI7,Формалин,0.198,0.585,2,-6.525,0,0.0378,0.271,0.00759,0.203,0.262,175.527,245055,3,2oFbtsCzBb4cY5Jh1dvkYF
1oVdQRWnIaiauyJW2vhldx,Cadillac Club Remix (by Skazka Music),0.944,0.562,7,-6.074,1,0.0513,0.00705,0.0504,0.113,0.698,110.021,192000,4,2oFbtsCzBb4cY5Jh1dvkYF
1B6Yjsta9ZVC6ESTxYJBcc,Красным мелом,0.851,0.783,0,-6.34,1,0.069,0.0704,0.000345,0.14,0.515,135.962,151765,4,2oFbtsCzBb4cY5Jh1dvkYF
4yMhLAJUo5iZ1SHg7XE7Lo,Мур-мур-мур,0.864,0.793,1,-6.075,1,0.113,0.00432,0.00921,0.0484,0.795,141.963,141756,4,2oFbtsCzBb4cY5Jh1dvkYF
2bqS0QtnXGjOYs3z6VtSyW,Контракт,0.682,0.806,0,-6.184,1,0.0418,0.000461,0,0.217,0.872,109.972,204756,4,2oFbtsCzBb4cY5Jh1dvkYF
5VXf1XETOMtk0WZIT4Bw3M,Батареи,0.569,0.736,1,-10.934,0,0.141,0.0978,0,0.443,0.749,149.997,193253,4,2oFbtsCzBb4cY5Jh1dvkYF
1GqGwyBaJCjPO8vOwkZp25,Ты будешь гореть в аду,0.494,0.677,9,-3.802,0,0.135,0.0306,0,0.135,0.532,80.003,244663,4,2oFbtsCzBb4cY5Jh1dvkYF
3mzd5DSPaPHyK4hqUYIW4o,Беспечный рыцарь тьмы,0.66,0.818,8,-6.743,1,0.0248,9.9e-05,0.000908,0.125,0.426,135.012,233828,4,2oFbtsCzBb4cY5Jh1dvkYF
59vIllaE2ottAAAtAiAuLt,Яд,0.547,0.599,0,-6.345,1,0.0428,0.034,0.0091,0.116,0.207,75.022,216834,4,2oFbtsCzBb4cY5Jh1dvkYF
351A9rCLE5Tzl0RubMxtkG,Dominicana,0.849,0.451,0,-7.351,0,0.0953,0.424,0.026,0.125,0.623,98.043,180741,4,2oFbtsCzBb4cY5Jh1dvkYF
5XIQxHGp9glGY6LRKl0qth,На твиче,0.831,0.641,4,-6.644,0,0.0432,0.146,4.82e-06,0.246,0.624,110.046,174545,4,2oFbtsCzBb4cY5Jh1dvkYF
6VRdPW2Y7g7LufDPRXmbhr,В новых адиках,0.891,0.627,7,-5.988,1,0.143,0.0614,0.00128,0.138,0.519,159.998,154000,4,2oFbtsCzBb4cY5Jh1dvkYF
571md1FedFYFaYUMUktYaF,ЮМОРИСТ - Original Motion Picture Soundtrack,0.842,0.7,9,-7.567,1,0.294,0.058,7.54e-06,0.48,0.846,153.969,143377,4,2oFbtsCzBb4cY5Jh1dvkYF
0yPQB0dC23cqu9isXsIV1l,Бесприданница,0.855,0.841,9,-6.613,0,0.0366,0.396,0.0015,0.584,0.838,130.011,180923,4,2oFbtsCzBb4cY5Jh1dvkYF
1tzTlRMcw9xDqrNRzj3H2g,Мальчик на девятке,0.745,0.861,9,-6.807,0,0.0356,0.00718,0.111,0.387,0.749,137.031,215474,4,2oFbtsCzBb4cY5Jh1dvkYF
2TojxdP1mDTjZmkKGxmzTz,Всё в порядке,0.774,0.925,0,-6.568,1,0.0744,0.00123,0.00703,0.0618,0.82,155.007,154894,4,2oFbtsCzBb4cY5Jh1dvkYF
4gcLWdAU3b2DLhvFNee5kf,Плохо танцевать,0.795,0.912,6,-3.486,0,0.0847,0.0307,5.8e-06,0.14,0.844,115.041,203062,4,2oFbtsCzBb4cY5Jh1dvkYF
7B7mDryqKB7vZW29koEWXA,Мокрая,0.832,0.71,10,-8.281,0,0.092,0.114,4.33e-05,0.0972,0.718,124.001,236021,4,2oFbtsCzBb4cY5Jh1dvkYF
6BRWhFOlm3XUXI2NGkiDlp,Влюбилась в друга,0.665,0.668,6,-5.055,0,0.05,0.434,0,0.18,0.505,95.009,96000,4,2oFbtsCzBb4cY5Jh1dvkYF
5wpQBHcu2lNrhKwBzChNgP,Номера,0.538,0.51,0,-6.524,1,0.0422,0.402,0,0.325,0.315,139.806,239622,4,2oFbtsCzBb4cY5Jh1dvkYF
1Z5wAKpgGW7qoB0EnSH0Yh,Не моё,0.857,0.673,11,-7.159,0,0.104,0.703,2.92e-06,0.17,0.878,139.991,182784,4,17lho4EZEzBjF48tdX166M
5GgEisg5lbayLGdj1dJAWh,Не сегодня,0.672,0.519,1,-6.204,1,0.141,0.437,0,0.136,0.196,177.742,121348,4,17lho4EZEzBjF48tdX166M
0aEmq4fbvRvqUwDLvQ1thW,Не просто,0.764,0.449,11,-6.214,1,0.377,0.272,0.000981,0.126,0.439,84.952,135529,4,17lho4EZEzBjF48tdX166M
5rd18MIRiNRBiORrnsCjRq,Распиздяй,0.591,0.808,6,-5.275,1,0.193,0.0149,0.00378,0.0996,0.647,83.884,268571,4,17lho4EZEzBjF48tdX166M
5z9jERyPQ6bTja5pMnsbqh,Что если бросить тебя?,0.889,0.819,10,-4.877,0,0.0484,0.0318,1.38e-05,0.134,0.658,115.016,195788,4,17lho4EZEzBjF48tdX166M
4kAxdSrryyQhLzzDf686eq,Аромат,0.602,0.606,6,-6.199,1,0.0889,0.162,0,0.0954,0.527,150.136,150400,4,17lho4EZEzBjF48tdX166M
43OZ1fJwFUPN3D8RgK1ry7,Провинция,0.725,0.431,10,-11.79,1,0.421,0.353,0,0.0866,0.47,85.998,170435,4,17lho4EZEzBjF48tdX166M
6lHszA1UBRnASw3ZoXsBWd,Плановая,0.612,0.536,5,-5.857,0,0.0314,0.508,2.62e-06,0.12,0.545,84.988,236000,4,17lho4EZEzBjF48tdX166M
5g0FPqMPAIepBDNgwLqqFJ,Ты чёртова злодейка,0.836,0.455,10,-9.511,0,0.301,0.153,0,0.106,0.257,139.947,180284,4,17lho4EZEzBjF48tdX166M
2Z0OcpA4i1KayJbXn800le,Чистый - OST «Псих»,0.573,0.441,1,-9.505,0,0.404,0.292,0,0.217,0.145,77.843,193747,4,17lho4EZEzBjF48tdX166M
68dYIDw5o40HZUEXftQmFi,Энергия,0.832,0.489,5,-7.003,0,0.265,0.258,0,0.12,0.571,122.099,177111,4,17lho4EZEzBjF48tdX166M
391ZThVtENXSRY9APTw6pf,Чудеса,0.705,0.552,4,-5.431,0,0.0953,0.162,5.96e-05,0.0942,0.102,149.965,160200,4,17lho4EZEzBjF48tdX166M
4x20JQj3Y7wJ0c9vhZDQf7,$Ieg Kla$,0.861,0.842,1,-6.272,0,0.294,0.355,0,0.0915,0.605,140.099,187260,4,17lho4EZEzBjF48tdX166M
6Y6J8CNHtOuklPhVnvmnm1,Fendi,0.94,0.436,0,-10.112,1,0.456,0.0747,0,0.113,0.29,123.003,128781,4,17lho4EZEzBjF48tdX166M
3alic9gYo88Umdlzg4xgqh,Ай братан,0.726,0.817,7,-5.262,0,0.151,0.119,0,0.362,0.452,153.188,173858,4,17lho4EZEzBjF48tdX166M
