Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
6VLRklevEgemhhRBWm43wA,Spanish Air,0.543,0.637,2,-8.695,0,0.0401,0.291,0.77,0.0766,0.552,95.206,125179,4,4zJFOUaFmxxxbaChc3MIPz
0h2lExGUNqcbO9hBl5q2N8,Spanish Excursion,0.558,0.489,9,-13.729,0,0.0363,0.94,0.871,0.11,0.779,119.712,144170,4,4zJFOUaFmxxxbaChc3MIPz
26ezdnVWcFWeAZCiGCKRqm,Volare - Guitar Version,0.631,0.805,1,-6.58,0,0.0303,0.369,0.0191,0.093,0.943,115.943,201827,4,4zJFOUaFmxxxbaChc3MIPz
2j3sfdriFs4ZDh9rNGzZVo,Estrellas,0.843,0.591,5,-7.771,1,0.0297,0.135,0.712,0.138,0.892,106.954,80254,4,4zJFOUaFmxxxbaChc3MIPz
0bJ6QiLJQXEaeNGFLNVsuM,Rio Rain,0.686,0.229,4,-16.039,0,0.0503,0.896,0.868,0.139,0.481,80.086,190317,4,4zJFOUaFmxxxbaChc3MIPz
63JhrrMGfj13mBt4TXlUZp,Summer Streets,0.7,0.341,9,-17.269,0,0.0497,0.93,0.915,0.115,0.882,95.447,217696,4,4zJFOUaFmxxxbaChc3MIPz
64DuRNplDNb2g0jMKCrEoj,Bossa Bolivia,0.86,0.26,7,-16.547,0,0.0493,0.874,0.864,0.137,0.768,129.965,288470,4,4zJFOUaFmxxxbaChc3MIPz
10tDxSM4zOfNwHdQKLCZj9,Sol Sol Sol,0.676,0.092,4,-25.371,1,0.0434,0.981,0.947,0.111,0.613,138.893,203741,4,4zJFOUaFmxxxbaChc3MIPz
3oglgT12OekmvTLoXDbq9T,El Festival,0.542,0.482,0,-9.155,1,0.033,0.388,0.965,0.164,0.888,159.983,93858,3,4zJFOUaFmxxxbaChc3MIPz
3pBnPQEGIDRWpRHf0riWFk,Costa,0.784,0.168,9,-14.755,1,0.139,0.933,0.871,0.108,0.363,135.8,221127,4,4zJFOUaFmxxxbaChc3MIPz
4k4ykfkFu1fP48GI83oaOe,Andalucia,0.677,0.495,6,-10.269,0,0.0414,0.207,0.0119,0.0525,0.568,82.017,272405,3,4zJFOUaFmxxxbaChc3MIPz
7Kl3FTVpnJQMnF9mVP3N2K,Mia Muchacho,0.711,0.382,4,-15.477,1,0.0399,0.825,0.877,0.12,0.776,145.048,301688,4,4zJFOUaFmxxxbaChc3MIPz
57RYSksiXsVJWWPo68Phks,Dance Amigo,0.623,0.557,9,-13.946,1,0.0522,0.208,0.492,0.123,0.697,169.906,185365,3,4zJFOUaFmxxxbaChc3MIPz
