Playlist-ID,Title,Language,Label,isTruthWorthy
4TrSSYgDHY6T5zqwYY1MbP,Happy Chinese 華語輕快 開心快樂好心情🌻,chinese,happy,1
1ilnl1Y2nXfTfTFJuPgp6H,Happy Chinese Songs,chinese,happy,1
3Ah9fSc04wc21xpfzGR8Cx,Happy Music (Instrumental),chinese,happy,1
4Qw2fMgFHZGsGy9SRfGEh0,中文兒歌歡唱  Happy Chinese Chidren's Song,chinese,happy,1
0D2JjLhkWd8MreYW7iRQej,Happy birthday chinese,chinese,happy,1
4jZfMS2wM0vhncG38TONf3,HAPPY CHINESE SONGS,chinese,happy,1
2LuSbf7taKeyRd8U3ddkmT,sad chinese love songs,chinese,happy,1
11k8YPgab7tIUaMZzoqOZV,upbeat KPOP,chinese,happy,1
3B7rgeFPafgiaqxTt32n4y,Imlek 2021 | Chinese New Year 2021,chinese,happy,1
37i9dQZF1DWUrhqK4SzCOJ,Happy Lunar New Year,chinese,happy,1
1NtzDN1ifGNtxJyxNH7HSc,Happy chinese,chinese,happy,1
5GyUIsnj8hBfQl7mah1i98,Happy Chinese Songs 😆,chinese,happy,1
3TVs46TVEbOrhWaK7mJJx6,Happy chinese,chinese,happy,1
5ru9eJWh5ziljpSmAfAzp1,Happy Chinese New Year - Oldies Favourite,chinese,happy,1
0wNL5Qq4gRqz5CCYq10dVs,Happy chinese,chinese,happy,1
66HA1KKO3T6QmDejeOiQnI,chinese songs,chinese,happy,1
21WNKRgpyTyDvs39FavAU6,Happy (Chinese),chinese,happy,1
3I43ZIYHUDEUz6MQqn0T2D,Happy Chinese song,chinese,happy,1
6trB7GNDXbmWqmiZvHKERt,Happy Birthday in Chinese,chinese,happy,1
3S1JEBjkmeQYK1g2CxfL2N,Chinese happy hits,chinese,happy,1
1xTIgfNBHBRjh3LtC5IqLS,Catchy Chinese Songs,chinese,happy,1
0UPiFHBSgKgoc4JhJ4Ifry,chinese music 中国音乐,chinese,happy,1
0d46McOQA9fkZcTikvZvTb,chinese vibez ★,chinese,happy,1
32hPkDUUhTmxVhtWHtG39j,happy chinese music,chinese,happy,1
5E17z2UbK8K8LFdymVe4xd,chinese happy simps,chinese,happy,1
2Jx5ZiHsZihjZ3IPxdpXEy,Asian Ballads,chinese,happy,1
12wD0TokMyngfx6udF3UK9,Chinese Lunar New Year Music,chinese,happy,1
3j6YLubRx4Q7rXuxrkjtv3,Chinese Song Dump,chinese,happy,1
0srO3cCZlaFGntFn0uYOUZ,chinese buffet,chinese,happy,1
3Id8aTbxByQZRBzCUHTdIe,Happy Chinese Songs,chinese,happy,1
525gywWzGc0DLBRPaEz9OR,Chinese Happy Tunes,chinese,happy,1
25tyKsVFYLDlnRi7BMW565,Happy Chinese Song,chinese,happy,1
3OZynst76VRsObI1zLfl8S,feel good chinese songs to brighten up your day | happy cpop playlist,chinese,happy,1
600RTZVFMHiJ537UfjeGp6,J-Poppiness ,chinese,happy,1
4Swd3nOHOhOvVPDdvA2pYZ,HAPPY ME 🟡,chinese,happy,1
7JrMutHSRki1QlR8Eg4dvc,chinese songs I don't skip / 最喜欢的中文歌曲 ,chinese,happy,1
1ZDAn7fc9331qxw4ogEUUq,HAPPY Chinese Instrumental OST ,chinese,happy,1
5wwJ5KMQgVQ9oMNXYgGNGI,Happy Chinese song ,chinese,happy,1
5MX8hHYuovFEP5xTm5ALc7,happy songs chinese,chinese,happy,1
2kRDMyKthkoSw9mN7My5yU,Da stuff I listen to,chinese,happy,1
1Sb1WgnUs8TrpIHmy4g1ng,; chinese songs for all occasions ,chinese,happy,1
2ukaqHDhymnJ6On5DvtnWK,happy chinese song ,chinese,happy,1
0yRg0Ra2k9Yt8zsvUp49Kc,happy.chinese,chinese,happy,1
4nrztdA7BfWycQCrdxQU01,202106 Happy Chinese 跑步 Song,chinese,happy,1
7ej7ZCjxnjwRu14onTh4Ca,Happy Chinese,chinese,happy,1
004JgD692ma36Yzo7sqnxr,chinese favourites,chinese,happy,1
3JbNzdgOxNXAX2yAz1nbJ7,happy chinese songs,chinese,happy,1
59Er1jnZlvrpEVgXOyj8Kd,K/C-Pop,chinese,happy,1
