Playlist-ID,Title,Language,Label,isTruthWorthy
37i9dQZF1DXdPec7aLTmlC,Happy Hits!,english,happy,1
6SXETbax9zDozDMbNPIcCc,Happy Birthday to you original,english,happy,1
37i9dQZF1DWSf2RDTDayIx,Happy Beats,english,happy,1
37i9dQZF1DX2x1COalpsUi,Happy Vibes Tamil,english,happy,1
37i9dQZF1DX9u7XXOp0l5L,Happy Tunes,english,happy,1
6A8WG11y1wfsFXlCOPNNke, Happy Birthday Playlist 2021 (The Best FeelGood  B-Day Playlist),english,happy,1
7HJyswj4Dzlq3csNoTtdK1,happy asmara hits 2021,english,happy,1
37i9dQZF1DWZKuerrwoAGz,Happy Favorites,english,happy,1
7s09coXLGbofhNrwSusr4G,Happy Songs 2021 - Good Vibes and Upbeat Music for a Good Mood 😊,english,happy,1
37i9dQZF1DWZ72qOlbizxi,Happy Hour,english,happy,1
37i9dQZF1DX0UrRvztWcAU,Wake Up Happy,english,happy,1
37i9dQZF1DWYtQSOiZF6hj,Happy Birthday,english,happy,1
37i9dQZF1DWVOMXLzSabIM,Happy Throwbacks,english,happy,1
37i9dQZF1DWSkMjlBZAZ07,Happy Folk,english,happy,1
37i9dQZF1DX39t8KGTcoSG,Pop Rising Vietnam,english,happy,1
5maTxNYkbtZkKbnmXarjA8,happy,english,happy,1
37i9dQZF1DX1H4LbvY4OJi,Happy Pop,english,happy,1
7oWxffRQiBGqXegOYncD0e,Happy Hardcore 90s/00s,english,happy,1
37i9dQZF1DX1WSnLRtI26o,Happy Drive,english,happy,1
37i9dQZF1DX2UT3NuRgcHd,Happy Vibes Telugu,english,happy,1
37i9dQZF1DX4uPi2roRUwU,Happy Dance,english,happy,1
0fEA4shGDHSwbGbMKXCtJ2,HAPPY,english,happy,1
37i9dQZF1DX84kJlLdo9vT,Happy Days,english,happy,1
0tgR89x3H90V69Hj8YgXWw,Happy Asmara Best of The Best,english,happy,1
37i9dQZF1DWVlYsZJXqdym,Happy Pop Hits,english,happy,1
52nbU9CEh12BvTPBcz8wTL, Happy Birthday For Adults,english,happy,1
37i9dQZF1DWTwbZHrJRIgD,Happy Weekend,english,happy,1
3NdF8Tla3SKevtqkaeQdfZ,Happy Mornings Bollywood,english,happy,1
37i9dQZF1DX5YTAi6JhwZm,Happy Jazz!,english,happy,1
51O3drk38q8VgnMtPouPO1,HAPPY SONGS 🍉 TO SING IN THE CAR 🌍 POP & DANCE HAPPY HITS 2021,english,happy,1
0RH319xCjeU8VyTSqCF6M4,Happy songs everyone knows 😄 🙌,english,happy,1
4Da6pktHmdR8pZtjvVE8n9,Happy Birthday Party Songs(Hindi),english,happy,1
37i9dQZF1DX7QeQjujWh9l,Happy Oye!,english,happy,1
37i9dQZF1DXeby79pVadGa,Get Home Happy!,english,happy,1
7BD7Q1YuR6RPMHZWd5UVcv,Happy Cleaning: The Ultimate Housework Hits,english,happy,1
10qmwWvrMSpgqpkZnbqIrU,Happy Hardcore 2021 🎧🔥,english,happy,1
7J4e49SxlE8KhqqXHQIAgK,Happy Country Songs,english,happy,1
37i9dQZF1DXaOO2GjFtdA0,Factor Happy,english,happy,1
0EYrcOLULX1nTlx7tY9iMr,Happy Asmara - Full Koplo,english,happy,1
37i9dQZF1DWYmyAaW6ZbdD,New Happy Tunes,english,happy,1
1cvnyGCsGI9nVEtHa6b2I4,Happy Upbeat Acoustic 😋,english,happy,1
1h90L3LP8kAJ7KGjCV2Xfd,Happy Songs,english,happy,1
7vBShQfXqgKHshNTD9JnWQ,HAPPY SONGS,english,happy,1
37i9dQZF1DWWS0ll5RduHB,Happy Stroll,english,happy,1
5DnBWoczKx4mgk1pkSdrtu,🦋Happy Playlist🦋,english,happy,1
3Hs562oYeOsTcNmiUSj0f8,Happy Mood ,english,happy,1
3UeSHzlpci3sjpAF45gMRG,Happy Hits 2021 | Hits Felizes | Músicas Alegres | Nacional e Internacional,english,happy,1
6pTTaGg2WTR1fJYpdwHo4K,Happy Music 2021 🌞,english,happy,1
3NnMwtaB5yOTipAa3PUeYZ,Happy shower songs 🚿🛁,english,happy,1
37i9dQZF1DWZdLqpoFOt65,Happy Lah!,english,happy,1
