Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
4VWbPQUPvLes814r6T11Jz,Les Champs-Elysées,0.783,0.454,4,-8.251,1,0.0489,0.456,0,0.155,0.711,111.577,157627,4,0xzT1RuEpDUpMol9uCb7Ol
6ye4yxBwuCMZfRbhOV2xmS,Little French Song,0.836,0.425,11,-6.614,1,0.0641,0.875,0,0.11,0.505,112.085,174604,4,0xzT1RuEpDUpMol9uCb7Ol
6Jap5nJkibUhJitc6tQ6gg,Chez Keith et Anita,0.681,0.667,0,-5.186,0,0.0422,0.675,0,0.089,0.859,88.457,177308,4,0xzT1RuEpDUpMol9uCb7Ol
6x53YxdtkR2rGLptZCLgUx,Les passants,0.742,0.658,0,-6.289,0,0.115,0.358,0,0.0685,0.609,153.769,213421,4,0xzT1RuEpDUpMol9uCb7Ol
15ffrEHBHIbXWJcsGx402o,Hang on Little Tomato,0.519,0.2,5,-10.973,1,0.0434,0.946,2.14e-06,0.107,0.537,92.89,196893,4,0xzT1RuEpDUpMol9uCb7Ol
5H3ChVfItCaDpj1vPbigyX,Comme des enfants,0.686,0.354,10,-9.284,1,0.0387,0.829,0.0112,0.102,0.283,123.636,169107,3,0xzT1RuEpDUpMol9uCb7Ol
5ztIul377mylwHJkCnIWbn,Dance Me To The End Of Love,0.597,0.404,5,-9.867,0,0.0362,0.829,0.00107,0.111,0.474,138.105,235640,4,0xzT1RuEpDUpMol9uCb7Ol
329C2QNkL3l4ZFxUnXHa6s,Happy But Blue,0.854,0.536,5,-8.255,1,0.0368,0.943,0.715,0.109,0.905,126.966,185147,4,0xzT1RuEpDUpMol9uCb7Ol
6DH3tZeaV2AZuaCJcdidRd,I Love Paris,0.786,0.338,0,-14.19,1,0.234,0.542,0.00987,0.109,0.56,113.878,215413,4,0xzT1RuEpDUpMol9uCb7Ol
0TL7zkyDpEMerSXUlJc7Mc,Quand le soleil dit bonjour aux montagnes,0.456,0.0544,1,-12.077,1,0.0511,0.961,0,0.102,0.374,81.335,112090,4,0xzT1RuEpDUpMol9uCb7Ol
4WE4jVtX4ZvN4IiJdFfkzc,Petit matin,0.412,0.401,6,-9.324,1,0.0854,0.736,0.000285,0.105,0.507,199.365,222577,3,0xzT1RuEpDUpMol9uCb7Ol
010EVa2zhnPJlxHYXoETt1,Chez moi - 2012,0.774,0.331,2,-9.856,1,0.0657,0.778,2.82e-06,0.104,0.42,107.586,155280,4,0xzT1RuEpDUpMol9uCb7Ol
5BSrJwLRF1eZr12BCVtH4B,Des croissants de soleil,0.753,0.314,2,-11.667,0,0.0265,0.849,0.0157,0.377,0.396,96.009,238573,4,0xzT1RuEpDUpMol9uCb7Ol
5PcCSUGriuhWuyyWxuBnnM,C'est si bon - 2012,0.653,0.2,8,-10.744,1,0.044,0.906,0.00276,0.192,0.319,127.609,196780,4,0xzT1RuEpDUpMol9uCb7Ol
2UI4CNjKxIkCZ0g14ckmM9,Ces bottes sont faites pour marcher,0.706,0.272,2,-11.909,1,0.104,0.829,0.0043,0.103,0.266,112.25,323060,4,0xzT1RuEpDUpMol9uCb7Ol
1j59yuG8hDx8FTfI0j79kB,La plus belle pour aller danser,0.847,0.436,9,-10.187,1,0.0644,0.719,0.00525,0.127,0.73,89.938,152033,4,0xzT1RuEpDUpMol9uCb7Ol
4Ee7XJ0Yk12BnoD2wRjSjD,La belle dame sans regret - 2012,0.736,0.386,2,-10.988,0,0.0343,0.879,0.00788,0.0894,0.5,139.941,360207,4,0xzT1RuEpDUpMol9uCb7Ol
3d8ieK4WqLG5moGvWWH8fI,T'es pas un autre - 2012,0.483,0.0517,10,-14.898,1,0.0437,0.961,3.59e-05,0.119,0.306,78.445,257510,3,0xzT1RuEpDUpMol9uCb7Ol
5rGlzR7qao7hkXbqMLB6K6,Jardin d'hiver - 2012,0.649,0.208,6,-11.822,0,0.0276,0.926,0.00242,0.276,0.332,91.888,258260,4,0xzT1RuEpDUpMol9uCb7Ol
3mP8MIDvxxeCo3vx1MHeri,Seule ce soir,0.637,0.138,3,-13.984,1,0.0337,0.952,0.00801,0.118,0.195,80.026,365820,4,0xzT1RuEpDUpMol9uCb7Ol
76mKfG0U8ELUUrPU7YlFgL,Les yeux ouverts - 2012,0.549,0.181,8,-12.122,1,0.0408,0.931,0.000987,0.0961,0.22,111.692,310153,3,0xzT1RuEpDUpMol9uCb7Ol
4bksH836XonAX6KeJ7gHG0,Comme je crie comme je chante - 2012,0.681,0.271,11,-9.528,0,0.0638,0.895,0,0.0628,0.459,115.678,221673,4,0xzT1RuEpDUpMol9uCb7Ol
6yRYHEfgKfPpBHgRvzrUwt,C'est merveilleux - 2012,0.472,0.322,0,-12.031,1,0.0362,0.888,0.000256,0.0955,0.249,137.273,198633,3,0xzT1RuEpDUpMol9uCb7Ol
5k2DDWEpGfM9YFLfV9XLJ9,Allemanda,0.561,0.417,7,-10.242,0,0.0326,0.898,0.00813,0.109,0.741,99.132,244867,4,0xzT1RuEpDUpMol9uCb7Ol
5lIOhDGfy2lQJWWwxBm8L4,Quelqu'un m'a dit,0.611,0.428,10,-10.723,1,0.0474,0.834,0.00517,0.113,0.389,133.281,168627,3,2LD0l9bUaofMMkEMbCUDqd
3dkIE8P7hvl3tHl9KSb6dA,"Non, je ne regrette rien",0.382,0.354,7,-6.595,1,0.0289,0.858,3.11e-06,0.168,0.435,87.018,142280,4,2LD0l9bUaofMMkEMbCUDqd
34dx8DACTJsc3rsJdaEIQw,Papaoutai,0.734,0.809,10,-7.264,0,0.0839,0.0266,0,0.0642,0.254,116.024,232147,4,2LD0l9bUaofMMkEMbCUDqd
2o0hVSbnkdvDDKKVNaUxnB,La bohème,0.377,0.337,0,-7.346,0,0.0341,0.808,0,0.238,0.545,117.316,245187,3,2LD0l9bUaofMMkEMbCUDqd
4VWbPQUPvLes814r6T11Jz,Les Champs-Elysées,0.783,0.454,4,-8.251,1,0.0489,0.456,0,0.155,0.711,111.577,157627,4,2LD0l9bUaofMMkEMbCUDqd
7sZSe99XSTu5KpYJEThvWr,La mer,0.241,0.168,0,-16.267,1,0.0442,0.965,0.114,0.373,0.556,84.749,201840,3,2LD0l9bUaofMMkEMbCUDqd
05KDO9Q9RZqd8jNUHqhFJJ,Ma meilleure (feat. Zaho),0.7,0.822,8,-3.897,1,0.0597,0.352,0,0.101,0.72,86.01,305053,4,2LD0l9bUaofMMkEMbCUDqd
4FmiciU3ZmfgABlbCSXcWw,La vie en rose,0.39,0.302,8,-8.687,1,0.0321,0.984,0,0.0871,0.422,82.52,186973,4,2LD0l9bUaofMMkEMbCUDqd
61Yh6AEwsba6RYsrWiNmI0,Emmenez-moi,0.365,0.55,9,-7.218,0,0.0346,0.74,0,0.423,0.593,106.111,212747,3,2LD0l9bUaofMMkEMbCUDqd
5UTKqzU3hn0Qcfhl1ofkea,Douce France,0.581,0.196,8,-17.281,0,0.0452,0.979,0.0103,0.221,0.362,114.399,192160,4,2LD0l9bUaofMMkEMbCUDqd
6g5qyQrAcoBX4X7XjxBoTO,Comment te dire adieu - Remasterisé en 2016,0.711,0.586,10,-9.78,0,0.0514,0.435,6.48e-06,0.15,0.931,124.058,148507,4,2LD0l9bUaofMMkEMbCUDqd
1ul9ZfkWWeAjA3HiRwK4Op,Nathalie,0.422,0.632,9,-7.121,0,0.0779,0.749,1.25e-06,0.594,0.81,134.715,245213,4,2LD0l9bUaofMMkEMbCUDqd
2tSpxPGywYcnfanQIT30gs,Sous le ciel de Paris,0.398,0.279,9,-14.413,0,0.0444,0.74,0,0.0738,0.47,107.568,177333,4,2LD0l9bUaofMMkEMbCUDqd
5P0tWr5JZqDoi5wq2OalFH,Je t'aime moi non plus,0.47,0.362,0,-12.382,1,0.0303,0.389,0.000698,0.29,0.377,83.609,268600,4,2LD0l9bUaofMMkEMbCUDqd
3IGb1Cn9P0tw4ksAHWneIX,Ne me quitte pas,0.412,0.235,1,-10.962,0,0.0497,0.819,0.000128,0.189,0.306,99.883,229400,4,2LD0l9bUaofMMkEMbCUDqd
4VvTGipG8YaF09z0kfGqaD,Paroles paroles,0.567,0.548,5,-9.727,0,0.0463,0.728,0,0.136,0.398,125.176,245667,4,2LD0l9bUaofMMkEMbCUDqd
6Xy0TKhM0Ytjt65QuVEN67,Petite fleur,0.616,0.214,9,-9.634,0,0.0329,0.86,0.000164,0.0945,0.447,114.99,163187,4,2LD0l9bUaofMMkEMbCUDqd
