Playlist-ID,Title,Language,Label,isTruthWorthy
4o8rPUBsnPACAtSmrd03wC,Happy Japanese songs,japanese,happy,1
2h2ZW48DOGaIE2c794u0av,cute japanese lofi,japanese,happy,1
0GbisZjfQKZYPt0tkHQYde,happy japanese songs♡,japanese,happy,1
7dkw4UhBKqz0guxx8YmuY7,☁️ japanese jazz ☕️ studying ☁️,japanese,happy,1
39LPb0vglo7tca5MItzAZB,Japanese Study Playlist,japanese,happy,1
28v7Fs0C0oXG4VzcDwKJb8,Kawaii songs •^•,japanese,happy,1
4f8ese6aAnvFjESRWQXLx0,My Universe X BTS Japanese tracks,japanese,happy,1
5T7Xtcw6CJis5ImH2MGe6w,Happy japanese music,japanese,happy,1
1uvfMZSOR7mSKmJGg8fv9H,ATEEZ Japanese Album,japanese,happy,1
3A61HVlRnMuJKx2qD43DEN,Japanese Folk-Rock and Country,japanese,happy,1
3oMM4TS74l1Him0l0UXPkG,Japanese happy music,japanese,happy,1
2Fc4vynmNNV9NEaer97i0X,Japanese Happy Hardcore etc.,japanese,happy,1
7CGGyFxof2SCrXFMMgZsxl,happy japanese stuff,japanese,happy,1
0FgQ63n2IlECNLC62pzGcN,Happy Japanese Songs.,japanese,happy,1
2pTOyDeoETJOAGUbKekX6c,Japanese kawaii hardcore x future bass,japanese,happy,1
5NBWfuBNtMJamEv6TnWX5V,"Nice Songs EDM, Hard rock, Trance, Hardstyle, Nightcore, S3RL, Japanese",japanese,happy,1
11k8YPgab7tIUaMZzoqOZV,upbeat KPOP,japanese,happy,1
2MzauaWjCfHf3Z7ue30zvx,Japanese Hardcore,japanese,happy,1
1tTAXvcahraW6hMZ00ZTqK,Japanese Songs,japanese,happy,1
2JXzcdD7pAnA8TdXXzwOld,Happy In Japanese,japanese,happy,1
1mRukFaVHu27zjPTNB29X1,Japanese Lowfi/Bamboo Flute Study,japanese,happy,1
3bvi3gLfPIM8uOIQa8cREz,Japanese Cartoons,japanese,happy,1
0SYUbHNEJEBGHZTo9xxbpo,japanese songs i dont understand ,japanese,happy,1
0MRUvXu9S6t2yXqRpcaPNJ,Japanese pop that makes me happy,japanese,happy,1
3cbWydAK9x823VUiUpUqIl,Sad/Happy Anime Songs ,japanese,happy,1
07Ge1zWyqSICWbD3sNWzvs,Japanese Romantic & Happy 80s,japanese,happy,1
5aXNMYGJqKDL2FcmaR8a2x,Happy/Upbeat Japanese Song,japanese,happy,1
6oW5NpYU3kd1AiW7SD7Rqd,japanese culture 🇯🇵 ,japanese,happy,1
2YCTZb01BHsUw3t7XxVNM9,Japanese Hardstyle/Hardcore | J-Core | WeebCore |,japanese,happy,1
5FyL8AKczYBPVKYobUuQ5K,Japanese pop(?),japanese,happy,1
0do4oSAUMwL4AvZgcNC4CL,Happy High BPM,japanese,happy,1
6AJozUeEGTMRfk4JLHVKmh,Japanese happy,japanese,happy,1
3WxpL0RStLbrapmKmohEzR,Kawaii Future Bass,japanese,happy,1
3WkrugfU6WAQpfeGwwNMg1,My favourite anime/Japanese songs,japanese,happy,1
6oFpD6t582Kh47I2Qoi2qv,Japanese Pop That Makes Me Feel Happy,japanese,happy,1
3tRDhvEX6J1bHCwmKMR55e,to my happy pill 🐰,japanese,happy,1
0q4j5FU5SRo5mWKvmkofS9,You Seemed So Happy – The Japanese House,japanese,happy,1
69tDkBJxvDgh55tCQrCCpF,• happy •,japanese,happy,1
2Jx5ZiHsZihjZ3IPxdpXEy,Asian Ballads,japanese,happy,1
6ggn17PjAAzv8R1YTQW9ey,happy japanese song,japanese,happy,1
1CuY4Wm1sbssEfWbv6Jf49,happy sugar life.,japanese,happy,1
35kLEwq4fjz4luUqPM1qzY,Japanese songs that make me happy,japanese,happy,1
7BuFypSqN9BWBiAg4wqiNi,Japanese German happy music ,japanese,happy,1
1iGC2QGSRtwFRUnmCMNTmv,Otacore / Anime / JP / Games,japanese,happy,1
7FdGxU1iYIrwJuKhfIMvY1,Happy Birthday : Japanese - Happy Birthday : Japanese – Killian MacGeraghty 2,japanese,happy,1
1X9VNdQAnPiP38etT3WTr3,Depressing Japanese Bangers,japanese,happy,1
27oQPwacD3PBKbbnp0STIb,Japanese music that makes me happy,japanese,happy,1
337CISof9DmvsoU93mUEvz,Party ,japanese,happy,1
600RTZVFMHiJ537UfjeGp6,J-Poppiness ,japanese,happy,1
5O163ZXffBUdQvM73yPXsK,Japanese songs that make me kinda happy <3,japanese,happy,1
