Playlist-ID,Title,Language,Label,isTruthWorthy
49BPHtbj1R0gbluVb8g9Z9,Russian war music (Sad and Happy),russian,happy,1
2tsR529ASSdMXx8TyWVXUn,happy russian songs,russian,happy,1
6Iy21yxBVsvT2aTqdB9Sxq,happy russian ,russian,happy,1
28BTW2PGOEN4lKVTLVvLkb,Happy Russian,russian,happy,1
6FxUXHOHr28N4gGT3sJHil,Russian Happy 🇷🇺,russian,happy,1
0eBPRcmGyo5KUDLIkCqvBs,Russian happy birthday,russian,happy,1
4VIjCj8Fbpm9XWXKQba6l7,Happy Russian playlist ,russian,happy,1
5VwargLDRy1WeAwNBNdCUW,Russian Rouelette With Happy and Sad Songs,russian,happy,1
1McFH8mwDrTWU7cQvm4Udn,happy with russian music,russian,happy,1
64jedB6sgXYmYQ0Wg33O4B,This Is Grust200,russian,happy,1
7qnYuFVDDdLCEVpN2dCL3f,"Rave, Trance, Happy Hardcore, Hardcore, Hardstyle, Hardbass and more",russian,happy,1
6INycTfgjqsFeXa0zB4KMO,Bathtub Toaster Rhymes,russian,happy,1
5EflGrjNSZNhqJExVE3rhp,Happy Birthday - Russian Styles,russian,happy,1
66QmmDuk3LRoyyTuIBuiyF,russian parents approved ,russian,happy,1
5RIJfVkx60G7l4vqeHRrlc,С Днём рождения happy birthday,russian,happy,1
646vTHFQxeEAucKA4DNgLL,reading russian literature  ,russian,happy,1
1mJ52DqwsXXVCb6LzD8yDs,Mix,russian,happy,1
0qfcd9l6EGKhxgq585MQQW,Trīs strīpas ,russian,happy,1
21fZ3JXKoQUD0KdVbkHZyV,Vibes,russian,happy,1
3V3wMfPKQBBiZi6TO6yykJ,Russian Happy Hardcore,russian,happy,1
2BKxGQlJwXV26WizE2t23V,Mood changer,russian,happy,1
3gP11ZZGcC6jb8m0zns1Nb,Russian Roulette,russian,happy,1
5nPHFIfp6ZtdUdOxi9w4oU,paradise,russian,happy,1
1K5HjVy8KLFW7ldXVpirmj,Modern Russian fav,russian,happy,1
73WWRnhnmFrsHOXNCd18NE,Русские песни ,russian,happy,1
2qISsTmS1QhUMJhd4YFnlW,Senseless Panic,russian,happy,1
1sBfJftpiLDc30gJ3aFZ24,Bye Felicia.,russian,happy,1
6wc0S4SJbU8DJB7Mm21MmX,Work but happy and there's also Russian Dance Pop,russian,happy,1
7JBDjOyRfjp8B1tF6oxiTx,happy russian tracks,russian,happy,1
7cV3QxQ1repT2NsaxAzFU5,russian roulette: 5sos edition,russian,happy,1
6AeC9RT1PIgb6znZnyDTCa,"the if onlys that aren't ""if onlys"" anymore",russian,happy,1
07pjaLdb1GxX0nNeTOljJf,All Shit,russian,happy,1
7L9kmmBP73IZxwgxnp97kj,blue moon motel,russian,happy,1
1qpcLlfbtaqQimn8I5mUrf,Russian Doll Season 1,russian,happy,1
4efcjPtwIu8oZrdXXbGrZe,Russian Bloomer Happy Playlist,russian,happy,1
0hriiXxVUxXJ8O11mjzgOy,happy pride month 2 the lovely russian dykes,russian,happy,1
13xQvk7152zjWnN0BxIS9F,russian roulette of vibes,russian,happy,1
7HfkJSiYPavxfAkF9ioITj,vitamin c ,russian,happy,1
0kBieals5YIsWdPzHgLDB5,[RU] Rock & Despair,russian,happy,1
