Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
4m8Jm6TAeBsVWkP5CotIJP,冬眠,0.555,0.268,5,-10.063,1,0.0289,0.871,0,0.0679,0.297,129.99,269583,4,4CKAsspIObJ1mlczGK374D
5cU1O9P0EDA0rPkPDykhIm,怎麼了,0.502,0.565,9,-7.779,1,0.0358,0.696,5.55e-05,0.156,0.253,139.926,321040,4,4CKAsspIObJ1mlczGK374D
7zyYmIdjqqiX6kLryb7QBx,以後別做朋友,0.423,0.36,3,-9.458,1,0.0372,0.728,0,0.105,0.291,130.576,260573,4,4CKAsspIObJ1mlczGK374D
2gug6MRv4xQFYi9LA3PJCS,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲",0.439,0.477,10,-5.638,1,0.0307,0.643,0,0.114,0.535,159.819,287307,4,4CKAsspIObJ1mlczGK374D
3pyfEMTvunanVkcTFME2IK,小時候的我們,0.678,0.568,10,-7.7,1,0.0286,0.224,0.000196,0.0884,0.436,135.049,207560,4,4CKAsspIObJ1mlczGK374D
3vepBjsBPn39RqsNFbiaS0,一樣美麗 - 粉紅絲帶宣導活動主題曲,0.495,0.263,10,-9.64,1,0.0293,0.88,0,0.102,0.404,101.775,278246,4,4CKAsspIObJ1mlczGK374D
2eOpn0ix5JGf47vUBUqZnV,Unrequited,0.46,0.349,11,-9.966,1,0.0332,0.566,0,0.108,0.199,138.713,307213,4,4CKAsspIObJ1mlczGK374D
5ujzXla4Duu88FPpfJM9xB,"愛,存在",0.273,0.448,3,-9.648,1,0.0332,0.311,0,0.115,0.258,176.845,284195,4,4CKAsspIObJ1mlczGK374D
1MRRjWwqBUyoD9dC11sZ4S,像魚,0.639,0.395,11,-10.053,1,0.0374,0.816,1.35e-06,0.124,0.158,139.904,285272,4,4CKAsspIObJ1mlczGK374D
5grz3g3waDTERLkUMT0EeD,Come Out Your Way,0.548,0.387,2,-8.719,1,0.0296,0.856,1.53e-06,0.0891,0.354,119.917,228293,4,4CKAsspIObJ1mlczGK374D
06RXsjrMsJs91da6kpWxmI,房間 (電影《超時空同居》插曲),0.466,0.44,3,-9.572,1,0.0462,0.699,0,0.118,0.318,129.643,241905,4,4CKAsspIObJ1mlczGK374D
7LmFgyIHlXRqjDOt68RQoQ,凉凉 - 電視劇《三生三世十里桃花》片尾曲,0.463,0.56,4,-7.832,0,0.0292,0.78,1.09e-05,0.0891,0.267,90.005,333333,4,4CKAsspIObJ1mlczGK374D
4OH25prD5C5bj1wgYBu7tC,好可惜,0.466,0.474,10,-6.594,1,0.0259,0.464,0,0.0811,0.295,135.892,315682,4,4CKAsspIObJ1mlczGK374D
2PTp2VPBsRUJPlquCTbSAq,疑心病,0.562,0.469,3,-7.997,1,0.0352,0.481,0,0.161,0.242,124.102,292242,4,4CKAsspIObJ1mlczGK374D
3t8M86tiO0aKMMTXzRrFn8,嚣张,0.595,0.518,11,-6.81,1,0.0311,0.649,0,0.116,0.167,133.993,253995,4,4CKAsspIObJ1mlczGK374D
5Lxibw7FVKdOXNvjKBj5K6,與我無關,0.606,0.28,5,-10.85,1,0.0355,0.863,0,0.155,0.401,123.869,228537,4,4CKAsspIObJ1mlczGK374D
3BfjVIPmUpIrgqLdOJP1My,下雨天,0.526,0.551,4,-6.757,1,0.0286,0.595,0,0.372,0.275,127.967,253080,4,4CKAsspIObJ1mlczGK374D
0FfdtQrD9kT42o6Anv4uDn,大魚 - 唱片版,0.355,0.376,10,-11.062,0,0.0322,0.449,0.000109,0.0947,0.117,140.19,317597,4,4CKAsspIObJ1mlczGK374D
64xeB1CIz5GbBKETc3BBLS,再愛你,0.465,0.402,0,-8.677,1,0.0293,0.838,6.77e-06,0.153,0.324,150.25,261600,4,4CKAsspIObJ1mlczGK374D
5JLLWtgBLRxpd4MRkGAm74,受夠,0.431,0.401,11,-7.9,1,0.029,0.86,7.46e-06,0.0982,0.305,139.658,331342,4,4CKAsspIObJ1mlczGK374D
2IAumRplFr0Ns09kKgt2je,怎麼了,0.496,0.515,9,-9.52,1,0.0352,0.701,0.000168,0.155,0.263,140.051,321040,4,4CKAsspIObJ1mlczGK374D
3LQnaRwMcDvp4sP0x0jzfY,學著愛,0.271,0.287,1,-11.277,1,0.032,0.542,1.76e-05,0.0836,0.157,132.435,253058,3,4CKAsspIObJ1mlczGK374D
6m5Dp5rk8ArHTPWxNtUjE4,想回到那一天 - 電視劇「奇妙的時光之旅」插曲,0.445,0.389,0,-9.675,1,0.0324,0.553,0,0.308,0.294,139.951,265845,4,4CKAsspIObJ1mlczGK374D
2I2HOtNA0wk5UvFcg2BzCy,終於了解自由,0.554,0.445,6,-8.074,1,0.0251,0.775,3.8e-06,0.123,0.324,104.946,316933,4,4CKAsspIObJ1mlczGK374D
3t7GX7UAoxFcvkWCDqEvLW,別問很可怕,0.77,0.456,0,-7.453,1,0.0464,0.634,0,0.111,0.408,125.9,248880,3,4CKAsspIObJ1mlczGK374D
46fURCnWErjFdNM2yBJ2c8,永不失聯的愛,0.289,0.43,10,-6.818,1,0.0332,0.624,0,0.101,0.531,169.511,259600,4,4CKAsspIObJ1mlczGK374D
7mCr6Rn5jx04Fisvts97Z3,真的傻 (電影《一吻定情》追愛版主題曲),0.522,0.383,4,-10.962,1,0.0285,0.714,1.67e-05,0.106,0.332,150.018,256000,4,4CKAsspIObJ1mlczGK374D
1ZeVIrCWzEmsJexkrgvjFv,小幸運,0.519,0.412,0,-8.584,1,0.0365,0.75,0,0.101,0.506,157.916,265522,4,4CKAsspIObJ1mlczGK374D
6tzOEJ2tqSiAxHw9CAT9Ru,別勉強,0.376,0.378,6,-10.372,0,0.0387,0.669,0,0.094,0.248,164.104,262597,4,4CKAsspIObJ1mlczGK374D
0q1FMCm6hZhyPomad3LQES,So Bad,0.742,0.666,6,-3.972,1,0.04,0.374,0,0.079,0.559,118.011,172119,4,4CKAsspIObJ1mlczGK374D
6kgIfsrBMGROn31uyhDoJC,想自由,0.433,0.419,9,-9.428,1,0.0331,0.515,0,0.0969,0.18,129.78,281627,4,4CKAsspIObJ1mlczGK374D
6kabSi7XCHHGThNme6J2tL,如果雨之後,0.315,0.534,6,-5.931,1,0.0332,0.525,0,0.171,0.445,136.725,281200,4,4CKAsspIObJ1mlczGK374D
