Playlist-ID,Title,Language,Label,isTruthWorthy
6rJiLpCxccWHOcpjDkQkLT,Sad Japanese Piano Music,japanese,sad,1
2sxuec51xVVGeQnKkfcvkk,Japanese Sad Songs,japanese,sad,1
5spZGGK2lkYhd3TF19UsGX,Sad japanese songs,japanese,sad,1
47QRIgn4h25iNf0nXCUFbw,sad and chill japanese songs,japanese,sad,1
7iEjCcx21s1T1i4oDvygMq,Sad Japanese Songs サッドソング,japanese,sad,1
7HO0SmjGrwkWnamk3JJwJJ,Japanese Sad Songs,japanese,sad,1
0K6vJ2UlUB4v4KohX2RjVx,Japanese Hip Hop,japanese,sad,1
03wwn1sX9x3GDlqfu13qMT,Japanese Ballads,japanese,sad,1
0nRcLHYqKvSK2uPcKjUJua,Japanese anime sad song,japanese,sad,1
5MR5lLOy5cfgRm2HHzFCfE,Japanese Lofi Sad,japanese,sad,1
2TfxuxibTqGIbvBX9Kd9OK,Japanese Acoustic Songs ジャパニーズアコースティックソング,japanese,sad,1
5YvUZRq54NzSW666vGxC1Q,2021 Japanese Sad Anime Song,japanese,sad,1
0jvGFniWJL7NfSQgXXsOV4,Japanese Sad Songs 「 1 」,japanese,sad,1
2O5JW5bl2P4JVZxImRUOG3,Japanese Love Songs ラブソング,japanese,sad,1
0GbisZjfQKZYPt0tkHQYde,happy japanese songs♡,japanese,sad,1
5RInPxL6Dt4RJc61jvwpRO,Chill Lofi Study Beats // Hip Hop Sleep Jazz Instrumental Guitar Piano Japanese Sad Vaporwave Relax,japanese,sad,1
0dRxDrR1PfZMlVbfnuBRbR,Sad Anime Instrumental OST Playlist,japanese,sad,1
28v7Fs0C0oXG4VzcDwKJb8,Kawaii songs •^•,japanese,sad,1
3MmwvjFu7ZtbFBYhZIFjSJ,Sad Japanese,japanese,sad,1
39gD0J4pgGMZXs0eJTTJpV,Japanese sad girl,japanese,sad,1
4YCa6z2hZftXPi9bTUcNQs,Japanese Sad Songs,japanese,sad,1
5MD4tMqjxJE1gCj2vsUqRn,sad bi hours with haruki nakamaya,japanese,sad,1
55sZtT4s9BS1Z0F3dehoPd,soft indie japanese/korean,japanese,sad,1
2lr0gjaroW4iaFtcriYVvH,Sad/Slow Japanese music,japanese,sad,1
4YSqYmmwiHYD5hPNxC7d6P,Japanese sad song,japanese,sad,1
5Qd8scpP3uxtTlpuNbmZcf,Soft Sad Anime and Japanese Songs,japanese,sad,1
5tdPo24xJ3esDQ7dclG4ei,Sad/Slow japanese,japanese,sad,1
0vl6fNxvsIXa57PSeImLbz,Sadness (Korean & Japanese),japanese,sad,1
1XJu1y4hpnE0utVS6SpuUK,sad girl autumn 🍂🍄🌙,japanese,sad,1
5dN57KBE6z9kGvgsuhFBh6,Sad Japanese Hours 🇯🇵,japanese,sad,1
3JciHCSeECJp77a2FdvCu0,Anime and chill,japanese,sad,1
5hpqduhCbMs6IZQZlZC52e,Sad Japanese,japanese,sad,1
1swwN8gBjuUdGzrpPZc7Pb,Japanese Chill-Hop | Lofi beats to study and relax to,japanese,sad,1
3bz8nclsIBOeSf8aYiIthY,Lofi Retro Vaporwave / INSTRUMENTAL / Japanese Vaporwave / Sad Vaporwave,japanese,sad,1
4cPbOfc757CNJdSgpidiRI,Japanese Lofi Chill,japanese,sad,1
5rnsr4jnN1XxxXpuHulUJF,Japanese Oldies & Pop Songs 日本音樂,japanese,sad,1
7C5t4v3NEWqM82zEQ74L19,Japanese Soft Songs,japanese,sad,1
57IHGeuzc0TSTUb9BbNLYI,japanese sad songs 🌸,japanese,sad,1
7pBbgEipNIiytG81xyqYPB,Japanese Good Vibes 日本コンパイラ,japanese,sad,1
32yT18PSSEz2U93C2v21iq,Japanese,japanese,sad,1
60MbRIkVbJu09EJq7QHoQt,Japanese sad,japanese,sad,1
6OEszP7nX6hJkJox9ynkH5,Lofi - Late Night Nostalgia ,japanese,sad,1
1zH7a3x2D1drRqDtB2oY7M,Boruto X Japanese Lofi Chill Relaxing & Sad,japanese,sad,1
4MkWix7t0kqEzfNpuQ31U5,Sad Japanese,japanese,sad,1
5qgzDbnJq6srDpcUKtOVnB,All Japanese Sad,japanese,sad,1
3XeBB0I1K3ukGJyUCaBAtH,sad japanese jazz,japanese,sad,1
4hjXonqPHZif9zuioTujHi,Bts japanese (sad) songs🥺💖,japanese,sad,1
1hej7C4GaWPMnAUJvvcpMM,pain ~ sad naruto japanese lofi hip hop mix,japanese,sad,1
4MPG4k3fSpFrzJNyEM13JX,"Anime, Japanese, Sad, And Trendy Songs🤍",japanese,sad,1
5bDJIqZGXPEBQW6PQ5tHmW,Japanese sad song ,japanese,sad,1
