Playlist-ID,Title,Language,Label,isTruthWorthy
1qcLVwn35IPFqbWFC4e5st,Sad Russian rap #1,russian,sad,1
1e6u0yOpHrzWcb7JSvICeA,Russian Sad ,russian,sad,1
4RdmkiEEwnMaNRh8vv5JX7,Sad Russian Rap & Pop🇷🇺🥺,russian,sad,1
1QjNCB47yJvitWjrp5bC2D,Sad Russian Vibes,russian,sad,1
14fWRRtvfCsry1folk6uow,Sad russian music,russian,sad,1
0zvJNCJRK5f4ClZP1XFkw9,"lana del rey, sad russian music, and gregorian chants",russian,sad,1
4U81hDnjNeUOxLlI5WVXjx,"Depression [russian sad songs] , грустные песни",russian,sad,1
4nxZthGaRU3pdeLRhoIEoK,Russian Emo Sadness,russian,sad,1
49BPHtbj1R0gbluVb8g9Z9,Russian war music (Sad and Happy),russian,sad,1
1QlCdod4LbTVrySpv5Ose0,sad russian,russian,sad,1
2XMCqYQ60hTrw7t8MsSQwQ,Sad russian songs,russian,sad,1
1b8kf39DpYlYEERXTiwaw3,Russian/Bass Boosted/Instru/Sad,russian,sad,1
1mvDVduwjwuBmlY8G3RjUT,sad russian trap,russian,sad,1
4RQ7sxEQkS179bVEf0rHaY,russian sad songs ❁,russian,sad,1
3b79yGKH7MdzWAtEDpC2Hq,Sad/Romantic Russian Music,russian,sad,1
1YJXeFDPa3tJsDYCGjwD92,Sad Russian vibes,russian,sad,1
1gYDxjkGU6Gg8xySP40bVA,sad russian songs (>_<),russian,sad,1
7Lpspko4Vc30fjMDNevIig,sad russian,russian,sad,1
3yWKkZ7Z71PmEddMKaKATS,Russian,russian,sad,1
7eeowYRg5gTzNf9NzOjW32,Sad russian music ,russian,sad,1
6nRUmXSvl4V23Vg3hyYlRS,Russian Sadness,russian,sad,1
6BibfBdn0u7zXwZrHtWFBi,Sad Russian Rock,russian,sad,1
2OkOmiPHvcNrwMqKAVjhRm,sad russian rap and not russian ))))),russian,sad,1
1PVa5jsMDQtQMDCYGRmR0t,Russian sad,russian,sad,1
6LD98qhvp8r34OSoprYVcX,Russian sad,russian,sad,1
7LQ9Ct30Sf5Z2or2ty8Dle,russian sadness,russian,sad,1
3zRRNN9xLLEyKdrTqB3Z1F,Sad Russian songs,russian,sad,1
0J9Sjhs4Eoj0QaT64Tge3O,russian sad,russian,sad,1
3Maw9QkFruhb7p8DnqFZDo,Russian Sad LoFi,russian,sad,1
6PVZwX9EPC6hSKGWYvdD26,sad russian😣,russian,sad,1
2m9TnsqlUOmRQ6uClkGVTZ,Russian love and sad songs ,russian,sad,1
7lukSSARNI2d1tEzkjPRWz,Russian Sad Rap,russian,sad,1
0vEDABg7z8oehilytYkjqV,SAD & Melodious Songs,russian,sad,1
7sYyKkPWMQwWLo2KV5iKKD,Sad Russian Shit ,russian,sad,1
1xpBWcMWZDVwyIPxDvURao,Russian sad,russian,sad,1
3crKNC1WyQsRDKCsN5PwwX,sad russian ,russian,sad,1
36zbPkWLxqJoY9pskCN6Mm,russian sadness,russian,sad,1
7qCScaPo6DZoA2IY6bwe7W,sad russian shit,russian,sad,1
4b3F82SfFR4VaDU40KRSV2,Russian sadness,russian,sad,1
3qZSrjrN2v4kMfyNPwfdEi,sad not russian,russian,sad,1
2pP5Ue62UKuNtSZEAjLAmq,Russian Sadness,russian,sad,1
4XRrkl107abWMvBEboXSD1,Russian White: Sad ED,russian,sad,1
3mVg7sU1uYkmeMXLpgUc1F,Sad Russian music,russian,sad,1
26FQEnb0omjVBUoAiCfG1F,Sad Russian ,russian,sad,1
4N7J3yLtHYTvfIVQNgqDVv,sad Russian ,russian,sad,1
3Jw6RB3YEyU8R4yvO3CJ51,russian sadness,russian,sad,1
73F8m6vHxVSft1ONCQo98Z,RUSSIAN SAD AND ROMANTIC,russian,sad,1
0iwYtVSyBGhf7OJuuLirWS,😥 SAD (RUSSIAN) 😥,russian,sad,1
0Jl4rNKIRc7eME2QwXCv34,russian sad song,russian,sad,1
2QQtt7q7pEppMci0GHsXVK,russian romantic,russian,sad,1
