Playlist-ID,Title,Language,Label,isTruthWorthy
7wmcFE7emcdYPHOkIh1a5F,sad spanish songs🥺💔,spanish,sad,1
1WvbfCLI4OKFU30r0GLvP6,Sad Spanish Music,spanish,sad,1
2EUv9WKSfW8gVTC8pO7C3J,Sad Spanish songs 🥺🥀💔,spanish,sad,1
2ihZ1CJKrspW2hQPyNycLb,sad spanish music 🍻💔,spanish,sad,1
7DXGw7dN7slok1p434Gpjq,sad indie spanish,spanish,sad,1
4ha0awcGDnAmWORyKjZMbX,"sad spanish ""rap"" 😔",spanish,sad,1
38B9I13zS1RIDacOOnBpMb,Sad Spanish songs ,spanish,sad,1
4YPMY1Kmi7HSAOasx2kwEW,Sad Spanish Songs (A Break-Up Playlist),spanish,sad,1
17eCc7I1UN6FkEbvi7dvfU,TikTok sad Spanish songs ,spanish,sad,1
0HmiyTY7n9HjBj9zpcCmtK,sad spanish love songs😔,spanish,sad,1
5jrzMeV0kMwd8CBMpc1B0h,Spanish sad songs 💔,spanish,sad,1
3PRp3pTAozuKm40CPwHjiy,Sad Spanish music ,spanish,sad,1
37eaf7OfRhOoqvUkHxToGq,sad spanish trap,spanish,sad,1
1fdrwU2BcvLw9DXcXC8X1o,Sad songs in Spanish,spanish,sad,1
4hSOGI9ebyScouDt6KZxiQ,Sad Moments,spanish,sad,1
5ox4uHSDbu0g5S09Qdi9mn,Mexican/Spanish love songz💔,spanish,sad,1
4bM4NTKgDeXXvtprIuCrhx,"Sad Music Songs😪 Musica Triste 2020, 2021",spanish,sad,1
0e72rU6p4yP0j8P9Jw0Etg,Sad Spanish Music,spanish,sad,1
5IGrtFCwLdPcyxJj9ddQ7R,SPANISH SAD ,spanish,sad,1
2domM84WYZbADR6U8wnM89,sad spanish music,spanish,sad,1
7qZ307FLrWJSQkmYwqKyYF,Sad spanish,spanish,sad,1
3PxgqlKnq5VVQZCh2yLTPT,Sad music in Spanish🥲😭💔,spanish,sad,1
6ZWpDk3CtYPouYBBUL6cWX,sad simp spanish songs,spanish,sad,1
71c8X6Wp083jpjh2GIKkFv,spanish hyperpop / spanish glitchcore / spanish alt  / spanish drainer,spanish,sad,1
46wWkED6hTRR87THYlcdmD,Bass/sad songs/Spanish ,spanish,sad,1
5WKq2s55FNqebhgf2fq8L5,Sad Spanish love songs ,spanish,sad,1
5l8IsryvYXZFKSsaJvVJWD,Sad spanish,spanish,sad,1
2Hjf74NmMkEj8Rgf118Hpt,Spanish sad,spanish,sad,1
1Ryc5e2pd8Lsc5WAiFz1PH,Sad spanish shit,spanish,sad,1
1wD2h8MGaTzhrfmqiRHPaK,Sad Girl Hours (Spanish)🥺,spanish,sad,1
5jtuT7qpycBi9JBMqfthc5,sad spanish ,spanish,sad,1
2BvSLh6bv6ArAuF5SWdqTn,Sad spanish,spanish,sad,1
4zqgBSvys6C16T6V17QbuJ,Sad Spanish music,spanish,sad,1
2xKbZKaT90pixxdapwUY5U,Sad spanish music💔and other,spanish,sad,1
09P9ZH2eL04qmJSShZn4BO,sadd but spanishh,spanish,sad,1
1p5CBBF7XldyfxBytLJan8,spanish sad songs,spanish,sad,1
6Hj1CdxbeiZUi7BFlXmRQz,Sad Spanish ,spanish,sad,1
3V3KxBr0YsrygChjeSm3e7,Spanish sad ,spanish,sad,1
4gvIdcAFvfZZz3dftAJdAK,Sad Spanish ,spanish,sad,1
2AA9umSnQHcDtLNY672Qx9,Sad Spanish ,spanish,sad,1
7IITqbprxGrkX9tLWXbX25,Sad Spanish songs ,spanish,sad,1
7Fl9nFPaKM7QFbTRg7DJuP,Sad (Spanish),spanish,sad,1
2NgrFfqXSCNbe5Bf0l4RbB,Sad rap Spanish ,spanish,sad,1
1rf0ePxz2BD1Huy6qarbwl,Sad Spanish,spanish,sad,1
7uf6e52w6Y28jsjnk1om7U,Jugaste y Sufrí,spanish,sad,1
2IUBKSwuvmC9B3p1KVWRl6,Sad spanish,spanish,sad,1
0yDx4Z7qxFX76YaamoDLm6,Sad Spanish:(,spanish,sad,1
1h5MyZlYqAeU0m5qnFFtYQ,Sad Solo Guitar ,spanish,sad,1
59y3HzMq70YPrZQuQ6bd10,Some spanish sad songs 🛀🎈,spanish,sad,1
6CrmPcR5BbArei5RMhKIBw,SAD SPANISH RAP/TRAP,spanish,sad,1
