Track-ID,Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
2NEzxeMKW0mk5pr7tcrvs2,Có Chàng Trai Viết Lên Cây,0.34,0.446,0,-9.383,0,0.0479,0.969,0.000454,0.128,0.149,177.284,305786,4,0eKx35j1CqTB0WWVpigunf
5Bti0azlFhMattVY76qFr9,Lạ Lùng,0.617,0.212,0,-9.856,1,0.0334,0.958,0.00157,0.131,0.219,126.579,261616,4,0eKx35j1CqTB0WWVpigunf
4LOhNmNsr4JSSQqTIsrUo1,"Sau Nay, Hay Gap Lai Nhau Khi Hoa No",0.328,0.285,1,-10.724,1,0.0307,0.874,0,0.122,0.146,92.255,275644,4,0eKx35j1CqTB0WWVpigunf
5ccdGTzOHdkDUJMDFhyCjP,Hôm Nay Tôi Buồn,0.432,0.359,0,-8.897,1,0.0288,0.853,1.06e-06,0.106,0.215,133.897,275845,4,0eKx35j1CqTB0WWVpigunf
01ogLZmkn7KXsxMGzLuVIh,Lac Nhau Co Phai Muon Doi (Music From “Cho Em Den Ngay Mai”),0.555,0.406,8,-6.238,1,0.0307,0.92,0,0.323,0.123,119.956,316866,4,0eKx35j1CqTB0WWVpigunf
6F6bme7jUc3WNyYI53ar3B,Đừng Ai Nhắc Về Anh Ấy,0.629,0.457,2,-7.073,0,0.0492,0.782,0,0.0967,0.167,139.91,279204,4,0eKx35j1CqTB0WWVpigunf
4TkgDciQo9zE6Nfrvug0GM,Y.E.U (L.O.V.E) [Acoustic Version],0.625,0.333,3,-5.93,1,0.0289,0.844,0,0.0901,0.157,116.031,258621,4,0eKx35j1CqTB0WWVpigunf
5G9d1HNk8jNHiX4dcCRHpq,只是太愛你(國),0.456,0.46,10,-10.238,1,0.0373,0.727,0,0.439,0.277,130.014,243720,4,0eKx35j1CqTB0WWVpigunf
44UFK3c62FzOHSemTpz8ZM,Trong Tri Nho Cua Anh Cover - Original,0.406,0.191,4,-12.782,1,0.0304,0.902,0,0.229,0.204,128.497,251448,4,0eKx35j1CqTB0WWVpigunf
4otPckwHKKGxSsIi97TCAD,Tìm (Lost) [feat. Mr. A],0.673,0.806,6,-5.25,1,0.0286,0.0375,0,0.312,0.342,119.974,266000,4,0eKx35j1CqTB0WWVpigunf
1xAcTjxxWFJtzMIcJQ5jbI,Có Như Không Có,0.362,0.254,7,-12.47,1,0.0346,0.844,7.15e-06,0.0847,0.37,131.268,273733,4,0eKx35j1CqTB0WWVpigunf
7BSyMiUKDSXdnZ9wTmLPKv,Năm Ấy,0.564,0.41,3,-7.131,1,0.0284,0.692,0,0.26,0.32,123.814,260352,4,0eKx35j1CqTB0WWVpigunf
5VBAcmgNqD8EV6tDt8tGYy,Ánh nắng của anh,0.565,0.234,5,-13.821,1,0.0293,0.817,2.43e-06,0.1,0.301,127.992,265172,4,0eKx35j1CqTB0WWVpigunf
5CLVwtxgHf7Sq4whKzkyXj,Chiều Nay Không Có Mưa Bay,0.494,0.433,0,-7.809,1,0.0397,0.791,0,0.102,0.492,171.917,296557,4,0eKx35j1CqTB0WWVpigunf
3Sg9sJ1VxG91hvcRFrVuH7,Nham Mat Thay Mua He OST - Original,0.521,0.302,9,-8.532,0,0.0281,0.919,0.00105,0.0996,0.308,104.757,282907,3,0eKx35j1CqTB0WWVpigunf
3LGNVNZeEIUwdzDvnUO73V,Phút Ban Đầu,0.465,0.0886,1,-13.165,1,0.0393,0.952,0.000121,0.115,0.157,136.092,243226,4,0eKx35j1CqTB0WWVpigunf
0B1ZnYwYefkNhZeE8ZQpv5,Đông Kiếm Em,0.535,0.0646,2,-15.395,1,0.0381,0.954,0.000102,0.1,0.143,134.584,246043,4,0eKx35j1CqTB0WWVpigunf
0y3MGdNjytpoRnoHjYmESV,Thay Tôi Yêu Cô Ấy,0.468,0.188,6,-11.908,0,0.0675,0.895,1.31e-06,0.105,0.179,171.689,269728,4,0eKx35j1CqTB0WWVpigunf
6HaChQZma1WN7Wx6ImCS7N,Anh Oi O Lai,0.536,0.311,6,-8.708,1,0.0367,0.762,1.32e-06,0.106,0.128,123.588,292379,4,0eKx35j1CqTB0WWVpigunf
1Huy9G87D6pbIveFulsH0P,Âm Thầm Bên Em,0.498,0.462,10,-9.153,1,0.0273,0.883,0.00338,0.128,0.107,140.083,293112,4,0eKx35j1CqTB0WWVpigunf
14h5yoeJvgiz4smtMR4no7,Có Tất Cả Nhưng Thiếu Anh,0.567,0.242,4,-8.65,0,0.0365,0.931,0,0.126,0.309,131.666,284886,4,0eKx35j1CqTB0WWVpigunf
1gNLAfHOpIOwpiFhLooeRW,Nếu Mai Gặp Lại,0.296,0.0659,0,-16.825,1,0.0412,0.868,1.74e-06,0.0883,0.146,80.008,315967,4,0eKx35j1CqTB0WWVpigunf
1xBxmp1UYSA0x2btevwYHN,Cho Ngay Loi Hua No Hoa,0.604,0.258,9,-9.917,0,0.026,0.758,0,0.0851,0.141,109.885,282357,3,0eKx35j1CqTB0WWVpigunf
2XowCGRbycR53BUf8Y5b4d,Xin Lỗi,0.541,0.176,6,-12.458,0,0.0354,0.946,0,0.105,0.472,119.807,244037,4,0eKx35j1CqTB0WWVpigunf
3yWacnoBnM0lrzLmXAk44d,"Em Không Sai, Chúng Ta Sai",0.49,0.485,1,-6.632,1,0.0359,0.684,0,0.12,0.329,170.063,291529,4,0eKx35j1CqTB0WWVpigunf
6q4jVQ07zoJQW3sLmnBEr0,Không Thể Cùng Nhau Suốt Kiếp,0.384,0.412,10,-6.535,1,0.0384,0.901,0,0.129,0.345,145.972,300548,3,0eKx35j1CqTB0WWVpigunf
6Rb8FTqpksv5mNEVeC9Xj6,Vì Yêu Là Nhớ,0.736,0.281,3,-8.144,1,0.0374,0.96,0,0.138,0.486,119.756,231981,4,0eKx35j1CqTB0WWVpigunf
2vqSyJpE0bwqFwEXtFkIlz,Hoa Nở Không Màu (Acoustic Version),0.586,0.282,10,-8.173,0,0.0301,0.942,0,0.346,0.417,72.936,320333,4,0eKx35j1CqTB0WWVpigunf
0Bk064jKjWtfdOD8UkcImR,Và Thế Là Hết,0.544,0.307,1,-10.531,1,0.0263,0.814,0,0.113,0.329,149.877,291651,3,0eKx35j1CqTB0WWVpigunf
