Playlist-ID,Title,Language,Label,isTruthWorthy
2AAe1rBd3YcRQ2JBmQLx3v,Calming Chinese Music,chinese,calm,1
1wPEEYTQKN95q3sytXZfde,Chinese Calming music,chinese,calm,1
0EtNeNXfEtvitNlkEYTlMo,Chinese calming instrumental,chinese,calm,1
3KKn2y6j5TbuelDeiVKf6G,Chinese Study Playlist ,chinese,calm,1
1lfnX3HrsWjUnYT0jAfjPG,Sleepy Traditional Japanese Playlist (& Chinese!),chinese,calm,1
0mi6PMtJtPYcYGC8XfcJQx,"Qi Gong Music 气功 / 氣功 - Shaolin, Training, Zen, Tai Chi, Meditation, Massage, Chinese & Asian Music",chinese,calm,1
4oI7JaxBEqG5IkacTXnIQY,Calm Chinese songs ,chinese,calm,1
6hMqI3rc1zLMjzQ6wMyPxc,Calm Chinese Traditional,chinese,calm,1
7goEpwNEhl05W3KvNAnrHl,Calm Chinese Instrumental ,chinese,calm,1
0DBASEHROYYBhzdcjUYxhs,Asian Lofi Chill,chinese,calm,1
4OpjgFJo3hx4axXeZQBuf8,calm chinese songs,chinese,calm,1
6ekYLQPZJ0iLuEbRMc90VG,Calming Chinese Songs,chinese,calm,1
2HUh9Mp1zgyi99DkGtVKrs,To calm-Chinese,chinese,calm,1
2BMiNJYnKvngLh28JdsYBW,Calm Chinese,chinese,calm,1
0Qyk9qGwmJoLzoNnlZ2XPm,Calming Traditional Chinese Music,chinese,calm,1
4wLsOJYPFVFr6Y7NTVVgIb,Chinese Music - Calming,chinese,calm,1
2JCd4gTMifhHfimDEw6Xlk,calming Chinese music ,chinese,calm,1
6xyZyMUYdsMCQlNhjwlbIx,Chill Calm Chinese Songs,chinese,calm,1
7v3oOPjutzwaHwgR4aqpeB,Calm Chinese,chinese,calm,1
5B8ar8IFGsVolc0Zh0Nlvu,Chinese calming flute music,chinese,calm,1
